# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026	Observed	9.4481	-0.7967	25
DNA_REPLICATION_PATHWAY	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		7.1649	0.5627	50
DNA_REPLICATION_PATHWAY	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		6.1816	-0.5738	31.25
DNA_REPLICATION_PATHWAY	LUAD	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644	Observed	5.769	-0.483	56.25
DNA_REPLICATION_PATHWAY	LUAD	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		5.492	0.4056	50
DNA_REPLICATION_PATHWAY	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		5.4805	-0.505	56.25
DNA_REPLICATION_PATHWAY	LUAD	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		5.2097	0.5602	68.75
DNA_REPLICATION_PATHWAY	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		5.2003	-0.4906	43.75
DNA_REPLICATION_PATHWAY	LUAD	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127	Observed	5.0148	0.4338	62.5
DNA_REPLICATION_PATHWAY	LUAD	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		4.9875	0.4561	31.25
DNA_REPLICATION_PATHWAY	LUAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		4.9572	-0.5405	56.25
DNA_REPLICATION_PATHWAY	LUAD	USF2|7392	+	SE	chr19:35760602-35760706:35760906-35761350		4.8762	-0.5466	31.25
DNA_REPLICATION_PATHWAY	LUAD	CIT|11113	-	SE	chr12:120204986-120208589:120208714-120210574		4.8554	0.5378	56.25
DNA_REPLICATION_PATHWAY	LUAD	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		4.7944	0.4936	31.25
DNA_REPLICATION_PATHWAY	LUAD	XRCC3|7517	-	SE	chr14:104177904-104179212:104179305-104181761		4.6967	0.4777	62.5
DNA_REPLICATION_PATHWAY	LUAD	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		4.5729	0.2465	81.25
DNA_REPLICATION_PATHWAY	LUAD	MELK|9833	+	SE	chr9:36651874-36657238:36657360-36665347		4.5146	-0.1599	37.5
DNA_REPLICATION_PATHWAY	LUAD	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		4.5119	-0.5074	43.75
DNA_REPLICATION_PATHWAY	LUAD	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		4.5098	-0.4947	43.75
DNA_REPLICATION_PATHWAY	LUAD	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		4.4902	0.351	93.75
DNA_REPLICATION_PATHWAY	LUAD	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		4.4599	-0.5251	56.25
DNA_REPLICATION_PATHWAY	LUAD	TSTD1|100131187	-	SE	chr1:161007865-161008341:161008463-161008670		4.4076	-0.4821	18.75
DNA_REPLICATION_PATHWAY	LUAD	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		4.3735	0.4936	37.5
DNA_REPLICATION_PATHWAY	LUAD	GTSE1|51512	+	SE	chr22:46693376-46704047:46704104-46704216		4.297	0.2196	75
DNA_REPLICATION_PATHWAY	LUAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		4.1939	-0.4935	68.75
DNA_REPLICATION_PATHWAY	LUAD	SGOL1|151648	-	A5	chr3:20225526-20227440:20225526-20227551		4.1466	0.0858	81.25
DNA_REPLICATION_PATHWAY	LUAD	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		4.1422	-0.4763	68.75
DNA_REPLICATION_PATHWAY	LUAD	TTK|7272	+	A3	chr6:80714430-80715547:80714430-80715559		4.1215	0.2707	37.5
DNA_REPLICATION_PATHWAY	LUAD	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009		4.1197	-0.5325	68.75
DNA_REPLICATION_PATHWAY	LUAD	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		4.0525	-0.4386	50
DNA_REPLICATION_PATHWAY	LUAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		3.9788	-0.5346	62.5
DNA_REPLICATION_PATHWAY	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		3.9097	-0.508	75
DNA_REPLICATION_PATHWAY	LUAD	C21orf58|54058	-	SE	chr21:47738134-47738699:47738875-47742553		3.8659	0.4391	50
DNA_REPLICATION_PATHWAY	LUAD	PAFAH1B1|5048	+	SE	chr17:2577582-2579799:2579900-2583458		3.8391	0.4102	50
DNA_REPLICATION_PATHWAY	LUAD	RAD54L|8438	+	RI	chr1:46713367:46713418-46714016:46714080		3.8167	-0.2905	37.5
DNA_REPLICATION_PATHWAY	LUAD	EXO1|9156	+	A3	chr1:242030357-242035334:242030357-242035337		3.6619	0.0283	81.25
DNA_REPLICATION_PATHWAY	LUAD	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		3.5325	0.4834	75
DNA_REPLICATION_PATHWAY	LUAD	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		3.525	0.4993	56.25
DNA_REPLICATION_PATHWAY	LUAD	PQBP1|10084	+	A5	chrX:48755376-48755775:48755297-48755775		3.4996	-0.4226	56.25
DNA_REPLICATION_PATHWAY	LUAD	NCAPG|64151	+	A3	chr4:17824746-17825270:17824746-17825295		3.484	0.2514	56.25
DNA_REPLICATION_PATHWAY	LUAD	CHEK1|1111	+	MX	chr11:125514163-125514407:125514538-125525120:125514163-125523641:125523742-125525120	Observed	3.4818	-0.4771	25
DNA_REPLICATION_PATHWAY	LUAD	ANK2|287	+	SE	chr4:114251626-114253128:114253226-114254210		3.4735	0.3856	37.5
DNA_REPLICATION_PATHWAY	LUAD	KIF15|56992	+	SE	chr3:44803376-44815887:44815929-44816746		3.4568	0.3739	31.25
DNA_REPLICATION_PATHWAY	LUAD	HMMR|3161	+	A3	chr5:162891808-162894707:162891808-162894710		3.4173	0.3861	56.25
DNA_REPLICATION_PATHWAY	LUAD	SKA3|221150	-	SE	chr13:21746643-21746759:21746820-21750514		3.3503	0.3326	62.5
DNA_REPLICATION_PATHWAY	LUAD	BIRC5|332	+	SE	chr17:76210870-76212047:76212115-76212745		3.3149	0.2814	56.25
DNA_REPLICATION_PATHWAY	LUAD	RAG1AP1|55974	+	MX	chr1:155108852-155109304:155109427-155110455:155108852-155110037:155110198-155110455		3.2704	0.4369	37.5
DNA_REPLICATION_PATHWAY	LUAD	MLF1IP|79682	-	SE	chr4:185618957-185621974:185622035-185623243		3.2517	-0.3774	68.75
DNA_REPLICATION_PATHWAY	LUAD	CIRBP|1153	+	SE	chr19:1272050-1273493:1273714-1274306		3.2425	-0.4679	18.75
DNA_REPLICATION_PATHWAY	LUAD	XRCC3|7517	-	SE	chr14:104177904-104179212:104179268-104181761		3.2308	0.4217	68.75
DNA_REPLICATION_PATHWAY	LUAD	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		3.1886	-0.4682	37.5
DNA_REPLICATION_PATHWAY	LUAD	CRAT|1384	-	SE	chr9:131870356-131871458:131871556-131872762		3.1802	-0.4017	68.75
DNA_REPLICATION_PATHWAY	LUAD	MELK|9833	+	SE	chr9:36573004-36581641:36581736-36589533		3.1659	0.2953	56.25
DNA_REPLICATION_PATHWAY	LUAD	MRPL30|51263	+	RI	chr2:99812036:99812219-99813617:99814088		3.1581	-0.4328	31.25
DNA_REPLICATION_PATHWAY	LUAD	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		3.1483	-0.4328	50
DNA_REPLICATION_PATHWAY	LUAD	HDAC7|51564	-	SE	chr12:48189550-48189689:48189799-48189990		3.1329	-0.4343	68.75
DNA_REPLICATION_PATHWAY	LUAD	HMMR|3161	+	SE	chr5:162891808-162894707:162894754-162896647		3.1099	0.3291	56.25
DNA_REPLICATION_PATHWAY	LUAD	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		3.108	-0.4454	62.5
DNA_REPLICATION_PATHWAY	LUAD	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		3.064	-0.4318	25
DNA_REPLICATION_PATHWAY	LUAD	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045		3.0504	0.3906	50
DNA_REPLICATION_PATHWAY	LUAD	MELK|9833	+	SE	chr9:36581736-36583624:36583709-36589533		3.0446	-0.1791	75
DNA_REPLICATION_PATHWAY	LUAD	C1orf112|55732	+	SE	chr1:169768099-169770024:169770112-169771762		3.0088	0.4717	56.25
DNA_REPLICATION_PATHWAY	LUAD	OSMR|9180	+	A5	chr5:38846489-38869134:38846228-38869134		2.9942	-0.4004	75
DNA_REPLICATION_PATHWAY	LUAD	EXO1|9156	+	SE	chr1:242012329-242012414:242012518-242013711		2.9812	0.1471	50
DNA_REPLICATION_PATHWAY	LUAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		2.9561	0.3664	62.5
DNA_REPLICATION_PATHWAY	LUAD	CDCA2|157313	+	A5	chr8:25361079-25364026:25361060-25364026		2.9521	0.288	25
DNA_REPLICATION_PATHWAY	LUAD	TEP1|7011	-	SE	chr14:20849560-20849712:20849845-20850072		2.9418	-0.2958	50
DNA_REPLICATION_PATHWAY	LUAD	ZAK|51776	+	SE	chr2:173940730-173955726:173955918-174034533		2.9345	0.3748	56.25
DNA_REPLICATION_PATHWAY	LUAD	RIPK2|8767	+	SE	chr8:90770461-90775057:90775210-90777569		2.9209	-0.376	37.5
DNA_REPLICATION_PATHWAY	LUAD	CENPA|1058	+	SE	chr2:27015108-27015624:27015701-27016013		2.9155	0.0044	50
DNA_REPLICATION_PATHWAY	LUAD	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		2.9083	-0.4437	62.5
DNA_REPLICATION_PATHWAY	LUAD	SGOL1|151648	-	SE	chr3:20212724-20215741:20216547-20218093		2.9076	-0.3451	31.25
DNA_REPLICATION_PATHWAY	LUAD	DLGAP5|9787	-	SE	chr14:55615191-55615312:55615402-55617517		2.8939	0.352	37.5
DNA_REPLICATION_PATHWAY	LUAD	EFCAB4A|283229	+	RI	chr11:830866:831032-831224:831295		2.8144	0.3945	37.5
DNA_REPLICATION_PATHWAY	LUAD	NCAPH|23397	+	A3	chr2:97001586-97007130:97001586-97007380		2.8139	0.2383	43.75
DNA_REPLICATION_PATHWAY	LUAD	TOR2A|27433	-	RI	chr9:130493804:130494557-130495664:130495839		2.8036	-0.423	68.75
