# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INTEGRIN_BINDING	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		6.9147	-0.6629	81.25
INTEGRIN_BINDING	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		6.8206	-0.5607	100
INTEGRIN_BINDING	BLCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.4398	0.5774	81.25
INTEGRIN_BINDING	BLCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		5.4299	0.5114	100
INTEGRIN_BINDING	BLCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		5.1376	0.4783	87.5
INTEGRIN_BINDING	BLCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		4.986	-0.6267	81.25
INTEGRIN_BINDING	BLCA	SLC11A1|6556	+	RI	chr2:219251358:219251464-219251883:219251953		4.7795	-0.521	81.25
INTEGRIN_BINDING	BLCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		4.7603	0.5127	81.25
INTEGRIN_BINDING	BLCA	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		4.5548	0.502	68.75
INTEGRIN_BINDING	BLCA	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		4.4548	-0.5024	37.5
INTEGRIN_BINDING	BLCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	4.3936	-0.6146	100
INTEGRIN_BINDING	BLCA	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		4.3437	0.547	68.75
INTEGRIN_BINDING	BLCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		4.3007	-0.5529	81.25
INTEGRIN_BINDING	BLCA	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		4.2712	0.4619	75
INTEGRIN_BINDING	BLCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		4.2542	0.5391	62.5
INTEGRIN_BINDING	BLCA	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		4.2193	0.5652	81.25
INTEGRIN_BINDING	BLCA	PRRX1|5396	+	SE	chr1:170695542-170699418:170699489-170705189		4.1002	0.3941	75
