# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	BLCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		2.969	0.3907	62.5
AR_PATHWAY	BLCA	ARHGAP27|201176	-	SE	chr17:43481894-43481967:43482047-43482290		2.8249	0.4914	68.75
AR_PATHWAY	BLCA	SLC25A26|115286	+	SE	chr3:66271553-66286968:66287124-66293627		2.8191	0.1364	37.5
AR_PATHWAY	BLCA	NECAP1|25977	+	RI	chr12:8248638:8249389-8249391:8250373		2.7	-0.3657	31.25
AR_PATHWAY	BLCA	CAMKK2|10645	-	RI	chr12:121675496:121678327-121678328:121678672		2.4207	-0.0504	50
AR_PATHWAY	BLCA	PTK6|5753	-	SE	chr20:62165668-62166291:62166412-62168438		2.3875	-0.0382	37.5
AR_PATHWAY	BLCA	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857		2.3478	-0.0686	75
AR_PATHWAY	BLCA	EXO1|9156	+	SE	chr1:242012329-242012414:242012518-242013711		2.3309	0.2948	56.25
AR_PATHWAY	BLCA	ARID1B|57492	+	SE	chr6:157495251-157495981:157496139-157502103		2.2571	0.5034	68.75
AR_PATHWAY	BLCA	RHOBTB1|9886	-	SE	chr10:62631409-62631943:62632048-62634712		2.2169	0.4898	56.25
AR_PATHWAY	BLCA	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		2.1906	-0.2862	25
AR_PATHWAY	BLCA	ANKRD26|22852	-	SE	chr10:27349469-27350073:27350171-27352917		2.1745	0.4412	43.75
AR_PATHWAY	BLCA	NIPSNAP3B|55335	+	SE	chr9:107533279-107533515:107533597-107535103		2.1529	0.3493	43.75
AR_PATHWAY	BLCA	GAK|2580	-	SE	chr4:845762-853150:853281-853394		2.1084	-0.4281	18.75
AR_PATHWAY	BLCA	C12orf29|91298	+	SE	chr12:88429515-88433925:88434042-88436602		2.0822	0.2782	56.25
AR_PATHWAY	BLCA	RBM9|23543	-	A3	chr22:36177793-36205827:36177790-36205827		2.0568	-0.366	43.75
AR_PATHWAY	BLCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.0516	0.2522	56.25
AR_PATHWAY	BLCA	ARHGEF16|27237	+	RI	chr1:3397012:3397418-3397419:3397675		2.0426	-0.3842	43.75
AR_PATHWAY	BLCA	ORC3L|23595	+	SE	chr6:88321966-88326032:88326145-88331072		2.0072	0.0598	25
AR_PATHWAY	BLCA	FIP1L1|81608	+	SE	chr4:54257306-54257597:54257665-54265897		2.0041	0.2539	50
AR_PATHWAY	BLCA	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		1.9818	-0.1846	25
AR_PATHWAY	BLCA	SYNGR2|9144	+	A3	chr17:76167135-76167591:76167135-76167820		1.9631	-0.4605	68.75
AR_PATHWAY	BLCA	TOP3B|8940	-	A3	chr22:22330179-22337127:22330172-22337127		1.9567	0.1798	18.75
AR_PATHWAY	BLCA	CYTSB|92521	+	SE	chr17:20059549-20107646:20109225-20130726		1.921	0.3477	43.75
AR_PATHWAY	BLCA	MEMO1|51072	-	SE	chr2:32095021-32117061:32117203-32142995		1.9071	0.1486	68.75
AR_PATHWAY	BLCA	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		1.9064	0.2733	68.75
AR_PATHWAY	BLCA	KLHL2|11275	+	SE	chr4:166239121-166242464:166242527-166243184		1.9001	-0.3866	75
AR_PATHWAY	BLCA	DIS3|22894	-	SE	chr13:73352518-73354984:73355141-73355427		1.8919	0.3486	43.75
AR_PATHWAY	BLCA	HP1BP3|50809	-	SE	chr1:21106404-21106838:21107033-21113688		1.8908	-0.3282	43.75
AR_PATHWAY	BLCA	AEBP2|121536	+	RI	chr12:19671021:19671047-19671609:19675173		1.8802	0.3351	31.25
AR_PATHWAY	BLCA	BPTF|2186	+	SE	chr17:65955991-65959449:65959622-65960328		1.8793	-0.4894	56.25
AR_PATHWAY	BLCA	PYGL|5836	-	SE	chr14:51401903-51404454:51404555-51410879		1.8632	0.376	50
AR_PATHWAY	BLCA	ZNF207|7756	+	SE	chr17:30692506-30693684:30693776-30694791		1.8627	-0.1278	43.75
AR_PATHWAY	BLCA	FAM76B|143684	-	SE	chr11:95512121-95512242:95512299-95512771		1.8418	0.015	56.25
AR_PATHWAY	BLCA	NASP|4678	+	SE	chr1:46072263-46072993:46074009-46078841		1.824	-0.1044	25
AR_PATHWAY	BLCA	NECAP1|25977	+	SE	chr12:8242895-8244365:8244446-8245272		1.811	0.3657	25
AR_PATHWAY	BLCA	SLC30A5|64924	+	A3	chr5:68414455-68417521:68414455-68417574		1.8105	0.4499	56.25
