# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	DOCK11|139818	+	SE	chrX:117749674-117750165:117750203-117752513		3.8327	0.6468	68.75
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	TMX2|51075	+	SE	chr11:57505140-57505385:57505498-57505826		3.6014	-0.6025	50
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	LOC388152|388152	-	SE	chr15:84871772-84872929:84873083-84873178		3.4472	0.6699	18.75
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	PHF6|84295	+	RI	chrX:133559231:133559360-133559691:133562821		3.3201	-0.7051	6.25
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		3.0884	-0.6546	50
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		2.9548	-0.6539	62.5
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		2.846	-0.6989	56.25
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		2.8208	0.6421	81.25
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920		2.6292	-0.6825	68.75
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		2.5406	0.5614	43.75
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	SUPT3H|8464	-	SE	chr6:44971529-44982538:44982628-44988283		2.5154	0.5363	37.5
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	PDE4DIP|9659	-	A5	chr1:144915639-144916570:144915639-144916576		2.5093	-0.6471	56.25
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	TMX2|51075	+	SE	chr11:57505140-57505308:57505498-57505826		2.4562	-0.5861	50
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		2.4485	0.5756	62.5
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	REPIN1|29803	+	SE	chr7:150066957-150067849:150067973-150068317		2.4199	-0.2149	25
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.4064	-0.5917	43.75
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	METTL8|79828	-	MX	chr2:172217023-172248553:172248707-172290393:172217023-172271113:172271236-172290393		2.3264	0.1105	12.5
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	RPE|6120	+	A3	chr2:210882283-210884393:210882283-210884397		2.2727	0.4442	12.5
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	ZNF347|84671	-	A5	chr19:53657046-53661933:53657046-53662262		2.266	0.161	37.5
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	PFKM|5213	+	A5	chr12:48529166-48531504:48528821-48531504		2.2656	-0.2797	50
EUKARYOTIC_TRANSLATION_INITIATION	KIRP	ZNF525|170958	+	A3	chr19:53879149-53883975:53879149-53888223		2.2617	-0.6462	56.25
