# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		5.8816	-0.8043	18.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		5.4582	-0.7806	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		5.432	-0.7854	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		5.365	-0.7088	81.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		5.2161	0.708	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		4.6207	0.7377	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		4.2076	0.6571	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		4.0025	0.6387	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		3.9502	0.6867	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	STAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		3.8947	-0.6379	75
