# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	THCA	ASAP2|8853	+	SE	chr2:9528675-9531191:9531325-9533611		6.0519	0.6267	56.25
AR_PATHWAY	THCA	WAC|51322	+	SE	chr10:28879761-28884662:28884970-28897115		5.6371	0.629	43.75
AR_PATHWAY	THCA	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		5.3325	-0.5451	50
AR_PATHWAY	THCA	TIAM1|7074	-	SE	chr21:32582531-32585714:32585788-32589869		5.0066	0.6239	56.25
AR_PATHWAY	THCA	TLN2|83660	+	A5	chr15:63128317-63131055:63128272-63131055		4.8683	-0.6331	75
AR_PATHWAY	THCA	TMEM104|54868	+	A3	chr17:72815982-72832066:72815982-72835026		4.6545	0.5778	50
AR_PATHWAY	THCA	ELF1|1997	-	A3	chr13:41524109-41525465:41524037-41525465		4.6414	0.6122	43.75
AR_PATHWAY	THCA	OGT|8473	+	SE	chrX:70774442-70775040:70775235-70775804		4.6115	0.618	50
AR_PATHWAY	THCA	SYNCRIP|10492	-	SE	chr6:86350282-86351010:86351169-86352515		4.5995	0.5665	25
AR_PATHWAY	THCA	GABRB2|2561	-	SE	chr5:160838063-160886630:160886850-160972233		4.3141	0.5758	6.25
AR_PATHWAY	THCA	ESRP2|80004	-	A5	chr16:68264930-68265081:68264930-68265199		4.2475	0.5736	43.75
AR_PATHWAY	THCA	CLCNKA|1187	+	SE	chr1:16350423-16351354:16351386-16352603		4.0643	-0.3193	6.25
AR_PATHWAY	THCA	BCLAF1|9774	-	A3	chr6:136597646-136599003:136597127-136599003		3.977	0.5337	37.5
AR_PATHWAY	THCA	PDGFC|56034	-	RI	chr4:157731989:157732020-157732105:157732169		3.9573	0.5824	50
AR_PATHWAY	THCA	TIAM1|7074	-	SE	chr21:32567621-32575224:32575328-32582361		3.9412	0.6239	37.5
AR_PATHWAY	THCA	GABRB2|2561	-	SE	chr5:160972300-160973328:160973419-160973573		3.8321	0.6187	25
AR_PATHWAY	THCA	MGAT4C|25834	-	SE	chr12:86383330-86421882:86421982-86443452		3.7538	-0.4014	6.25
AR_PATHWAY	THCA	MAMLD1|10046	+	SE	chrX:149613878-149631038:149631112-149638017		3.7327	0.3687	25
AR_PATHWAY	THCA	MBNL1|4154	+	MX	chr3:152165562-152173331:152173366-152177060:152165562-152174056:152174150-152177060		3.7007	-0.6101	81.25
