# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	SKCM	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	5.4369	0.623	81.25
ANGIOGENESIS	SKCM	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643		4.9821	0.4293	75
ANGIOGENESIS	SKCM	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		4.428	-0.6383	87.5
ANGIOGENESIS	SKCM	COL16A1|1307	-	SE	chr1:32134456-32136203:32136247-32137216		4.3792	0.4294	68.75
ANGIOGENESIS	SKCM	KIAA1274|27143	+	A3	chr10:72301290-72307062:72301290-72307066		4.229	0.5314	81.25
ANGIOGENESIS	SKCM	KLHL12|59349	-	SE	chr1:202861787-202862367:202862553-202863312		3.9685	0.5603	81.25
ANGIOGENESIS	SKCM	ANO1|55107	+	RI	chr11:70033844:70035001-70035002:70035649		3.9604	-0.5631	81.25
ANGIOGENESIS	SKCM	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.943	0.5706	100
ANGIOGENESIS	SKCM	NRP1|8829	-	A5	chr10:33486637-33491819:33486637-33491840	Observed	3.7264	0.3147	56.25
ANGIOGENESIS	SKCM	MERTK|10461	+	A5	chr2:112687117-112702537:112686881-112702537		3.6463	0.4561	31.25
ANGIOGENESIS	SKCM	HPS4|89781	-	A5	chr22:26878206-26879711:26878206-26879731		3.578	-0.4687	50
ANGIOGENESIS	SKCM	NRP1|8829	-	SE	chr10:33552801-33559603:33559784-33619636	Observed	3.4221	0.4242	43.75
ANGIOGENESIS	SKCM	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.3785	-0.4513	93.75
ANGIOGENESIS	SKCM	ANO1|55107	+	SE	chr11:69999234-70002017:70002094-70003053		3.3109	0.5583	87.5
