# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RNA_POLYMERASE	CESC	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.7199	-0.524	87.5
RNA_POLYMERASE	CESC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		2.6274	-0.5298	87.5
RNA_POLYMERASE	CESC	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		2.6207	-0.4985	68.75
RNA_POLYMERASE	CESC	HDAC7|51564	-	SE	chr12:48183131-48183306:48183361-48183596		2.6173	-0.4164	56.25
RNA_POLYMERASE	CESC	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		2.6047	-0.4423	56.25
RNA_POLYMERASE	CESC	SNHG12|85028	-	RI	chr1:28906045:28906493-28907072:28907158		2.5797	-0.4801	87.5
RNA_POLYMERASE	CESC	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		2.5457	-0.4521	75
RNA_POLYMERASE	CESC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.4816	-0.5202	87.5
RNA_POLYMERASE	CESC	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		2.4551	-0.4071	81.25
RNA_POLYMERASE	CESC	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.3508	0.4213	75
RNA_POLYMERASE	CESC	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		2.2908	-0.4609	75
RNA_POLYMERASE	CESC	DLGAP4|22839	+	SE	chr20:35127724-35127991:35128079-35128602		2.1866	-0.4059	62.5
RNA_POLYMERASE	CESC	MTMR14|64419	+	SE	chr3:9730766-9731648:9731827-9743474		2.1663	-0.3719	43.75
RNA_POLYMERASE	CESC	SAMHD1|25939	-	SE	chr20:35526362-35526843:35526947-35532560		2.159	-0.4382	25
RNA_POLYMERASE	CESC	CCNO|10309	-	A5	chr5:54528374-54528595:54528374-54528971		2.1334	-0.2438	37.5
RNA_POLYMERASE	CESC	WDR45|11152	-	RI	chrX:48934304:48934409-48935496:48935570		2.1012	-0.3973	81.25
RNA_POLYMERASE	CESC	GYLTL1B|120071	+	SE	chr11:45949620-45949728:45949923-45950181		2.0874	-0.3853	18.75
RNA_POLYMERASE	CESC	TTLL3|26140	+	SE	chr3:9859443-9860239:9860604-9862230		2.0782	-0.4315	68.75
RNA_POLYMERASE	CESC	CDH24|64403	-	SE	chr14:23519152-23521179:23521292-23521682		2.0623	-0.3195	62.5
RNA_POLYMERASE	CESC	AFMID|125061	+	SE	chr17:76187141-76198580:76198684-76198784		2.0172	-0.3814	37.5
