# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_METHYLATION	BLCA	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		2.8858	-0.3855	87.5
DNA_METHYLATION	BLCA	BAI2|576	-	RI	chr1:32200784:32200882-32201181:32201266		2.7211	0.2228	37.5
DNA_METHYLATION	BLCA	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		2.3013	-0.3133	31.25
DNA_METHYLATION	BLCA	ADARB1|104	+	A5	chr21:46643492-46645462:46642022-46645462		2.2079	0.2867	31.25
DNA_METHYLATION	BLCA	USP21|27005	+	SE	chr1:161129468-161130156:161130296-161130410		2.145	0.0234	50
DNA_METHYLATION	BLCA	SCYL1|57410	+	A3	chr11:65305653-65305741:65305653-65305913		2.1226	-0.2653	75
DNA_METHYLATION	BLCA	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313		2.1119	-0.2407	37.5
DNA_METHYLATION	BLCA	RNF123|63891	+	A5	chr3:49742619-49742967:49742615-49742967		2.0999	0.2464	31.25
DNA_METHYLATION	BLCA	TSPAN32|10077	+	SE	chr11:2324188-2324640:2324711-2325337		2.0671	-0.1949	37.5
DNA_METHYLATION	BLCA	GPS1|2873	+	RI	chr17:80009763:80009840-80010251:80010335		2.0216	-0.1593	50
DNA_METHYLATION	BLCA	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		2.0001	0.1717	37.5
DNA_METHYLATION	BLCA	SNX15|29907	+	SE	chr11:64803135-64806044:64806305-64807158		1.9969	-0.2608	37.5
DNA_METHYLATION	BLCA	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	1.9964	-0.3235	93.75
