# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_METHYLATION	OV	SLC37A3|84255	-	SE	chr7:140035304-140037084:140037149-140043212		2.2858	-0.347	31.25
DNA_METHYLATION	OV	MX2|4600	+	SE	chr21:42770946-42771123:42771264-42773897		2.2523	-0.3635	25
DNA_METHYLATION	OV	KIAA1432|57589	+	MX	chr9:5747505-5748585:5748714-5754841:5747505-5753200:5753238-5754841		2.1488	-0.3738	43.75
DNA_METHYLATION	OV	TMX2|51075	+	SE	chr11:57505140-57505308:57505498-57505826		2.1273	-0.2428	56.25
DNA_METHYLATION	OV	ZNF615|284370	-	SE	chr19:52498090-52503599:52503631-52505066		2.1067	-0.2707	56.25
DNA_METHYLATION	OV	ZNF615|284370	-	SE	chr19:52505534-52506950:52507153-52511394		2.1003	-0.2189	43.75
DNA_METHYLATION	OV	COPB2|9276	-	A5	chr3:139102277-139108390:139102277-139108473		2.0918	-0.3681	25
DNA_METHYLATION	OV	MRPL55|128308	-	SE	chr1:228296019-228296656:228296722-228296962		2.0067	-0.0264	56.25
DNA_METHYLATION	OV	HIVEP1|3096	+	SE	chr6:12131175-12136024:12136125-12161672		1.9898	-0.3015	43.75
DNA_METHYLATION	OV	FBXL5|26234	-	SE	chr4:15640317-15642411:15642506-15646116		1.9785	-0.3733	62.5
DNA_METHYLATION	OV	WAPAL|23063	-	SE	chr10:88206206-88211724:88211888-88212977		1.951	-0.3144	50
DNA_METHYLATION	OV	POLI|11201	+	A5	chr18:51797855-51800296:51796402-51800296		1.9292	-0.3162	50
DNA_METHYLATION	OV	GIT2|9815	-	SE	chr12:110377052-110383065:110383154-110385061		1.9197	-0.202	25
DNA_METHYLATION	OV	MYST2|11143	+	SE	chr17:47893275-47895182:47895373-47898699		1.9189	-0.3472	56.25
