# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MATRIX_METALLOPROTEINASES	LUAD	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		5.583	-0.5843	93.75
MATRIX_METALLOPROTEINASES	LUAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		5.2737	-0.549	87.5
MATRIX_METALLOPROTEINASES	LUAD	PPAPDC1A|196051	+	A3	chr10:122278408-122280483:122278408-122280518		4.4016	0.3712	50
MATRIX_METALLOPROTEINASES	LUAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.1661	0.4283	100
MATRIX_METALLOPROTEINASES	LUAD	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		3.8881	0.3949	68.75
MATRIX_METALLOPROTEINASES	LUAD	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		3.874	-0.3752	68.75
MATRIX_METALLOPROTEINASES	LUAD	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		3.3566	-0.3163	68.75
MATRIX_METALLOPROTEINASES	LUAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.3359	-0.3541	100
MATRIX_METALLOPROTEINASES	LUAD	PHLDB1|23187	+	RI	chr11:118514790:118514892-118515365:118515409		3.2378	-0.3451	62.5
MATRIX_METALLOPROTEINASES	LUAD	PBX1|5087	+	SE	chr1:164781386-164789309:164789421-164790774		3.1397	-0.3261	43.75
MATRIX_METALLOPROTEINASES	LUAD	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		3.1308	0.4009	93.75
