# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	KIRC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.1243	0.4861	81.25
COMPLEMENT_PATHWAY	KIRC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.0331	-0.4808	93.75
COMPLEMENT_PATHWAY	KIRC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.6958	0.4878	93.75
COMPLEMENT_PATHWAY	KIRC	SLC11A1|6556	+	A5	chr2:219247825-219248966:219247793-219248966		3.6502	-0.4771	62.5
COMPLEMENT_PATHWAY	KIRC	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		3.6352	0.4913	56.25
COMPLEMENT_PATHWAY	KIRC	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		3.3892	-0.3725	56.25
COMPLEMENT_PATHWAY	KIRC	CACNA2D4|93589	-	SE	chr12:1919506-1919709:1919753-1920828		3.3708	-0.4748	68.75
COMPLEMENT_PATHWAY	KIRC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.3696	-0.4323	93.75
COMPLEMENT_PATHWAY	KIRC	BIN1|274	-	SE	chr2:127808488-127808730:127808819-127816587		3.2666	-0.4557	75
COMPLEMENT_PATHWAY	KIRC	IL20RB|53833	+	SE	chr3:136701192-136705536:136705626-136708283		3.2368	-0.3355	18.75
COMPLEMENT_PATHWAY	KIRC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.0706	-0.4479	93.75
COMPLEMENT_PATHWAY	KIRC	SLC11A1|6556	+	SE	chr2:219247098-219247683:219247793-219248966		3.0636	0.4686	18.75
COMPLEMENT_PATHWAY	KIRC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		3.0554	0.4788	100
COMPLEMENT_PATHWAY	KIRC	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		2.968	-0.4577	68.75
COMPLEMENT_PATHWAY	KIRC	CACNA2D4|93589	-	SE	chr12:1910284-1910740:1910810-1919444		2.9545	-0.4306	68.75
COMPLEMENT_PATHWAY	KIRC	CARD14|79092	+	A5	chr17:78178150-78178834:78178140-78178834		2.8987	-0.3136	31.25
COMPLEMENT_PATHWAY	KIRC	ADRBK2|157	+	SE	chr22:25961120-26000344:26000420-26040559		2.833	-0.3446	37.5
COMPLEMENT_PATHWAY	KIRC	LGALS12|85329	+	A3	chr11:63276113-63276247:63276113-63276250		2.7663	0.2583	12.5
COMPLEMENT_PATHWAY	KIRC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		2.7072	0.4878	93.75
COMPLEMENT_PATHWAY	KIRC	KHK|3795	+	MX	chr2:27315316-27317342:27317479-27319597:27315316-27317668:27317802-27319597		2.6797	0.323	31.25
COMPLEMENT_PATHWAY	KIRC	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		2.6605	0.3855	93.75
COMPLEMENT_PATHWAY	KIRC	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		2.5665	-0.3303	18.75
COMPLEMENT_PATHWAY	KIRC	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		2.4309	-0.4716	87.5
COMPLEMENT_PATHWAY	KIRC	DERL3|91319	-	RI	chr22:24176691:24179149-24179251:24179341		2.4001	-0.3189	75
COMPLEMENT_PATHWAY	KIRC	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		2.385	-0.2111	25
COMPLEMENT_PATHWAY	KIRC	GEMIN7|79760	+	SE	chr19:45582635-45583165:45583287-45593365		2.3755	-0.2789	37.5
COMPLEMENT_PATHWAY	KIRC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.3534	-0.3493	87.5
COMPLEMENT_PATHWAY	KIRC	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		2.3389	-0.3641	81.25
COMPLEMENT_PATHWAY	KIRC	CHI3L2|1117	+	SE	chr1:111770391-111772474:111772503-111773364		2.3378	0.2477	56.25
COMPLEMENT_PATHWAY	KIRC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.3341	-0.4378	87.5
COMPLEMENT_PATHWAY	KIRC	ZNF185|7739	+	SE	chrX:152087625-152088872:152088955-152089251		2.3177	-0.3611	56.25
COMPLEMENT_PATHWAY	KIRC	CHTF18|63922	+	A5	chr16:842367-842439:842347-842439		2.317	-0.129	12.5
COMPLEMENT_PATHWAY	KIRC	PLB1|151056	+	SE	chr2:28802574-28804935:28805000-28805272		2.2837	-0.2785	43.75
COMPLEMENT_PATHWAY	KIRC	CD44|960	+	SE	chr11:35211612-35227659:35227790-35229652	Observed	2.2706	0.1931	31.25
COMPLEMENT_PATHWAY	KIRC	HP|3240	+	MX	chr16:72090530-72091291:72091365-72094011:72090530-72093013:72093087-72094011		2.2331	0.3539	31.25
COMPLEMENT_PATHWAY	KIRC	KHK|3795	+	MX	chr2:27315316-27317345:27317479-27319597:27315316-27317668:27317802-27319597		2.2117	0.2691	18.75
COMPLEMENT_PATHWAY	KIRC	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		2.1923	-0.3708	50
COMPLEMENT_PATHWAY	KIRC	COL25A1|84570	-	A5	chr4:109766407-109767295:109766407-109767339		2.1909	-0.3144	18.75
COMPLEMENT_PATHWAY	KIRC	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		2.1737	0.3022	68.75
COMPLEMENT_PATHWAY	KIRC	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.1654	0.3814	75
COMPLEMENT_PATHWAY	KIRC	ALS2CL|259173	-	A5	chr3:46722897-46722990:46722897-46722994		2.1654	0.0173	37.5
COMPLEMENT_PATHWAY	KIRC	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		2.1646	0.3479	81.25
COMPLEMENT_PATHWAY	KIRC	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		2.1567	-0.1689	68.75
COMPLEMENT_PATHWAY	KIRC	ZNF185|7739	+	SE	chrX:152090800-152091264:152091353-152100216		2.1461	-0.2534	31.25
COMPLEMENT_PATHWAY	KIRC	FOXN3|1112	-	SE	chr14:89647150-89656728:89656793-89747294		2.1419	0.1537	31.25
