# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	COAD	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		4.4194	0.6829	43.75
COMPLEMENT_ACTIVATION	COAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		4.0422	-0.6215	100
COMPLEMENT_ACTIVATION	COAD	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.0171	0.6228	93.75
COMPLEMENT_ACTIVATION	COAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		3.926	0.7428	68.75
COMPLEMENT_ACTIVATION	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.8583	0.6521	50
COMPLEMENT_ACTIVATION	COAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.6577	-0.6505	81.25
COMPLEMENT_ACTIVATION	COAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		3.6561	-0.6922	56.25
COMPLEMENT_ACTIVATION	COAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.5364	-0.6006	62.5
COMPLEMENT_ACTIVATION	COAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		3.482	-0.6114	100
COMPLEMENT_ACTIVATION	COAD	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		3.4451	-0.5401	93.75
COMPLEMENT_ACTIVATION	COAD	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		3.3682	0.4549	87.5
COMPLEMENT_ACTIVATION	COAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		3.3166	0.5387	62.5
COMPLEMENT_ACTIVATION	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.1906	0.6625	43.75
COMPLEMENT_ACTIVATION	COAD	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		3.1839	0.4666	37.5
COMPLEMENT_ACTIVATION	COAD	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		3.166	-0.6922	75
COMPLEMENT_ACTIVATION	COAD	BIN2|51411	-	A5	chr12:51693498-51695804:51693498-51696470		3.0711	0.6233	56.25
COMPLEMENT_ACTIVATION	COAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		3.02	0.5721	75
