# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	PRAD	SCMH1|22955	-	SE	chr1:41608784-41617286:41617356-41625397		4.6535	-0.6383	50
RRNA_PROCESSING	PRAD	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		4.1403	-0.5611	75
RRNA_PROCESSING	PRAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		4.1305	-0.4396	50
RRNA_PROCESSING	PRAD	SPHK2|56848	+	SE	chr19:49123810-49129148:49129619-49130949		3.8885	-0.5963	37.5
RRNA_PROCESSING	PRAD	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		3.7677	0.6299	68.75
RRNA_PROCESSING	PRAD	SBF1|6305	-	SE	chr22:50895102-50895463:50895540-50897684		3.7569	-0.5485	50
RRNA_PROCESSING	PRAD	FOXK2|3607	+	SE	chr17:80554067-80557968:80558120-80559179		3.6465	-0.5933	68.75
RRNA_PROCESSING	PRAD	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		3.6083	-0.6154	68.75
RRNA_PROCESSING	PRAD	ATXN7L3|56970	-	A3	chr17:42272526-42272787:42272508-42272787		3.5971	0.5628	68.75
RRNA_PROCESSING	PRAD	RPAP1|26015	-	SE	chr15:41814448-41814963:41815158-41815443		3.5677	-0.607	81.25
RRNA_PROCESSING	PRAD	NDRG2|57447	-	A5	chr14:21492255-21493008:21492255-21493188		3.4908	-0.0339	25
RRNA_PROCESSING	PRAD	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		3.4208	0.6238	62.5
RRNA_PROCESSING	PRAD	TRAP1|10131	-	SE	chr16:3739138-3740828:3740986-3767422		3.407	-0.5351	43.75
RRNA_PROCESSING	PRAD	IARS|3376	-	SE	chr9:95050192-95050408:95050564-95051583		3.4033	-0.5867	62.5
RRNA_PROCESSING	PRAD	ITGB5|3693	-	SE	chr3:124515664-124527869:124528003-124536468		3.3738	-0.6001	56.25
RRNA_PROCESSING	PRAD	OSBPL5|114879	-	A5	chr11:3140861-3141651:3140861-3141774		3.3128	-0.6171	50
RRNA_PROCESSING	PRAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.2706	-0.5629	62.5
RRNA_PROCESSING	PRAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.2274	-0.6026	56.25
RRNA_PROCESSING	PRAD	EPB41L1|2036	+	SE	chr20:34680735-34701615:34701721-34761686		3.224	0.5542	43.75
RRNA_PROCESSING	PRAD	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		3.1805	0.6263	87.5
RRNA_PROCESSING	PRAD	RAF1|5894	-	SE	chr3:12645788-12647700:12647798-12650265		3.18	-0.6092	62.5
RRNA_PROCESSING	PRAD	FBXL5|26234	-	SE	chr4:15640317-15642411:15642506-15646116		3.1284	-0.5794	75
RRNA_PROCESSING	PRAD	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		3.071	-0.5533	75
RRNA_PROCESSING	PRAD	MAPKBP1|23005	+	A3	chr15:42116259-42116682:42116259-42116688		3.0666	-0.5916	75
RRNA_PROCESSING	PRAD	NF1|4763	+	SE	chr17:29490394-29496909:29497015-29508440		3.0663	-0.5675	31.25
RRNA_PROCESSING	PRAD	NFRKB|4798	-	A3	chr11:129744228-129744396:129744225-129744396		3.0617	-0.6231	68.75
RRNA_PROCESSING	PRAD	KIAA0195|9772	+	A5	chr17:73487548-73487772:73487536-73487772		3.0413	0.5868	50
RRNA_PROCESSING	PRAD	POLL|27343	-	A5	chr10:103347163-103347642:103347163-103347961		3.004	-0.4759	75
RRNA_PROCESSING	PRAD	DCAF8|50717	-	A5	chr1:160231148-160231907:160231148-160232239		3.0021	-0.533	31.25
RRNA_PROCESSING	PRAD	ZDHHC5|25921	+	SE	chr11:57435659-57439493:57440666-57449894		2.9595	-0.5872	75
RRNA_PROCESSING	PRAD	KIAA0892|23383	+	A5	chr19:19458175-19459698:19458172-19459698		2.9506	-0.6363	56.25
RRNA_PROCESSING	PRAD	COASY|80347	+	A3	chr17:40714237-40714630:40714237-40714951		2.9498	-0.5595	68.75
RRNA_PROCESSING	PRAD	FAM189B|10712	-	A3	chr1:155220720-155220886:155220612-155220886		2.9196	0.6149	68.75
RRNA_PROCESSING	PRAD	GALNT11|63917	+	SE	chr7:151722969-151791275:151791607-151797883		2.8645	-0.603	62.5
RRNA_PROCESSING	PRAD	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.8625	0.5845	56.25
RRNA_PROCESSING	PRAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.8564	-0.6234	50
RRNA_PROCESSING	PRAD	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		2.8377	-0.4993	62.5
RRNA_PROCESSING	PRAD	TGM2|7052	-	SE	chr20:36779459-36784249:36784491-36789822		2.8263	-0.5777	56.25
RRNA_PROCESSING	PRAD	SYNGAP1|8831	+	A3	chr6:33414563-33415607:33414563-33415620		2.7895	0.6102	68.75
RRNA_PROCESSING	PRAD	DEPDC5|9681	+	A3	chr22:32229966-32232985:32229966-32233080		2.7746	-0.558	62.5
RRNA_PROCESSING	PRAD	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		2.7465	-0.58	43.75
RRNA_PROCESSING	PRAD	LRRK1|79705	+	SE	chr15:101606946-101607445:101607592-101608876		2.7387	0.6273	62.5
