# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MATRIX_METALLOPROTEINASES	LUSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		9.217	-0.6135	87.5
MATRIX_METALLOPROTEINASES	LUSC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		7.7487	-0.6075	93.75
MATRIX_METALLOPROTEINASES	LUSC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		6.6834	-0.5548	100
MATRIX_METALLOPROTEINASES	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		6.6343	0.576	100
MATRIX_METALLOPROTEINASES	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		6.5934	0.5716	81.25
MATRIX_METALLOPROTEINASES	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		6.2369	-0.5443	68.75
MATRIX_METALLOPROTEINASES	LUSC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		5.4486	0.4026	100
MATRIX_METALLOPROTEINASES	LUSC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.3848	-0.5642	100
MATRIX_METALLOPROTEINASES	LUSC	ARHGAP17|55114	-	SE	chr16:24946960-24950685:24950918-24953308		5.283	0.4813	43.75
MATRIX_METALLOPROTEINASES	LUSC	THBS3|7059	-	SE	chr1:155173330-155174646:155174748-155174851		4.9624	0.3837	50
MATRIX_METALLOPROTEINASES	LUSC	TRO|7216	+	A5	chrX:54957464-54957637:54955143-54957637		4.8461	0.3938	43.75
MATRIX_METALLOPROTEINASES	LUSC	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		4.785	0.3677	75
MATRIX_METALLOPROTEINASES	LUSC	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		4.6805	0.4123	68.75
MATRIX_METALLOPROTEINASES	LUSC	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		4.6231	0.3797	75
MATRIX_METALLOPROTEINASES	LUSC	POLD4|57804	-	A5	chr11:67120548-67120774:67120548-67121010		4.3518	0.3957	37.5
MATRIX_METALLOPROTEINASES	LUSC	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		4.3178	-0.4371	31.25
MATRIX_METALLOPROTEINASES	LUSC	SORCS2|57537	+	A3	chr4:7736101-7738793:7736101-7738796		4.1191	-0.3749	62.5
MATRIX_METALLOPROTEINASES	LUSC	TACC2|10579	+	SE	chr10:123954691-123969389:123969484-123969912		4.061	0.3637	43.75
MATRIX_METALLOPROTEINASES	LUSC	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		4.007	-0.3382	68.75
MATRIX_METALLOPROTEINASES	LUSC	ACACA|31	-	SE	chr17:35641871-35646320:35646430-35687113		3.9801	-0.3948	31.25
MATRIX_METALLOPROTEINASES	LUSC	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		3.9315	0.3752	62.5
MATRIX_METALLOPROTEINASES	LUSC	SORCS2|57537	+	A5	chr4:7738941-7741927:7738899-7741927		3.8903	-0.3749	81.25
MATRIX_METALLOPROTEINASES	LUSC	SH3TC1|54436	+	A3	chr4:8207093-8211392:8207093-8211475		3.8829	0.1058	31.25
MATRIX_METALLOPROTEINASES	LUSC	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		3.7439	-0.4249	75
MATRIX_METALLOPROTEINASES	LUSC	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		3.7282	-0.4024	87.5
MATRIX_METALLOPROTEINASES	LUSC	SH3TC1|54436	+	SE	chr4:8207093-8211392:8211549-8214428		3.698	0.2157	37.5
MATRIX_METALLOPROTEINASES	LUSC	CLEC5A|23601	-	SE	chr7:141635750-141643696:141643764-141645141		3.6069	0.3264	56.25
MATRIX_METALLOPROTEINASES	LUSC	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		3.5367	-0.4045	75
MATRIX_METALLOPROTEINASES	LUSC	FAP|2191	-	SE	chr2:163080170-163080976:163081050-163081993		3.5113	0.2007	68.75
MATRIX_METALLOPROTEINASES	LUSC	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		3.4581	0.4437	75
MATRIX_METALLOPROTEINASES	LUSC	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		3.4195	0.2753	81.25
MATRIX_METALLOPROTEINASES	LUSC	PAX8|7849	-	A3	chr2:113993159-113994178:113993080-113994178		3.4055	0.2888	37.5
MATRIX_METALLOPROTEINASES	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		3.3086	0.4663	68.75
MATRIX_METALLOPROTEINASES	LUSC	CACNA1C|775	+	SE	chr12:2743546-2757641:2757673-2760806		3.3053	0.3138	37.5
MATRIX_METALLOPROTEINASES	LUSC	ADAM33|80332	-	RI	chr20:3653368:3653545-3654001:3654143		3.304	-0.3198	50
MATRIX_METALLOPROTEINASES	LUSC	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		3.2859	-0.3642	68.75
MATRIX_METALLOPROTEINASES	LUSC	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		3.2767	-0.3947	93.75
MATRIX_METALLOPROTEINASES	LUSC	AFAP1L2|84632	-	SE	chr10:116060118-116060204:116060449-116061113		3.2626	0.3881	37.5
MATRIX_METALLOPROTEINASES	LUSC	PHLDB1|23187	+	RI	chr11:118514790:118514892-118515365:118515409		3.2373	-0.2664	62.5
MATRIX_METALLOPROTEINASES	LUSC	CD151|977	+	SE	chr11:833022-834530:834591-836063		3.2026	-0.2789	50
MATRIX_METALLOPROTEINASES	LUSC	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		3.1418	-0.3755	75
MATRIX_METALLOPROTEINASES	LUSC	RAB6A|5870	-	MX	chr11:73427407-73429658:73429763-73431891:73427407-73429830:73429935-73431891		3.0646	-0.3589	31.25
MATRIX_METALLOPROTEINASES	LUSC	HSD17B1|3292	+	SE	chr17:40705636-40705812:40705905-40706423		3.0641	0.26	25
MATRIX_METALLOPROTEINASES	LUSC	EVI5L|115704	+	A3	chr19:7920954-7921865:7920954-7921978		3.0597	-0.3673	68.75
MATRIX_METALLOPROTEINASES	LUSC	ARAP1|116985	-	SE	chr11:72399582-72403798:72403830-72404370		2.9867	-0.3001	43.75
MATRIX_METALLOPROTEINASES	LUSC	EFEMP2|30008	-	RI	chr11:65633913:65634183-65634316:65634550		2.9494	-0.3093	81.25
MATRIX_METALLOPROTEINASES	LUSC	MEG3|55384	+	MX	chr14:101296086-101297758:101297871-101302504:101296086-101302073:101302216-101302504		2.9425	0.0675	37.5
MATRIX_METALLOPROTEINASES	LUSC	COL8A1|1295	+	A3	chr3:99509854-99513071:99509854-99513074		2.9403	0.2202	56.25
MATRIX_METALLOPROTEINASES	LUSC	FAM176A|84141	-	SE	chr2:75749613-75753238:75753325-75787806		2.9182	0.3	50
MATRIX_METALLOPROTEINASES	LUSC	NIPSNAP3B|55335	+	SE	chr9:107533279-107533515:107533597-107535103		2.8871	0.3399	43.75
MATRIX_METALLOPROTEINASES	LUSC	RREB1|6239	+	SE	chr6:7232140-7240671:7240835-7246657		2.8453	0.3828	43.75
MATRIX_METALLOPROTEINASES	LUSC	FAM113A|64773	-	RI	chr20:2819490:2819575-2819838:2819917		2.8439	-0.3263	75
MATRIX_METALLOPROTEINASES	LUSC	NRP2|8828	+	A5	chr2:206631542-206656959:206631527-206656959		2.8278	0.2351	37.5
MATRIX_METALLOPROTEINASES	LUSC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.8084	0.3742	68.75
MATRIX_METALLOPROTEINASES	LUSC	EVI5L|115704	+	SE	chr19:7920954-7921978:7922010-7923077		2.8078	0.3339	62.5
MATRIX_METALLOPROTEINASES	LUSC	PLSCR3|57048	-	SE	chr17:7296271-7296463:7296683-7296786		2.7875	0.3159	50
MATRIX_METALLOPROTEINASES	LUSC	HEPH|9843	+	A3	chrX:65483530-65486282:65483530-65486285		2.7518	-0.3333	37.5
MATRIX_METALLOPROTEINASES	LUSC	SH3D19|152503	-	A3	chr4:152096847-152097686:152096826-152097686		2.7407	0.2738	31.25
MATRIX_METALLOPROTEINASES	LUSC	ADAM33|80332	-	SE	chr20:3651992-3652066:3652143-3652228		2.7359	0.3082	31.25
MATRIX_METALLOPROTEINASES	LUSC	CASC4|113201	+	SE	chr15:44673174-44695085:44695252-44705534		2.7301	0.3508	25
MATRIX_METALLOPROTEINASES	LUSC	CREB3L1|90993	+	A5	chr11:46342079-46342261:46342077-46342261		2.7257	-0.1692	50
MATRIX_METALLOPROTEINASES	LUSC	PPAPDC1A|196051	+	A3	chr10:122278408-122280483:122278408-122280518		2.7256	0.2946	50
MATRIX_METALLOPROTEINASES	LUSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.7187	0.3474	50
MATRIX_METALLOPROTEINASES	LUSC	SCRN2|90507	-	RI	chr17:45915049:45915368-45915636:45915816		2.7041	-0.3073	56.25
MATRIX_METALLOPROTEINASES	LUSC	CPA4|51200	+	SE	chr7:129939244-129940656:129940754-129944318		2.6968	0.325	18.75
MATRIX_METALLOPROTEINASES	LUSC	C16orf13|84326	-	SE	chr16:684797-684889:684956-685281		2.6782	0.2696	37.5
MATRIX_METALLOPROTEINASES	LUSC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		2.6692	0.3419	62.5
MATRIX_METALLOPROTEINASES	LUSC	KCTD17|79734	+	SE	chr22:37456962-37457144:37457215-37457579		2.656	-0.2456	43.75
MATRIX_METALLOPROTEINASES	LUSC	F10|2159	+	A5	chr13:113801810-113803230:113801800-113803230		2.6523	0.2897	18.75
MATRIX_METALLOPROTEINASES	LUSC	HEPH|9843	+	SE	chrX:65384312-65390400:65390579-65392197		2.6357	-0.0165	62.5
MATRIX_METALLOPROTEINASES	LUSC	RREB1|6239	+	SE	chr6:7240835-7246657:7247454-7248744		2.6284	0.3352	37.5
MATRIX_METALLOPROTEINASES	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		2.6093	0.4543	62.5
MATRIX_METALLOPROTEINASES	LUSC	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		2.5926	0.3648	87.5
MATRIX_METALLOPROTEINASES	LUSC	OGN|4969	-	A3	chr9:95165764-95166778:95165683-95166778		2.5901	0.2908	12.5
MATRIX_METALLOPROTEINASES	LUSC	PLXDC1|57125	-	A3	chr17:37235781-37239712:37235417-37239712		2.5836	-0.2668	50
MATRIX_METALLOPROTEINASES	LUSC	CPZ|8532	+	SE	chr4:8594648-8601180:8601212-8602850		2.5784	0.2275	81.25
MATRIX_METALLOPROTEINASES	LUSC	NEXN|91624	+	SE	chr1:78381818-78383251:78383442-78383645		2.5726	0.1385	50
MATRIX_METALLOPROTEINASES	LUSC	PLK1S1|55857	+	A5	chr20:21186222-21195173:21186168-21195173		2.5423	-0.3031	62.5
MATRIX_METALLOPROTEINASES	LUSC	LAMA2|3908	+	SE	chr6:129794497-129796535:129796546-129799838		2.5367	0.3744	75
MATRIX_METALLOPROTEINASES	LUSC	HIBCH|26275	-	SE	chr2:191069958-191073606:191073639-191077682		2.527	0.2192	6.25
MATRIX_METALLOPROTEINASES	LUSC	FAM126A|84668	-	SE	chr7:22985782-22986571:22986866-22999875		2.5206	0.218	62.5
MATRIX_METALLOPROTEINASES	LUSC	ZNF74|7625	+	A5	chr22:20748952-20749623:20748624-20749623		2.5192	0.137	50
MATRIX_METALLOPROTEINASES	LUSC	FKBP10|60681	+	SE	chr17:39975927-39976093:39976275-39976521		2.4886	-0.2506	31.25
MATRIX_METALLOPROTEINASES	LUSC	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		2.482	0.3019	56.25
MATRIX_METALLOPROTEINASES	LUSC	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837		2.4809	-0.215	18.75
MATRIX_METALLOPROTEINASES	LUSC	PPP3CB|5532	-	SE	chr10:75239275-75239608:75239726-75255563		2.464	-0.3911	62.5
MATRIX_METALLOPROTEINASES	LUSC	DIO2|1734	-	RI	chr14:80677594:80677868-80678177:80678525		2.453	0.0484	31.25
MATRIX_METALLOPROTEINASES	LUSC	TSPAN4|7106	+	SE	chr11:842915-847201:847300-850288		2.4122	-0.0826	31.25
MATRIX_METALLOPROTEINASES	LUSC	PLAU|5328	+	A5	chr10:75670980-75671283:75670976-75671283		2.3901	-0.2566	68.75
MATRIX_METALLOPROTEINASES	LUSC	AXL|558	+	SE	chr19:41745219-41745599:41745625-41748788		2.3613	0.1499	75
MATRIX_METALLOPROTEINASES	LUSC	NAGS|162417	+	RI	chr17:42083897:42084077-42084691:42084862		2.3605	-0.3058	62.5
MATRIX_METALLOPROTEINASES	LUSC	ZDHHC4|55146	+	SE	chr7:6617129-6617221:6617351-6618197		2.3588	0.2067	56.25
MATRIX_METALLOPROTEINASES	LUSC	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		2.3409	-0.3186	81.25
MATRIX_METALLOPROTEINASES	LUSC	ST6GALNAC5|81849	+	A3	chr1:77510298-77515943:77510298-77515947		2.3328	0.3537	12.5
