# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	F11R|50848	-	SE	chr1:160970138-160970421:160970567-160970810		4.5285	-0.5558	43.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TACC3|10460	+	A5	chr4:1739441-1741429:1739429-1741429		4.094	0.4763	25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	ZNF839|55778	+	A5	chr14:102805566-102807660:102805560-102807660		3.7322	0.4233	50
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	YAP1|10413	+	SE	chr11:102033302-102056749:102056862-102076624		3.5908	-0.2661	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TTLL4|9654	+	SE	chr2:219610954-219611726:219611917-219612013		3.4845	-0.5256	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	STAU1|6780	-	SE	chr20:47770608-47790732:47790806-47804653		3.4151	-0.5133	43.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		3.4141	-0.5447	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	KLC2|64837	+	SE	chr11:66026293-66029213:66029443-66029594		3.3466	-0.4044	25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TLK2|11011	+	SE	chr17:60600538-60601597:60601692-60613531		3.1887	-0.4693	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	YAP1|10413	+	A5	chr11:102076817-102080248:102076805-102080248		3.1148	0.4964	50
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	PLEKHA2|59339	+	SE	chr8:38758963-38775425:38775588-38793512		3.0081	-0.5275	56.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	FBXL5|26234	-	SE	chr4:15640317-15642411:15642506-15646116		3.0032	-0.5314	75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TBC1D1|23216	+	SE	chr4:38051519-38053520:38053681-38054727		2.9948	-0.4371	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	MAP4K4|9448	+	SE	chr2:102476326-102477287:102477448-102481392		2.9813	-0.4089	18.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		2.9783	-0.4669	75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442201:76442244		2.9429	-0.5536	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	GATAD2A|54815	+	SE	chr19:19576423-19603115:19603247-19603390		2.9301	-0.4914	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	GPBP1|65056	+	SE	chr5:56510020-56517203:56517223-56526673		2.9007	0.5727	81.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	MED24|9862	-	SE	chr17:38189709-38191169:38191225-38191370		2.8906	0.4993	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	GATAD2A|54815	+	SE	chr19:19603521-19605103:19605192-19606563		2.8859	-0.4914	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TDRKH|11022	-	A3	chr1:151752616-151753957:151752604-151753957		2.7911	-0.3695	6.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	FOXK2|3607	+	SE	chr17:80554067-80557968:80558120-80559179		2.7787	-0.4693	68.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	MDC1|9656	-	A3	chr6:30673875-30675161:30671598-30675161		2.7441	-0.5471	68.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	LMOD1|25802	-	A5	chr1:201867526-201868366:201867526-201868368		2.7085	0.3667	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	OLR1|4973	-	SE	chr12:10313061-10313385:10313524-10319311		2.7083	-0.4745	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313		2.7025	-0.5288	75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	RARS2|57038	-	A5	chr6:88279308-88299419:88279308-88299640		2.6612	-0.5276	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TOM1|10043	+	SE	chr22:35713954-35717952:35718012-35718992		2.6556	-0.2006	18.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	RBBP6|5930	+	SE	chr16:24578826-24579113:24579214-24580066		2.633	-0.473	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	IFT81|28981	+	A5	chr12:110562666-110565165:110562248-110565165		2.5925	-0.5458	56.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	RXRB|6257	-	A3	chr6:33163243-33163347:33163231-33163347		2.5822	0.4715	12.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	ARHGEF10L|55160	+	SE	chr1:18014242-18017615:18017687-18021653		2.5534	0.4057	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TCF4|6925	-	A3	chr18:52924622-52927180:52924619-52927180		2.5421	-0.3986	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	GAL3ST4|79690	-	SE	chr7:99758582-99764125:99764428-99764594		2.5372	-0.4736	56.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	CRTC2|200186	-	A3	chr1:153925126-153925281:153925111-153925281		2.4888	0.534	25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TEAD2|8463	-	A5	chr19:49858463-49858560:49858463-49858569		2.4794	0.2972	43.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.4762	0.3599	81.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	PLAGL1|5325	-	SE	chr6:144281679-144285924:144287367-144290044		2.4705	-0.3744	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	VRK3|51231	-	SE	chr19:50511083-50512493:50512642-50519281		2.4683	-0.4542	6.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	RTEL1|51750	+	RI	chr20:62321103:62321218-62321440:62321563		2.4393	0.396	50
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	RASSF2|9770	-	A3	chr20:4768400-4768863:4768347-4768863		2.4369	-0.4873	37.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	PTCD3|55037	+	SE	chr2:86344282-86346044:86346167-86348602		2.4366	0.508	50
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	NFIA|4774	+	SE	chr1:61872399-61892137:61892228-61920975		2.4308	0.051	18.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TBC1D15|64786	+	SE	chr12:72233591-72248565:72248633-72265850		2.4287	-0.4906	81.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	BIN1|274	-	SE	chr2:127808819-127815049:127815177-127816587		2.4286	0.0179	25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	NCEH1|57552	-	SE	chr3:172363482-172365676:172365904-172428637		2.4279	-0.5165	56.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	ARNTL|406	+	SE	chr11:13375995-13376773:13376843-13378286		2.4138	0.0479	43.75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	ENOX2|10495	-	A3	chrX:129771384-129790555:129771378-129790555		2.4107	-0.4917	31.25
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	TBC1D24|57465	+	SE	chr16:2548397-2549358:2549421-2549836		2.4065	-0.5144	62.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		2.3705	0.5662	75
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	MAP4K4|9448	+	SE	chr2:102486877-102487956:102488147-102490109		2.3662	-0.4741	12.5
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	MDC1|9656	-	SE	chr6:30675231-30675343:30676134-30679189		2.353	-0.5593	50
EUKARYOTIC_TRANSLATION_INITIATION	BLCA	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.3513	-0.4106	50
