# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	SKCM	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		4.1553	0.3688	56.25
SPLICEOSOME	SKCM	SUN2|25777	-	SE	chr22:39146325-39146903:39147040-39147215		3.4436	-0.2578	56.25
SPLICEOSOME	SKCM	HARS2|23438	+	SE	chr5:140075430-140075688:140075786-140076106		3.434	-0.3585	43.75
SPLICEOSOME	SKCM	FDPS|2224	+	A5	chr1:155278867-155279580:155278756-155279580		3.0845	0.226	56.25
SPLICEOSOME	SKCM	MYOF|26509	-	SE	chr10:95082930-95083027:95083115-95085583		2.961	-0.3446	56.25
SPLICEOSOME	SKCM	CUL4A|8451	+	RI	chr13:113882282:113882282-113882291:113882359		2.927	0.335	56.25
SPLICEOSOME	SKCM	CEP170|9859	-	SE	chr1:243336148-243349081:243349374-243349561		2.8836	0.2825	56.25
SPLICEOSOME	SKCM	NCRNA00171|80862	-	A5	chr6:30025967-30028518:30025967-30028856		2.8468	-0.2286	37.5
SPLICEOSOME	SKCM	GYG2|8908	+	SE	chrX:2793955-2795244:2795348-2799093		2.8305	-0.255	50
SPLICEOSOME	SKCM	ARHGAP17|55114	-	A3	chr16:24931581-24942105:24931568-24942105		2.7974	-0.3164	18.75
SPLICEOSOME	SKCM	PAPLN|89932	+	SE	chr14:73728002-73729058:73729535-73730353		2.7581	-0.2243	62.5
SPLICEOSOME	SKCM	P4HA1|5033	-	MX	chr10:74790128-74803645:74803715-74806683:74790128-74804739:74804809-74806683		2.6879	0.2513	31.25
SPLICEOSOME	SKCM	XYLT2|64132	+	SE	chr17:48434134-48434418:48434613-48435568		2.6659	-0.3784	43.75
SPLICEOSOME	SKCM	ATP2A3|489	-	SE	chr17:3828735-3831275:3831332-3831957		2.6323	0.3658	56.25
SPLICEOSOME	SKCM	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		2.6218	-0.2184	50
SPLICEOSOME	SKCM	QKI|9444	+	A3	chr6:163984751-163986978:163984751-163987753		2.5581	-0.3466	6.25
SPLICEOSOME	SKCM	SYNC|81493	-	SE	chr1:33147461-33149611:33149690-33149859		2.5484	-0.2277	50
SPLICEOSOME	SKCM	PDE4DIP|9659	-	SE	chr1:144868172-144871696:144871881-144873877		2.5361	0.2729	75
SPLICEOSOME	SKCM	MYO7A|4647	+	A5	chr11:76920401-76922197:76919848-76922197		2.5078	0.2893	43.75
