# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	BRCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		7.6311	0.4373	37.5
NFKB_PATHWAY	BRCA	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		6.446	-0.3661	56.25
NFKB_PATHWAY	BRCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		6.4002	-0.343	93.75
NFKB_PATHWAY	BRCA	CCDC88B|283234	+	SE	chr11:64121285-64121476:64121642-64122666		6.2737	0.4308	43.75
NFKB_PATHWAY	BRCA	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		6.1605	-0.3316	62.5
NFKB_PATHWAY	BRCA	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		6.1577	-0.4053	81.25
NFKB_PATHWAY	BRCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		6.0879	-0.4448	75
NFKB_PATHWAY	BRCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		5.978	-0.3521	68.75
NFKB_PATHWAY	BRCA	MYO5A|4644	-	SE	chr15:52628753-52630007:52630081-52632393		5.7842	0.418	25
NFKB_PATHWAY	BRCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		5.4346	0.3809	93.75
NFKB_PATHWAY	BRCA	PIK3CD|5293	+	A3	chr1:9780719-9780800:9780719-9780803		5.4073	0.293	62.5
NFKB_PATHWAY	BRCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.9479	-0.2515	87.5
NFKB_PATHWAY	BRCA	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		4.8612	0.3711	62.5
NFKB_PATHWAY	BRCA	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		4.7815	-0.4166	50
NFKB_PATHWAY	BRCA	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		4.6338	-0.3095	62.5
NFKB_PATHWAY	BRCA	ARHGAP9|64333	-	MX	chr12:57866471-57867386:57867491-57868206:57866471-57867825:57867959-57868206		4.6281	-0.4051	62.5
NFKB_PATHWAY	BRCA	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		4.4412	-0.3424	75
NFKB_PATHWAY	BRCA	ITGAL|3683	+	A3	chr16:30515585-30516565:30515585-30516568		4.3929	0.2964	50
NFKB_PATHWAY	BRCA	SLA2|84174	-	A3	chr20:35242840-35243628:35242790-35243628		4.3106	0.1321	43.75
NFKB_PATHWAY	BRCA	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		4.2653	-0.349	81.25
NFKB_PATHWAY	BRCA	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		4.2592	0.4051	75
NFKB_PATHWAY	BRCA	RAB37|326624	+	SE	chr17:72733504-72736907:72737017-72738393		4.2528	0.2966	37.5
NFKB_PATHWAY	BRCA	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		4.2359	0.2603	81.25
NFKB_PATHWAY	BRCA	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837		4.1977	-0.1772	37.5
NFKB_PATHWAY	BRCA	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		4.1435	0.298	87.5
NFKB_PATHWAY	BRCA	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		3.9899	0.2774	50
NFKB_PATHWAY	BRCA	CACNA2D4|93589	-	SE	chr12:1919506-1919709:1919753-1920828		3.9533	-0.3218	81.25
NFKB_PATHWAY	BRCA	FNBP1|23048	-	SE	chr9:132671278-132686123:132686275-132687239		3.9397	-0.265	81.25
NFKB_PATHWAY	BRCA	TBC1D10C|374403	+	SE	chr11:67174163-67174298:67174487-67176450		3.9007	0.1264	62.5
NFKB_PATHWAY	BRCA	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		3.8898	0.4033	75
NFKB_PATHWAY	BRCA	CXCR3|2833	-	A3	chrX:70837553-70838288:70837309-70838288		3.8788	0.1327	43.75
NFKB_PATHWAY	BRCA	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.8077	0.3318	50
NFKB_PATHWAY	BRCA	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785		3.7278	0.3406	50
NFKB_PATHWAY	BRCA	VPS39|23339	-	SE	chr15:42483758-42484264:42484296-42492094		3.7151	-0.1915	43.75
NFKB_PATHWAY	BRCA	PTPN7|5778	-	SE	chr1:202126951-202127246:202127429-202128409		3.6502	0.2497	75
NFKB_PATHWAY	BRCA	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		3.6064	-0.2813	62.5
NFKB_PATHWAY	BRCA	MYO7A|4647	+	A5	chr11:76920401-76922197:76919848-76922197		3.582	-0.2988	43.75
NFKB_PATHWAY	BRCA	CLEC10A|10462	-	A5	chr17:6979204-6979295:6979204-6979304		3.5297	0.2433	62.5
NFKB_PATHWAY	BRCA	MYO7A|4647	+	A3	chr11:76917247-76918041:76917247-76918334		3.5157	-0.2988	50
NFKB_PATHWAY	BRCA	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		3.4954	0.195	62.5
NFKB_PATHWAY	BRCA	BCKDHB|594	+	RI	chr6:81053381:81053529-81055692:81055987		3.4337	-0.3114	56.25
NFKB_PATHWAY	BRCA	UBASH3A|53347	+	SE	chr21:43833331-43833519:43833632-43836551		3.4032	0.2386	56.25
NFKB_PATHWAY	BRCA	LILRB1|10859	+	A3	chr19:55145139-55145422:55145139-55145425		3.3828	0.13	75
NFKB_PATHWAY	BRCA	CDH3|1001	+	SE	chr16:68679327-68679539:68679653-68710288		3.3775	0.258	43.75
NFKB_PATHWAY	BRCA	MAP4|4134	-	SE	chr3:47899002-47908736:47908828-47912348		3.3697	-0.3135	31.25
NFKB_PATHWAY	BRCA	CD40LG|959	+	SE	chrX:135736589-135738515:135738577-135741198		3.3164	0.2933	50
NFKB_PATHWAY	BRCA	DENND1C|79958	-	A3	chr19:6475762-6475848:6475654-6475848		3.3029	-0.1386	50
NFKB_PATHWAY	BRCA	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		3.2946	0.3176	43.75
NFKB_PATHWAY	BRCA	IKZF1|10320	+	SE	chr7:50367353-50444231:50444491-50450238		3.2182	-0.2166	37.5
NFKB_PATHWAY	BRCA	C18orf1|753	+	A5	chr18:13612773-13621116:13612063-13621116		3.2019	0.1712	75
NFKB_PATHWAY	BRCA	CTNND1|1500	+	SE	chr11:57582972-57583387:57583473-57583769		3.2016	-0.2106	25
NFKB_PATHWAY	BRCA	LST1|7940	+	SE	chr6:31555095-31555418:31555510-31555721		3.1973	0.0328	50
NFKB_PATHWAY	BRCA	RCSD1|92241	+	SE	chr1:167653238-167654658:167654747-167659286		3.1845	0.1952	50
NFKB_PATHWAY	BRCA	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		3.1761	-0.2877	68.75
NFKB_PATHWAY	BRCA	CSF2RB|1439	+	A3	chr22:37326552-37326697:37326552-37326715		3.1737	-0.2424	68.75
NFKB_PATHWAY	BRCA	IL10RA|3587	+	A3	chr11:117857249-117857322:117857249-117857399		3.1655	0.1233	43.75
NFKB_PATHWAY	BRCA	AP2B1|163	+	SE	chr17:33984810-33997876:33997917-33998773		3.1354	-0.0279	37.5
NFKB_PATHWAY	BRCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.1309	0.2865	93.75
NFKB_PATHWAY	BRCA	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		3.1224	-0.0918	31.25
NFKB_PATHWAY	BRCA	GBP5|115362	-	SE	chr1:89735257-89736438:89736545-89738135		3.0833	0.1419	87.5
NFKB_PATHWAY	BRCA	TMEM126B|55863	+	SE	chr11:85339732-85342189:85342360-85342731		3.0701	0.213	43.75
NFKB_PATHWAY	BRCA	ASPH|444	-	SE	chr8:62593595-62594998:62595042-62596598		3.0453	-0.2875	56.25
NFKB_PATHWAY	BRCA	MYO7A|4647	+	A3	chr11:76915274-76916507:76915274-76916592		3.0427	0.2988	68.75
NFKB_PATHWAY	BRCA	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		3.0203	0.3103	75
NFKB_PATHWAY	BRCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		2.9818	-0.3269	75
NFKB_PATHWAY	BRCA	CD84|8832	-	SE	chr1:160519769-160520728:160520825-160523168		2.9686	0.1663	50
NFKB_PATHWAY	BRCA	LTB|4050	-	SE	chr6:31549407-31549591:31549636-31550033		2.9613	-0.0098	62.5
NFKB_PATHWAY	BRCA	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		2.9567	0.2692	62.5
NFKB_PATHWAY	BRCA	CCDC88A|55704	-	A3	chr2:55555571-55559702:55555568-55559702		2.9509	-0.2471	50
NFKB_PATHWAY	BRCA	TRAF3IP3|80342	+	A5	chr1:209933729-209935860:209933669-209935860		2.9279	0.0996	56.25
NFKB_PATHWAY	BRCA	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		2.8995	0.2377	56.25
NFKB_PATHWAY	BRCA	SP140|11262	+	SE	chr2:231109795-231110578:231110655-231112631		2.8992	0.1665	81.25
NFKB_PATHWAY	BRCA	MATK|4145	-	SE	chr19:3784882-3785062:3785284-3786167		2.8772	0.1211	56.25
NFKB_PATHWAY	BRCA	LILRB1|10859	+	SE	chr19:55144769-55145089:55145139-55145422		2.8611	0.215	68.75
NFKB_PATHWAY	BRCA	KCNAB2|8514	+	SE	chr1:6100705-6101891:6101932-6132815		2.8499	-0.0513	75
NFKB_PATHWAY	BRCA	CIZ1|25792	-	MX	chr9:130948055-130950142:130950213-130952967:130948055-130952608:130952723-130952967		2.8387	-0.0405	31.25
