# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	LIHC	PDE2A|5138	-	SE	chr11:72319795-72342122:72342183-72353298		3.3173	-0.522	50
DNA_REPAIR_PATHWAY	LIHC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		3.2646	-0.5164	37.5
DNA_REPAIR_PATHWAY	LIHC	ADAMTS10|81794	-	A3	chr19:8654469-8654773:8654458-8654773		3.1109	-0.5532	56.25
DNA_REPAIR_PATHWAY	LIHC	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		3.0569	-0.4551	56.25
DNA_REPAIR_PATHWAY	LIHC	LRRC20|55222	-	MX	chr10:72061264-72083619:72083786-72136208:72061264-72100309:72100458-72136208		2.9993	-0.3324	50
DNA_REPAIR_PATHWAY	LIHC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.9159	-0.3657	75
DNA_REPAIR_PATHWAY	LIHC	ZNF525|170958	+	A3	chr19:53879149-53883975:53879149-53888223		2.6074	-0.4956	56.25
DNA_REPAIR_PATHWAY	LIHC	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357	Observed	2.5329	0.4716	43.75
DNA_REPAIR_PATHWAY	LIHC	QSOX1|5768	+	A5	chr1:180166025-180166468:180165734-180166468		2.5115	0.3223	50
DNA_REPAIR_PATHWAY	LIHC	PLXDC2|84898	+	SE	chr10:20466338-20500598:20500658-20506355		2.4867	-0.5069	68.75
DNA_REPAIR_PATHWAY	LIHC	LTBP4|8425	+	RI	chr19:41123006:41123091-41123094:41123130		2.4575	0.4472	56.25
DNA_REPAIR_PATHWAY	LIHC	MYOF|26509	-	SE	chr10:95082930-95083027:95083115-95085583		2.452	-0.5583	62.5
DNA_REPAIR_PATHWAY	LIHC	NFE2L1|4779	+	SE	chr17:46133960-46134394:46134483-46134706		2.4433	-0.4871	6.25
DNA_REPAIR_PATHWAY	LIHC	MIER1|57708	+	RI	chr1:67450255:67450275-67452086:67454302		2.3888	-0.5159	56.25
DNA_REPAIR_PATHWAY	LIHC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		2.3068	-0.5169	50
DNA_REPAIR_PATHWAY	LIHC	CCDC80|151887	-	A5	chr3:112358763-112359174:112358763-112359771		2.2939	-0.4568	62.5
DNA_REPAIR_PATHWAY	LIHC	SMARCA2|6595	+	SE	chr9:2159909-2161001:2161035-2161686		2.283	0.3224	37.5
DNA_REPAIR_PATHWAY	LIHC	AP4B1|10717	-	SE	chr1:114443022-114445260:114445484-114447227		2.2826	-0.4384	56.25
DNA_REPAIR_PATHWAY	LIHC	CMTM4|146223	-	RI	chr16:66648654:66651261-66655965:66656125		2.2778	-0.489	50
DNA_REPAIR_PATHWAY	LIHC	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388		2.2682	0.5097	56.25
DNA_REPAIR_PATHWAY	LIHC	CDC25B|994	+	A5	chr20:3777378-3778269:3776526-3778269		2.217	-0.3331	25
DNA_REPAIR_PATHWAY	LIHC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.2168	-0.5183	62.5
DNA_REPAIR_PATHWAY	LIHC	PCYT2|5833	-	SE	chr17:79864774-79865080:79865133-79865430		2.2137	-0.3466	43.75
DNA_REPAIR_PATHWAY	LIHC	FAM120A|23196	+	A5	chr9:96321000-96323391:96320997-96323391		2.1936	-0.4481	25
DNA_REPAIR_PATHWAY	LIHC	FAM149B1|317662	+	A5	chr10:74987942-74990180:74987918-74990180		2.189	-0.5253	18.75
DNA_REPAIR_PATHWAY	LIHC	NLRC5|84166	+	SE	chr16:57075486-57075894:57075977-57077427		2.1792	-0.5342	12.5
DNA_REPAIR_PATHWAY	LIHC	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891		2.1587	0.482	62.5
DNA_REPAIR_PATHWAY	LIHC	CRISPLD2|83716	+	A3	chr16:84888435-84900503:84888435-84900506		2.1218	-0.4367	37.5
DNA_REPAIR_PATHWAY	LIHC	ADCY3|109	-	A3	chr2:25051030-25053578:25050892-25053578		2.1211	-0.5212	50
DNA_REPAIR_PATHWAY	LIHC	TPD52L2|7165	+	SE	chr20:62505169-62507169:62507228-62514072		2.0988	-0.2806	6.25
DNA_REPAIR_PATHWAY	LIHC	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.0973	-0.5326	93.75
DNA_REPAIR_PATHWAY	LIHC	IKBIP|121457	-	SE	chr12:99008118-99028074:99028191-99038301		2.089	-0.3959	37.5
DNA_REPAIR_PATHWAY	LIHC	PALM2|114299	+	SE	chr9:112687362-112694207:112694308-112704966		2.0783	-0.4387	43.75
DNA_REPAIR_PATHWAY	LIHC	FGD6|55785	-	SE	chr12:95566520-95602619:95605043-95611001		2.0719	-0.4299	50
DNA_REPAIR_PATHWAY	LIHC	CPEB2|132864	+	SE	chr4:15034835-15042088:15042111-15054038		2.0622	-0.3425	37.5
DNA_REPAIR_PATHWAY	LIHC	ZC3H13|23091	-	A3	chr13:46539567-46541639:46539564-46541639		2.057	0.5162	50
DNA_REPAIR_PATHWAY	LIHC	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		2.0418	0.5544	75
DNA_REPAIR_PATHWAY	LIHC	LIPT1|51601	+	SE	chr2:99771514-99772764:99772889-99778420		2.0069	-0.1525	50
DNA_REPAIR_PATHWAY	LIHC	ARL16|339231	-	A3	chr17:79649705-79650043:79649179-79650043		2.0013	-0.242	25
DNA_REPAIR_PATHWAY	LIHC	KCNT2|343450	-	SE	chr1:196227624-196242598:196242618-196249990		2.0008	-0.0699	18.75
DNA_REPAIR_PATHWAY	LIHC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		1.9995	-0.573	43.75
DNA_REPAIR_PATHWAY	LIHC	REV3L|5980	-	SE	chr6:111650941-111651389:111651515-111652879	Observed	1.9959	0.3164	75
DNA_REPAIR_PATHWAY	LIHC	TNK2|10188	-	SE	chr3:195593887-195594040:195594129-195594232		1.9899	0.1797	56.25
DNA_REPAIR_PATHWAY	LIHC	CD4|920	+	A5	chr12:6923466-6923925:6923444-6923925		1.9779	-0.4748	25
DNA_REPAIR_PATHWAY	LIHC	ZNF507|22847	+	SE	chr19:32836689-32838151:32838244-32843735		1.9775	-0.3629	31.25
DNA_REPAIR_PATHWAY	LIHC	ZNF525|170958	+	MX	chr19:53869012-53875468:53875549-53879023:53869012-53875595:53875649-53879023		1.9768	0.4956	50
DNA_REPAIR_PATHWAY	LIHC	ANK3|288	-	SE	chr10:61840376-61841908:61841934-61842373		1.9626	0.466	43.75
DNA_REPAIR_PATHWAY	LIHC	DLG2|1740	-	MX	chr11:83183820-83194296:83194341-83243751:83183820-83195172:83195271-83243751		1.9611	-0.067	37.5
DNA_REPAIR_PATHWAY	LIHC	LTBP1|4052	+	A3	chr2:33477911-33482351:33477911-33482510		1.9524	-0.039	50
DNA_REPAIR_PATHWAY	LIHC	AMT|275	-	SE	chr3:49457221-49457644:49457775-49458925		1.9497	-0.1988	43.75
DNA_REPAIR_PATHWAY	LIHC	ARID1B|57492	+	SE	chr6:157495251-157495981:157496139-157502103		1.9463	-0.5043	50
DNA_REPAIR_PATHWAY	LIHC	FLNA|2316	-	SE	chrX:153583440-153585619:153585642-153585802		1.9438	-0.4078	31.25
DNA_REPAIR_PATHWAY	LIHC	ATP11C|286410	-	MX	chrX:138811121-138813810:138813914-138820075:138811121-138819890:138819955-138820075		1.9415	-0.4999	31.25
DNA_REPAIR_PATHWAY	LIHC	TLE2|7089	-	RI	chr19:3019281:3019464-3019697:3019771		1.9311	0.0344	37.5
DNA_REPAIR_PATHWAY	LIHC	TMEM177|80775	+	SE	chr2:120436852-120438408:120438699-120443234		1.9306	-0.4202	37.5
DNA_REPAIR_PATHWAY	LIHC	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462		1.9304	-0.4613	75
DNA_REPAIR_PATHWAY	LIHC	STK32C|282974	-	A3	chr10:134041693-134059404:134041632-134059404		1.9034	0.2062	12.5
DNA_REPAIR_PATHWAY	LIHC	ADARB1|104	+	RI	chr21:46641933:46642022-46645462:46646478		1.9004	-0.3358	50
DNA_REPAIR_PATHWAY	LIHC	PLK3|1263	+	SE	chr1:45270173-45270322:45270451-45270938		1.8996	-0.2446	12.5
DNA_REPAIR_PATHWAY	LIHC	MCM10|55388	+	RI	chr10:13251091:13251133-13251227:13253100		1.8992	0.0902	12.5
DNA_REPAIR_PATHWAY	LIHC	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		1.8989	-0.4437	50
DNA_REPAIR_PATHWAY	LIHC	SLC22A17|51310	-	A5	chr14:23816421-23816669:23816421-23816723		1.8957	-0.0177	37.5
DNA_REPAIR_PATHWAY	LIHC	KIAA1310|55683	-	A3	chr2:97270600-97271057:97270594-97271057		1.8947	0.2927	12.5
DNA_REPAIR_PATHWAY	LIHC	SLC5A9|200010	+	SE	chr1:48694626-48694775:48694849-48694967		1.8901	-0.1944	12.5
DNA_REPAIR_PATHWAY	LIHC	ITGA7|3679	-	SE	chr12:56088479-56088562:56088754-56089306		1.8895	-0.553	68.75
DNA_REPAIR_PATHWAY	LIHC	CARD8|22900	-	SE	chr19:48718641-48724987:48725112-48733695		1.889	0.4457	37.5
DNA_REPAIR_PATHWAY	LIHC	BCLAF1|9774	-	SE	chr6:136582615-136588167:136588313-136589300	Observed	1.8686	-0.2847	12.5
DNA_REPAIR_PATHWAY	LIHC	TMCO1|54499	-	A5	chr1:165737506-165737719:165737506-165737996		1.8668	0.23	25
DNA_REPAIR_PATHWAY	LIHC	CDC27|996	-	A3	chr17:45219391-45219595:45219388-45219595		1.8632	0.4399	31.25
DNA_REPAIR_PATHWAY	LIHC	MAN2A2|4122	+	SE	chr15:91452734-91453320:91453522-91453731		1.8594	-0.4822	43.75
DNA_REPAIR_PATHWAY	LIHC	FSTL1|11167	-	SE	chr3:120130830-120134770:120134874-120169531		1.8476	-0.5229	31.25
DNA_REPAIR_PATHWAY	LIHC	ZNF642|339559	+	A3	chr1:40943566-40944708:40943566-40945005		1.8435	-0.415	43.75
DNA_REPAIR_PATHWAY	LIHC	TEP1|7011	-	SE	chr14:20849560-20849712:20849845-20850072		1.8281	0.0514	31.25
DNA_REPAIR_PATHWAY	LIHC	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		1.8272	0.5297	68.75
