# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MATRIX_METALLOPROTEINASES	THCA	LSR|51599	+	SE	chr19:35749967-35753449:35753595-35757262		4.6907	-0.5823	37.5
MATRIX_METALLOPROTEINASES	THCA	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		4.5429	0.5921	62.5
MATRIX_METALLOPROTEINASES	THCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		4.1427	-0.409	100
MATRIX_METALLOPROTEINASES	THCA	TBC1D15|64786	+	SE	chr12:72287104-72288105:72288155-72288466		4.0706	-0.5675	25
MATRIX_METALLOPROTEINASES	THCA	TCF20|6942	-	SE	chr22:42557364-42564615:42564742-42565853		4.0286	-0.5072	68.75
MATRIX_METALLOPROTEINASES	THCA	CELF1|10658	-	A3	chr11:47506075-47508302:47506072-47508302		3.7885	-0.5273	31.25
MATRIX_METALLOPROTEINASES	THCA	NFIX|4784	+	SE	chr19:13186485-13189427:13189549-13192494		3.7697	-0.5165	56.25
MATRIX_METALLOPROTEINASES	THCA	OSBPL3|26031	-	SE	chr7:24901388-24902819:24902911-24903115		3.6962	-0.4562	43.75
MATRIX_METALLOPROTEINASES	THCA	TMEM149|79713	-	A3	chr19:36232129-36233297:36232124-36233297		3.5657	-0.4994	43.75
MATRIX_METALLOPROTEINASES	THCA	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		3.4975	-0.4588	68.75
MATRIX_METALLOPROTEINASES	THCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		3.3741	-0.5327	75
MATRIX_METALLOPROTEINASES	THCA	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486		3.3695	0.4678	75
MATRIX_METALLOPROTEINASES	THCA	MYH14|79784	+	SE	chr19:50726606-50727411:50727434-50728842		3.3587	-0.476	50
MATRIX_METALLOPROTEINASES	THCA	LOC100286793|100286793	-	A3	chr1:143719955-143744201:143719833-143744201		3.265	0.391	12.5
MATRIX_METALLOPROTEINASES	THCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.2457	-0.5244	93.75
MATRIX_METALLOPROTEINASES	THCA	CRB3|92359	+	RI	chr19:6466477:6466620-6466962:6467228		3.2024	-0.5258	75
MATRIX_METALLOPROTEINASES	THCA	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		3.1303	-0.5035	68.75
MATRIX_METALLOPROTEINASES	THCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		3.1282	0.3861	62.5
MATRIX_METALLOPROTEINASES	THCA	FAT2|2196	-	A3	chr5:150892167-150897181:150891909-150897181		3.1109	-0.4738	50
MATRIX_METALLOPROTEINASES	THCA	LRRC50|123872	+	A5	chr16:84199603-84203465:84199555-84203465		3.0974	0.4087	37.5
MATRIX_METALLOPROTEINASES	THCA	SYNE2|23224	+	SE	chr14:64681188-64682004:64682072-64682966		3.0783	0.509	43.75
MATRIX_METALLOPROTEINASES	THCA	FAM176A|84141	-	SE	chr2:75749613-75753238:75753325-75787806		2.9718	0.4049	50
