# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INTEGRIN_BINDING	KIRC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		8.5385	0.6239	68.75
INTEGRIN_BINDING	KIRC	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124413		7.5803	-0.5266	43.75
INTEGRIN_BINDING	KIRC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	7.5401	-0.6025	100
INTEGRIN_BINDING	KIRC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		7.262	-0.6538	100
INTEGRIN_BINDING	KIRC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		7.2313	0.5568	100
INTEGRIN_BINDING	KIRC	SHF|90525	-	SE	chr15:45464516-45465774:45465914-45467417		6.5782	-0.4736	56.25
INTEGRIN_BINDING	KIRC	APP|351	-	SE	chr21:27354790-27369675:27369731-27372330		6.4608	0.5122	43.75
INTEGRIN_BINDING	KIRC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		6.2502	-0.4324	100
INTEGRIN_BINDING	KIRC	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		5.9588	0.5072	75
INTEGRIN_BINDING	KIRC	TBC1D15|64786	+	SE	chr12:72287104-72288105:72288155-72288466		5.8534	-0.4471	31.25
INTEGRIN_BINDING	KIRC	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		5.7917	0.4634	87.5
INTEGRIN_BINDING	KIRC	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		5.6403	-0.5272	43.75
INTEGRIN_BINDING	KIRC	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		5.498	0.4723	75
INTEGRIN_BINDING	KIRC	EPB41L3|23136	-	SE	chr18:5397425-5398020:5398142-5406776		5.4393	-0.5105	75
INTEGRIN_BINDING	KIRC	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		5.4323	-0.4515	87.5
INTEGRIN_BINDING	KIRC	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		5.3394	0.4921	87.5
INTEGRIN_BINDING	KIRC	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		5.2438	-0.5302	62.5
INTEGRIN_BINDING	KIRC	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		5.1771	-0.4696	87.5
INTEGRIN_BINDING	KIRC	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		4.628	0.4793	87.5
INTEGRIN_BINDING	KIRC	TGFBI|7045	+	RI	chr5:135382024:135382184-135382540:135382704		4.5961	-0.4771	31.25
INTEGRIN_BINDING	KIRC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		4.5763	0.4934	81.25
INTEGRIN_BINDING	KIRC	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		4.3922	0.5032	81.25
INTEGRIN_BINDING	KIRC	EPOR|2057	-	A5	chr19:11492781-11493523:11492781-11493773		4.3811	-0.479	37.5
INTEGRIN_BINDING	KIRC	LOXL3|84695	-	SE	chr2:74762581-74762715:74762882-74763123		4.3432	0.4199	50
INTEGRIN_BINDING	KIRC	C6orf134|79969	+	RI	chr6:30610545:30610788-30611306:30612446		4.3195	-0.4329	50
INTEGRIN_BINDING	KIRC	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		4.2622	0.3888	75
INTEGRIN_BINDING	KIRC	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		4.1911	-0.4352	81.25
INTEGRIN_BINDING	KIRC	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		4.1854	0.3393	62.5
INTEGRIN_BINDING	KIRC	FAM113A|64773	-	RI	chr20:2819490:2819575-2819838:2819917		4.1537	-0.4614	81.25
INTEGRIN_BINDING	KIRC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		4.1463	0.4679	68.75
INTEGRIN_BINDING	KIRC	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		4.0417	-0.4523	68.75
INTEGRIN_BINDING	KIRC	NEDD4L|23327	+	SE	chr18:56001124-56002710:56002769-56008270		3.9813	-0.4179	50
INTEGRIN_BINDING	KIRC	CREB3L1|90993	+	A5	chr11:46342079-46342261:46342077-46342261		3.9303	-0.2812	43.75
INTEGRIN_BINDING	KIRC	TGFBI|7045	+	RI	chr5:135382024:135382245-135382540:135382704		3.9188	-0.4302	43.75
INTEGRIN_BINDING	KIRC	MAP2K7|5609	+	SE	chr19:7968953-7969336:7969433-7970693		3.874	-0.4722	62.5
