# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		4.2046	-0.6558	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.0464	-0.7614	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	COL16A1|1307	-	SE	chr1:32134456-32136203:32136247-32137216		3.6386	0.522	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.354	-0.7062	100
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		3.3228	-0.5471	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.2671	0.601	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.2308	-0.6675	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		3.1661	-0.6154	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.147	-0.5777	100
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		3.0984	0.5915	100
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.934	-0.5217	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		2.8726	-0.564	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.829	0.6013	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		2.7953	0.6069	75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.7759	-0.6562	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		2.6218	-0.6069	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	P4HA3|283208	-	SE	chr11:73997436-73998161:73998336-74000124		2.5672	-0.6009	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		2.5412	-0.5617	75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643		2.4639	0.5307	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	SARM1|23098	+	RI	chr17:26723176:26727722-26727724:26728065		2.4466	-0.5994	50
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PARD3|56288	-	SE	chr10:34620272-34625127:34625171-34626203	Observed	2.4239	-0.5715	25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		2.3681	-0.6089	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PODNL1|79883	-	SE	chr19:14046643-14046793:14046857-14047180		2.3383	-0.1997	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ZNF248|57209	-	RI	chr10:38117899:38120240-38121953:38122044		2.3174	0.3682	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		2.3001	0.5348	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		2.2938	-0.5978	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.2794	0.6633	100
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		2.2583	0.6172	75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		2.2516	0.5416	75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		2.1972	0.5283	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	GOLGA4|2803	+	SE	chr3:37396678-37402734:37402796-37407571		2.1441	-0.4608	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ARNT|405	-	SE	chr1:150812130-150814900:150814944-150818739		2.1414	0.5038	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.1257	-0.5265	100
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CLEC5A|23601	-	A5	chr7:141630018-141631520:141630018-141631524		2.1249	0.3243	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067		2.1005	-0.5341	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52592265		2.069	-0.4237	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	SLC11A1|6556	+	SE	chr2:219249989-219250135:219250208-219251358		2.043	0.2672	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		2.0214	0.3716	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653	Observed	2.0071	-0.4812	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	GIT2|9815	-	SE	chr12:110377052-110383065:110383154-110385061		2.0062	0.4711	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CTDP1|9150	+	MX	chr18:77478016-77488907:77489069-77513652:77478016-77496355:77496521-77513652		2.0042	0.3084	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124555		1.9852	-0.3566	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MRPL30|51263	+	RI	chr2:99812036:99812219-99813617:99814088		1.9621	-0.247	25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		1.958	0.5665	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808	Observed	1.9561	0.4571	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ABI1|10006	-	SE	chr10:27040712-27047991:27048167-27054147		1.9391	0.2131	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	NOX4|50507	-	SE	chr11:89073339-89075242:89075361-89088130		1.9364	0.2587	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		1.9313	0.3931	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	IRAK1BP1|134728	+	SE	chr6:79607676-79607781:79608015-79612709		1.9174	-0.1964	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PRTFDC1|56952	-	A3	chr10:25146794-25147321:25145924-25147321		1.904	-0.3799	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	INADL|10207	+	SE	chr1:62550320-62565991:62566080-62574109		1.896	0.3296	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	EFEMP2|30008	-	RI	chr11:65633913:65634183-65634316:65634550		1.8884	-0.4686	75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	GBGT1|26301	-	A3	chr9:136031452-136036854:136031323-136036854		1.8831	0.3191	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		1.8183	0.3288	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	LGALS9|3965	+	SE	chr17:25969374-25970551:25970646-25972340		1.8014	-0.5989	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	TCF7L2|6934	+	SE	chr10:114917828-114920378:114920450-114925314		1.7953	-0.4216	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		1.7874	0.5269	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		1.763	0.6288	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CYP3A5|1577	-	SE	chr7:99270302-99270407:99270538-99272156		1.7431	-0.3251	6.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		1.7431	-0.5353	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	BCL2L13|23786	+	SE	chr22:18171908-18185009:18185152-18209443		1.7348	-0.2033	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	EYA1|2138	-	A3	chr8:72234114-72234434:72234047-72234434		1.7167	-0.0756	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CELF2|10659	+	A5	chr10:11356233-11363170:11356221-11363170		1.7079	0.39	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	DOCK5|80005	+	A3	chr8:25191712-25193755:25191712-25193796		1.7077	0.2516	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	TMX2|51075	+	SE	chr11:57505140-57505308:57505498-57505826		1.7005	0.1397	50
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	NRP2|8828	+	A5	chr2:206631542-206640970:206631527-206640970		1.6921	0.1624	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CADPS2|93664	-	SE	chr7:122019496-122026349:122026363-122027080		1.691	0.4088	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		1.6908	0.5463	75
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	NRG1|3084	+	SE	chr8:32472082-32474353:32474403-32585467		1.6821	0.1187	12.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ZNF12|7559	-	SE	chr7:6732334-6733288:6733340-6736970		1.681	-0.1691	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	TJP3|27134	+	SE	chr19:3708559-3728422:3728478-3728602		1.6792	-0.1789	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	PXN|5829	-	A3	chr12:120653220-120653363:120653076-120653363		1.6775	-0.2698	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		1.6771	-0.3981	50
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CPZ|8532	+	SE	chr4:8594648-8601180:8601212-8602850		1.6689	0.1735	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	CDK5RAP3|80279	+	A5	chr17:46051401-46051766:46051397-46051766		1.6561	-0.1078	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	KIF16B|55614	-	SE	chr20:16316660-16336975:16337097-16351231		1.6532	0.2248	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	QKI|9444	+	RI	chr6:163984452:163984751-163985699:163991169		1.651	-0.2137	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	ENTPD2|954	-	A3	chr9:139943527-139944322:139943458-139944322		1.65	0.1894	25
EPITHELIAL_MESENCHYMAL_TRANSITION	ESCA	RBMS2|5939	+	SE	chr12:56915873-56956201:56956367-56962759		1.648	0.2279	37.5
