# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	CESC	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133	Observed	1.8813	-0.5321	75
TRANSLATION	CESC	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	1.7218	0.5003	62.5
TRANSLATION	CESC	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216	Observed	1.3992	-0.4496	75
TRANSLATION	CESC	IRF7|3665	-	SE	chr11:614037-614174:614399-614476	Observed	1.3613	0.0108	56.25
TRANSLATION	CESC	PPOX|5498	+	RI	chr1:161136890:161137024-161137161:161137276	Observed	1.2856	-0.3929	62.5
TRANSLATION	CESC	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680	Observed	1.199	-0.6299	62.5
TRANSLATION	CESC	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	1.1824	-0.2447	93.75
TRANSLATION	CESC	BMF|90427	-	SE	chr15:40384089-40396381:40396541-40397996	Observed	1.1549	-0.4745	62.5
TRANSLATION	CESC	MEN1|4221	-	A5	chr11:64577604-64577740:64577604-64577986	Observed	1.1363	-0.5621	56.25
TRANSLATION	CESC	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	1.1296	-0.6148	62.5
TRANSLATION	CESC	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	1.001	-0.6407	81.25
TRANSLATION	CESC	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803553-196807922	Observed	1.001	0.3631	68.75
TRANSLATION	CESC	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	1.001	-0.3503	75
TRANSLATION	CESC	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095	Observed	1.001	0.4873	62.5
TRANSLATION	CESC	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994	Observed	1.001	-0.3202	68.75
TRANSLATION	CESC	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967	Observed	1.001	-0.6239	56.25
TRANSLATION	CESC	EIF4G3|8672	-	SE	chr1:21268823-21276496:21276604-21295967	Observed	1.001	-0.5857	62.5
TRANSLATION	CESC	ERG|2078	-	SE	chr21:39795483-39817327:39817544-39947586	Observed	1.001	-0.1171	56.25
TRANSLATION	CESC	FES|2242	+	SE	chr15:91428488-91428642:91428815-91430191	Observed	1.001	-0.4756	68.75
TRANSLATION	CESC	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313	Observed	1.001	-0.6067	75
TRANSLATION	CESC	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	1.001	-0.6701	81.25
TRANSLATION	CESC	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.001	0.6403	81.25
TRANSLATION	CESC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.001	-0.4264	81.25
TRANSLATION	CESC	PEG10|23089	+	A5	chr7:94285903-94292646:94285892-94292646	Observed	1.001	0.2227	56.25
TRANSLATION	CESC	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.001	-0.5885	68.75
TRANSLATION	CESC	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998113-42998776	Observed	1.001	-0.1512	56.25
TRANSLATION	CESC	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	1.001	-0.3242	68.75
TRANSLATION	CESC	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	0.9736	0.4661	62.5
TRANSLATION	CESC	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	0.5396	-0.3115	75
TRANSLATION	CESC	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494	Observed	0.4821	-0.1024	62.5
TRANSLATION	CESC	AURKA|6790	-	SE	chr20:54963258-54965612:54965721-54967224	Observed	0.265	-0.3956	56.25
