# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INTEGRIN_BINDING	ESCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.0073	0.6919	81.25
INTEGRIN_BINDING	ESCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.3154	-0.5484	75
INTEGRIN_BINDING	ESCA	NOX4|50507	-	SE	chr11:89073339-89075242:89075361-89088130		3.306	0.2604	56.25
INTEGRIN_BINDING	ESCA	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		3.1775	0.4608	68.75
INTEGRIN_BINDING	ESCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		3.1706	-0.5928	93.75
INTEGRIN_BINDING	ESCA	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		3.0294	0.5177	81.25
INTEGRIN_BINDING	ESCA	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		2.91	0.5276	81.25
INTEGRIN_BINDING	ESCA	ADAMTS10|81794	-	A3	chr19:8654469-8654773:8654458-8654773		2.8891	0.5566	68.75
INTEGRIN_BINDING	ESCA	SYNE1|23345	-	A3	chr6:152605319-152614723:152605307-152614723		2.8534	-0.4283	56.25
INTEGRIN_BINDING	ESCA	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643	Observed	2.7332	0.4684	81.25
INTEGRIN_BINDING	ESCA	CACNA1H|8912	+	SE	chr16:1262138-1262511:1262528-1263780		2.7293	0.3753	50
INTEGRIN_BINDING	ESCA	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		2.695	-0.4434	68.75
INTEGRIN_BINDING	ESCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.654	-0.6621	81.25
