# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
LYSOSOME	HNSC	DEPDC1|55635	-	SE	chr1:68947295-68947729:68948580-68949633		3.2758	-0.3142	37.5
LYSOSOME	HNSC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.7672	-0.365	56.25
LYSOSOME	HNSC	C19orf60|55049	+	RI	chr19:18699805:18699887-18700289:18700493		2.7299	-0.4064	87.5
LYSOSOME	HNSC	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		2.6846	-0.2412	56.25
LYSOSOME	HNSC	MAMSTR|284358	-	A3	chr19:49219174-49219962:49219024-49219962		2.4125	-0.2905	56.25
LYSOSOME	HNSC	FOXRED2|80020	-	A5	chr22:36902470-36902959:36902470-36903056		2.4093	-0.1086	18.75
LYSOSOME	HNSC	CD72|971	-	RI	chr9:35615940:35616275-35616597:35616686		2.397	-0.2312	43.75
LYSOSOME	HNSC	ARAP1|116985	-	SE	chr11:72399582-72403798:72403830-72404370		2.3246	-0.1222	56.25
LYSOSOME	HNSC	CENPT|80152	-	A3	chr16:67862481-67862570:67862462-67862570		2.284	0.3352	37.5
LYSOSOME	HNSC	EIF4A2|1974	+	SE	chr3:186502485-186502751:186502890-186503672		2.2639	0.2596	37.5
LYSOSOME	HNSC	OSCAR|126014	-	A3	chr19:54600572-54603039:54600451-54603039		2.2271	-0.2282	37.5
