# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	SKCM	ARAP1|116985	-	SE	chr11:72399582-72403798:72403830-72404370		4.4769	0.323	31.25
DNA_REPLICATION_PATHWAY	SKCM	H2AFY|9555	-	MX	chr5:134681747-134686513:134686603-134696187:134681747-134688636:134688735-134696187		4.2157	-0.3637	12.5
DNA_REPLICATION_PATHWAY	SKCM	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		4.0223	-0.3586	43.75
DNA_REPLICATION_PATHWAY	SKCM	FLJ35220|284131	+	SE	chr17:78389621-78395628:78395762-78396006		4.006	-0.3562	62.5
DNA_REPLICATION_PATHWAY	SKCM	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		3.9093	0.3008	56.25
DNA_REPLICATION_PATHWAY	SKCM	C17orf53|78995	+	SE	chr17:42232032-42232221:42232306-42232654		3.8088	0.1872	50
DNA_REPLICATION_PATHWAY	SKCM	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		3.7913	0.345	50
DNA_REPLICATION_PATHWAY	SKCM	CLASP2|23122	-	SE	chr3:33617767-33618694:33618756-33623313		3.7816	-0.3371	31.25
DNA_REPLICATION_PATHWAY	SKCM	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644	Observed	3.5485	-0.2909	56.25
DNA_REPLICATION_PATHWAY	SKCM	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127	Observed	3.456	0.333	62.5
DNA_REPLICATION_PATHWAY	SKCM	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		3.0597	-0.3445	56.25
DNA_REPLICATION_PATHWAY	SKCM	NCAPH|23397	+	SE	chr2:97001586-97007130:97007632-97007788		2.915	0.2418	37.5
DNA_REPLICATION_PATHWAY	SKCM	AURKA|6790	-	SE	chr20:54963258-54963743:54963840-54967210		2.9149	0.1557	25
DNA_REPLICATION_PATHWAY	SKCM	DCUN1D2|55208	-	SE	chr13:114115451-114117055:114117206-114128439		2.8701	0.1603	31.25
DNA_REPLICATION_PATHWAY	SKCM	FDPS|2224	+	A5	chr1:155278867-155279580:155278756-155279580		2.7981	0.3468	62.5
DNA_REPLICATION_PATHWAY	SKCM	PCNXL2|80003	-	SE	chr1:233353930-233362972:233363117-233372591		2.7971	-0.2041	25
DNA_REPLICATION_PATHWAY	SKCM	CD22|933	+	SE	chr19:35836029-35836505:35836623-35837054		2.7794	-0.1466	25
DNA_REPLICATION_PATHWAY	SKCM	ANAPC11|51529	+	A5	chr17:79849739-79852343:79849709-79852343		2.7602	0.3549	6.25
DNA_REPLICATION_PATHWAY	SKCM	ARFIP1|27236	+	SE	chr4:153784866-153791905:153792000-153793604		2.6005	-0.2447	75
DNA_REPLICATION_PATHWAY	SKCM	AURKA|6790	-	A5	chr20:54963840-54967210:54963840-54967224		2.5935	0.2642	25
DNA_REPLICATION_PATHWAY	SKCM	PAFAH1B1|5048	+	SE	chr17:2577582-2579799:2579900-2583458		2.5327	0.2551	50
DNA_REPLICATION_PATHWAY	SKCM	POC1B|282809	-	SE	chr12:89885892-89890948:89891119-89918897		2.5179	0.1661	43.75
DNA_REPLICATION_PATHWAY	SKCM	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		2.4933	-0.3053	25
DNA_REPLICATION_PATHWAY	SKCM	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		2.4907	-0.2633	43.75
DNA_REPLICATION_PATHWAY	SKCM	MANEAL|149175	+	A3	chr1:38262492-38265239:38262492-38265516		2.4906	-0.2391	68.75
