# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CELL_CYCLE_PATHWAY	LUSC	POLD4|57804	-	A5	chr11:67120548-67120774:67120548-67121010		4.4285	-0.4038	25
CELL_CYCLE_PATHWAY	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.3696	-0.3996	75
CELL_CYCLE_PATHWAY	LUSC	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		4.2699	0.3814	62.5
CELL_CYCLE_PATHWAY	LUSC	TOR2A|27433	-	SE	chr9:130495839-130496578:130496843-130497399		4.1653	-0.4035	62.5
CELL_CYCLE_PATHWAY	LUSC	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315	Observed	4.0661	-0.426	50
CELL_CYCLE_PATHWAY	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.9728	-0.4688	56.25
CELL_CYCLE_PATHWAY	LUSC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		3.7802	-0.3985	68.75
CELL_CYCLE_PATHWAY	LUSC	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		3.7393	-0.3876	37.5
CELL_CYCLE_PATHWAY	LUSC	C15orf21|283651	+	SE	chr15:45803403-45804571:45804647-45805896		3.7357	-0.387	31.25
CELL_CYCLE_PATHWAY	LUSC	RCOR3|55758	+	SE	chr1:211477482-211486062:211486303-211486766		3.6285	0.327	68.75
CELL_CYCLE_PATHWAY	LUSC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.6169	-0.4638	43.75
CELL_CYCLE_PATHWAY	LUSC	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		3.5397	-0.3658	68.75
CELL_CYCLE_PATHWAY	LUSC	SNRNP70|6625	+	A5	chr19:49606844-49607891:49605430-49607891		3.2988	-0.3477	62.5
CELL_CYCLE_PATHWAY	LUSC	C16orf13|84326	-	SE	chr16:684797-684889:684956-685281		3.2417	-0.3517	31.25
CELL_CYCLE_PATHWAY	LUSC	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		3.1553	-0.3755	62.5
CELL_CYCLE_PATHWAY	LUSC	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		3.133	0.3377	43.75
CELL_CYCLE_PATHWAY	LUSC	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		3.115	-0.2881	56.25
CELL_CYCLE_PATHWAY	LUSC	AURKA|6790	-	A5	chr20:54965721-54967210:54965721-54967224	Observed	2.8075	0.2323	31.25
CELL_CYCLE_PATHWAY	LUSC	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		2.8005	-0.3827	37.5
CELL_CYCLE_PATHWAY	LUSC	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		2.7737	-0.2947	25
CELL_CYCLE_PATHWAY	LUSC	MRPL52|122704	+	RI	chr14:23299092:23299149-23299259:23299319		2.7715	0.2087	12.5
CELL_CYCLE_PATHWAY	LUSC	MPPE1|65258	-	SE	chr18:11886620-11886712:11886780-11886916		2.7664	-0.1676	68.75
CELL_CYCLE_PATHWAY	LUSC	SERPINA3|12	+	A5	chr14:95078784-95080771:95078780-95080771		2.6446	-0.1763	43.75
CELL_CYCLE_PATHWAY	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		2.633	0.3842	50
CELL_CYCLE_PATHWAY	LUSC	PQBP1|10084	+	A3	chrX:48759319-48759510:48759319-48760009		2.6308	-0.3317	62.5
CELL_CYCLE_PATHWAY	LUSC	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.6108	0.2891	68.75
CELL_CYCLE_PATHWAY	LUSC	MRPL55|128308	-	SE	chr1:228296019-228296138:228296175-228296850		2.5972	-0.2442	37.5
CELL_CYCLE_PATHWAY	LUSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		2.5664	-0.318	37.5
CELL_CYCLE_PATHWAY	LUSC	RPAP1|26015	-	SE	chr15:41814448-41814963:41815158-41815443		2.5333	-0.1494	37.5
CELL_CYCLE_PATHWAY	LUSC	CRTAC1|55118	-	SE	chr10:99640149-99642543:99642585-99643963		2.5292	-0.2721	37.5
CELL_CYCLE_PATHWAY	LUSC	TSTD1|100131187	-	SE	chr1:161007865-161008341:161008463-161008670		2.5233	-0.3696	18.75
CELL_CYCLE_PATHWAY	LUSC	MYH11|4629	-	MX	chr16:15876334-15878555:15878575-15880487:15876334-15880332:15880351-15880487		2.5141	0.3135	37.5
CELL_CYCLE_PATHWAY	LUSC	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		2.484	-0.4015	37.5
CELL_CYCLE_PATHWAY	LUSC	EZH2|2146	-	A5	chr7:148529842-148543562:148529842-148543589		2.4744	-0.123	68.75
CELL_CYCLE_PATHWAY	LUSC	SH3TC1|54436	+	A3	chr4:8207093-8211392:8207093-8211475		2.4706	-0.1193	50
CELL_CYCLE_PATHWAY	LUSC	NFIX|4784	+	A5	chr19:13135498-13135835:13135494-13135835		2.4625	0.1381	62.5
CELL_CYCLE_PATHWAY	LUSC	NAV2|89797	+	SE	chr11:20070741-20071382:20071447-20072835		2.4603	-0.1214	37.5
CELL_CYCLE_PATHWAY	LUSC	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		2.4508	0.1658	62.5
CELL_CYCLE_PATHWAY	LUSC	KIAA1217|56243	+	SE	chr10:24822166-24825703:24825822-24833910		2.4358	-0.1253	56.25
CELL_CYCLE_PATHWAY	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		2.4337	-0.316	31.25
CELL_CYCLE_PATHWAY	LUSC	RPAIN|84268	+	MX	chr17:5329402-5329556:5329619-5335862:5329402-5331391:5331531-5335862		2.4287	-0.2181	56.25
CELL_CYCLE_PATHWAY	LUSC	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		2.4238	0.3295	50
CELL_CYCLE_PATHWAY	LUSC	MPI|4351	+	SE	chr15:75188666-75189352:75189560-75189853		2.4116	-0.3461	31.25
CELL_CYCLE_PATHWAY	LUSC	SEMA3B|7869	+	A3	chr3:50311259-50311344:50311259-50311347		2.3983	0.0133	43.75
CELL_CYCLE_PATHWAY	LUSC	SORBS1|10580	-	SE	chr10:97106209-97110973:97111133-97114639		2.3971	-0.275	50
CELL_CYCLE_PATHWAY	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		2.386	-0.3466	50
