# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	HNSC	ANXA2|302	-	SE	chr15:60678285-60689457:60689537-60690142	Observed	2.3182	-0.0926	25
NFKB_PATHWAY	HNSC	CASP10|843	+	SE	chr2:202068489-202070605:202070696-202072798	Observed	2.3047	0.2679	31.25
NFKB_PATHWAY	HNSC	FAS|355	+	SE	chr10:90767594-90768646:90768754-90770296	Observed	2.2538	0.0983	43.75
NFKB_PATHWAY	HNSC	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	2.2462	0.3834	56.25
NFKB_PATHWAY	HNSC	PRKCB|5579	+	A3	chr16:24202551-24225979:24202551-24231282	Observed	1.6105	-0.06	56.25
NFKB_PATHWAY	HNSC	CASP8|841	+	A5	chr2:202098345-202098739:202098277-202098739	Observed	1.4682	-0.1773	56.25
NFKB_PATHWAY	HNSC	PTPRC|5788	+	SE	chr1:198668833-198671516:198671659-198672427	Observed	1.3281	0.1124	62.5
NFKB_PATHWAY	HNSC	CASP8|841	+	A5	chr2:202123105-202131184:202122877-202131184	Observed	1.0005	-0.0868	56.25
NFKB_PATHWAY	HNSC	PLAU|5328	+	A5	chr10:75670980-75671283:75670976-75671283	Observed	1.0005	-0.2339	75
NFKB_PATHWAY	HNSC	PTPRC|5788	+	SE	chr1:198661502-198665841:198666038-198668693	Observed	1.0005	-0.0508	62.5
NFKB_PATHWAY	HNSC	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139	Observed	0.6767	0.0197	56.25
NFKB_PATHWAY	HNSC	ABCC1|4363	+	SE	chr16:16173335-16180681:16180848-16184262	Observed	0.6712	0.2947	56.25
NFKB_PATHWAY	HNSC	ABCC1|4363	+	SE	chr16:16173335-16177223:16177399-16184262	Observed	0.4953	0.2244	56.25
NFKB_PATHWAY	HNSC	FAS|355	+	SE	chr10:90770357-90770510:90770572-90771756	Observed	0.4601	0.178	68.75
