# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		5.2451	-0.6204	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		4.7263	0.5901	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.7186	-0.5724	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124413		4.5327	-0.5328	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		4.4311	-0.5992	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		4.278	0.5286	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.2538	-0.639	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		4.2205	0.5715	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.0317	-0.4864	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874	Observed	3.7527	-0.4756	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.6873	0.5054	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		3.6012	0.5039	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		3.5851	-0.5491	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		3.5399	0.447	100
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	EPOR|2057	-	A5	chr19:11492781-11493523:11492781-11493773		3.5012	-0.4722	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.4894	0.4459	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		3.4391	0.5209	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	EPB41L3|23136	-	SE	chr18:5397425-5398020:5398142-5406776		3.43	-0.4518	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		3.4007	0.4992	75
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	TBC1D15|64786	+	SE	chr12:72287104-72288105:72288155-72288466		3.3914	-0.5107	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	SEC31A|22872	-	A5	chr4:83750211-83763293:83750211-83763338		3.1767	0.4352	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	C6orf134|79969	+	RI	chr6:30610545:30610788-30611306:30612446		3.1525	-0.4426	50
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	TGFBI|7045	+	RI	chr5:135382024:135382184-135382540:135382704		3.1465	-0.4177	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	KIRC	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		3.0235	0.4883	81.25
