# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RRNA_PROCESSING	CESC	MIER1|57708	+	RI	chr1:67450255:67450275-67452086:67454302		4.1923	-0.5873	68.75
RRNA_PROCESSING	CESC	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		4.1056	-0.5935	62.5
RRNA_PROCESSING	CESC	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		3.9677	-0.4938	37.5
RRNA_PROCESSING	CESC	NXF1|10482	-	RI	chr11:62566011:62566047-62567849:62567958		3.7614	-0.6052	37.5
RRNA_PROCESSING	CESC	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		3.6385	-0.5404	56.25
RRNA_PROCESSING	CESC	AP4B1|10717	-	SE	chr1:114443022-114445260:114445484-114447227		3.4374	-0.5273	87.5
RRNA_PROCESSING	CESC	MTMR14|64419	+	SE	chr3:9730766-9731648:9731827-9743474		3.2917	-0.4956	56.25
RRNA_PROCESSING	CESC	CUL4A|8451	+	A5	chr13:113873362-113882282:113873353-113882282		3.286	-0.5106	56.25
RRNA_PROCESSING	CESC	PTPN6|5777	+	SE	chr12:7055902-7060772:7060894-7061146		3.2556	-0.5523	37.5
RRNA_PROCESSING	CESC	ARHGAP33|115703	+	RI	chr19:36278070:36278461-36278546:36279724		3.2532	0.5618	68.75
RRNA_PROCESSING	CESC	WDR90|197335	+	SE	chr16:712331-712679:712844-715679		3.2317	-0.5356	31.25
RRNA_PROCESSING	CESC	CIITA|4261	+	SE	chr16:10995415-10995895:10996041-10996515		3.0891	-0.5319	68.75
RRNA_PROCESSING	CESC	RIN2|54453	+	SE	chr20:19941455-19945596:19945668-19951482		3.0651	-0.4916	68.75
RRNA_PROCESSING	CESC	GAD1|2571	+	A5	chr2:171673562-171675039:171673558-171675039		2.9739	0.4689	37.5
RRNA_PROCESSING	CESC	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.9381	0.505	87.5
RRNA_PROCESSING	CESC	MACF1|23499	+	A3	chr1:39929358-39934269:39929358-39934287		2.9234	0.4146	56.25
RRNA_PROCESSING	CESC	C11orf30|56946	+	SE	chr11:76255866-76256841:76257341-76260996		2.8957	-0.4862	37.5
RRNA_PROCESSING	CESC	WDR90|197335	+	SE	chr16:709376-710058:710161-710612		2.8193	-0.4814	50
RRNA_PROCESSING	CESC	BECN1|8678	-	SE	chr17:40962946-40963673:40963815-40965966		2.8075	-0.4245	12.5
RRNA_PROCESSING	CESC	PRSS27|83886	-	SE	chr16:2764337-2765719:2765881-2766501		2.8057	-0.3386	31.25
RRNA_PROCESSING	CESC	XIAP|331	+	SE	chrX:122994143-123019481:123020389-123022469		2.7781	-0.5254	50
RRNA_PROCESSING	CESC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.7402	-0.585	81.25
RRNA_PROCESSING	CESC	LOC100190938|100190938	-	A3	chr17:40908397-40911757:40907231-40911757		2.6908	-0.3278	37.5
RRNA_PROCESSING	CESC	C14orf37|145407	-	A3	chr14:58471522-58471766:58471519-58471766		2.6512	0.0773	12.5
RRNA_PROCESSING	CESC	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.6391	-0.5336	68.75
RRNA_PROCESSING	CESC	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442201:76442244		2.635	-0.5622	31.25
RRNA_PROCESSING	CESC	LRDD|55367	-	A5	chr11:800912-800985:800912-801002		2.5917	-0.501	62.5
RRNA_PROCESSING	CESC	KIFC2|90990	+	RI	chr8:145697960:145698089-145698178:145699498		2.5898	0.5912	68.75
RRNA_PROCESSING	CESC	TTF1|7270	-	SE	chr9:135275645-135276842:135278215-135282177		2.5617	-0.5309	62.5
RRNA_PROCESSING	CESC	ZNF410|57862	+	A3	chr14:74370813-74371605:74370813-74371634		2.5435	-0.5631	62.5
RRNA_PROCESSING	CESC	TMUB2|79089	+	SE	chr17:42265111-42265275:42265377-42266303		2.525	0.1841	6.25
RRNA_PROCESSING	CESC	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		2.5118	0.5897	68.75
RRNA_PROCESSING	CESC	FAM149B1|317662	+	A5	chr10:74987942-74990180:74987918-74990180		2.5045	-0.4363	12.5
RRNA_PROCESSING	CESC	FGFR1OP2|26127	+	SE	chr12:27110676-27113448:27113561-27116275		2.4783	0.0661	56.25
RRNA_PROCESSING	CESC	MICALL2|79778	-	A5	chr7:1474308-1474737:1474308-1474742		2.44	-0.5716	62.5
RRNA_PROCESSING	CESC	CLEC2D|29121	+	SE	chr12:9840682-9845424:9845527-9847356		2.4318	-0.2198	75
RRNA_PROCESSING	CESC	BTBD3|22903	+	A5	chr20:11900258-11900366:11900071-11900366		2.4171	-0.482	43.75
RRNA_PROCESSING	CESC	CCNO|10309	-	A5	chr5:54528374-54528595:54528374-54528971		2.3982	-0.3365	37.5
RRNA_PROCESSING	CESC	WIZ|58525	-	SE	chr19:15538344-15538921:15539319-15540397		2.3929	-0.4703	75
RRNA_PROCESSING	CESC	INADL|10207	+	SE	chr1:62550320-62565991:62566080-62574109		2.3747	0.4939	12.5
RRNA_PROCESSING	CESC	FANCI|55215	+	SE	chr15:89848929-89849241:89849425-89850707		2.3734	0.3022	56.25
RRNA_PROCESSING	CESC	C2orf67|151050	-	SE	chr2:210894642-210896145:210896270-210905144		2.3526	-0.4664	56.25
RRNA_PROCESSING	CESC	HYAL3|8372	-	A3	chr3:50333050-50336644:50332284-50336644		2.3342	-0.4471	31.25
RRNA_PROCESSING	CESC	EFCAB4A|283229	+	RI	chr11:830866:831032-831224:831295		2.3124	0.3557	56.25
RRNA_PROCESSING	CESC	HOXB3|3213	-	A3	chr17:46629994-46632893:46629452-46632893		2.2962	-0.5096	56.25
RRNA_PROCESSING	CESC	OSBPL9|114883	+	SE	chr1:52215867-52221992:52222030-52226362		2.2672	-0.4989	50
RRNA_PROCESSING	CESC	ITGB3BP|23421	-	SE	chr1:63912527-63913236:63913285-63919589		2.2632	-0.153	31.25
