# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HISTONE_MODIFICATIONS	COAD	SMARCD3|6604	-	RI	chr7:150937511:150937608-150938578:150938739		2.5271	0.455	31.25
HISTONE_MODIFICATIONS	COAD	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		2.4944	0.3595	56.25
HISTONE_MODIFICATIONS	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.4935	-0.3869	43.75
HISTONE_MODIFICATIONS	COAD	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		2.3514	0.3765	68.75
HISTONE_MODIFICATIONS	COAD	LCA5L|150082	-	SE	chr21:40801137-40807346:40807499-40816061		2.2455	0.1949	31.25
HISTONE_MODIFICATIONS	COAD	CENPE|1062	-	A3	chr4:104059609-104061413:104059606-104061413		2.1848	-0.0792	56.25
HISTONE_MODIFICATIONS	COAD	C1orf159|54991	-	A5	chr1:1018367-1019295:1018367-1019733		2.162	0.2318	43.75
HISTONE_MODIFICATIONS	COAD	PTPRB|5787	-	A3	chr12:71029846-71031121:71029843-71031121		2.1566	-0.3537	43.75
HISTONE_MODIFICATIONS	COAD	PYROXD2|84795	-	SE	chr10:100147064-100148111:100148265-100150355		2.1446	-0.171	18.75
HISTONE_MODIFICATIONS	COAD	LILRB1|10859	+	A3	chr19:55147060-55147945:55147060-55147948		2.1409	-0.2459	43.75
HISTONE_MODIFICATIONS	COAD	LILRB1|10859	+	RI	chr19:55147008:55147060-55147945:55148103		2.0603	0.2441	37.5
HISTONE_MODIFICATIONS	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.0326	-0.342	56.25
HISTONE_MODIFICATIONS	COAD	AGPAT4|56895	-	SE	chr6:161575342-161586609:161586745-161587280		2.0079	-0.0228	25
HISTONE_MODIFICATIONS	COAD	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		1.9968	0.3922	62.5
HISTONE_MODIFICATIONS	COAD	YPEL5|51646	+	SE	chr2:30371407-30378716:30378776-30379494		1.996	-0.2899	50
HISTONE_MODIFICATIONS	COAD	TSEN2|80746	+	A5	chr3:12526379-12531283:12526127-12531283		1.9515	0.3001	56.25
HISTONE_MODIFICATIONS	COAD	FLNB|2317	+	SE	chr3:58124256-58127585:58127623-58128377		1.9205	-0.1065	31.25
HISTONE_MODIFICATIONS	COAD	CBWD6|644019	-	SE	chr9:69240059-69243513:69243652-69245076		1.9078	0.0904	25
HISTONE_MODIFICATIONS	COAD	CC2D2A|57545	+	SE	chr4:15480430-15480847:15480952-15482328		1.8984	0.1469	37.5
HISTONE_MODIFICATIONS	COAD	LRRC16A|55604	+	A3	chr6:25605121-25606289:25605121-25606307		1.896	-0.1261	31.25
HISTONE_MODIFICATIONS	COAD	FAM73A|374986	+	A3	chr1:78332076-78338686:78332076-78338689		1.8898	0.0572	31.25
HISTONE_MODIFICATIONS	COAD	PCSK5|5125	+	SE	chr9:78722267-78749025:78749128-78771961		1.8865	-0.2582	31.25
HISTONE_MODIFICATIONS	COAD	MMP23B|8510	+	SE	chr1:1568292-1568360:1568499-1568567		1.8426	0.0623	43.75
HISTONE_MODIFICATIONS	COAD	C9orf95|54981	-	SE	chr9:77684018-77684658:77684729-77684811		1.8419	0.0149	6.25
HISTONE_MODIFICATIONS	COAD	MRPL37|51253	+	A5	chr1:54666910-54670691:54665914-54670691		1.8141	0.1095	37.5
HISTONE_MODIFICATIONS	COAD	ABO|28	-	RI	chr9:136132796:136132908-136132911:136132929		1.8078	-0.1149	12.5
HISTONE_MODIFICATIONS	COAD	SORBS1|10580	-	SE	chr10:97106209-97110973:97111133-97114639		1.7904	-0.246	43.75
HISTONE_MODIFICATIONS	COAD	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		1.7748	-0.234	43.75
HISTONE_MODIFICATIONS	COAD	ZBTB8A|653121	+	A3	chr1:33060824-33065688:33060824-33065869		1.7694	-0.1975	31.25
HISTONE_MODIFICATIONS	COAD	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		1.7588	-0.389	75
HISTONE_MODIFICATIONS	COAD	AHI1|54806	-	SE	chr6:135606785-135607537:135607686-135611561		1.7523	0.2091	12.5
HISTONE_MODIFICATIONS	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		1.7506	-0.3523	18.75
HISTONE_MODIFICATIONS	COAD	ADAMTSL4|54507	+	A3	chr1:150530625-150530733:150530625-150530949		1.7372	0.205	43.75
HISTONE_MODIFICATIONS	COAD	PBX1|5087	+	SE	chr1:164529250-164532475:164532548-164761731	Observed	1.7369	0.0179	56.25
HISTONE_MODIFICATIONS	COAD	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		1.7354	0.3232	68.75
HISTONE_MODIFICATIONS	COAD	PAPD5|64282	+	RI	chr16:50263063:50263108-50268837:50269217		1.735	-0.0563	31.25
HISTONE_MODIFICATIONS	COAD	S100A1|6271	+	A3	chr1:153603138-153603988:153603138-153604174		1.7326	0.1965	50
HISTONE_MODIFICATIONS	COAD	C14orf149|112849	-	A5	chr14:59946069-59950398:59946069-59950527		1.7293	0.4382	18.75
HISTONE_MODIFICATIONS	COAD	PFKM|5213	+	A5	chr12:48529166-48531504:48528821-48531504		1.72	0.2772	68.75
HISTONE_MODIFICATIONS	COAD	MLL|4297	+	A5	chr11:118362033-118362459:118362024-118362459		1.7114	0.1274	37.5
HISTONE_MODIFICATIONS	COAD	FLYWCH1|84256	+	A3	chr16:2980011-2980411:2980011-2980414		1.7108	-0.1015	56.25
HISTONE_MODIFICATIONS	COAD	STAG3L1|54441	+	SE	chr7:74994912-74995221:74995328-74995593		1.6888	-0.0089	25
