# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	STAD	DST|667	-	SE	chr6:56330993-56333780:56333797-56334681		3.4384	-0.5903	50
EUKARYOTIC_TRANSLATION_INITIATION	STAD	SOLH|6650	+	RI	chr16:602301:602530-602605:602771		3.1376	0.6169	18.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	HEATR5B|54497	-	SE	chr2:37227956-37229449:37229715-37230685		2.96	-0.5674	81.25
EUKARYOTIC_TRANSLATION_INITIATION	STAD	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		2.9236	0.5835	75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	FER1L4|80307	-	A5	chr20:34147394-34147890:34147394-34147930		2.8921	0.481	18.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	IFT172|26160	-	A3	chr2:27670524-27670679:27670501-27670679		2.8871	0.4712	62.5
EUKARYOTIC_TRANSLATION_INITIATION	STAD	IFT122|55764	+	SE	chr3:129207240-129210984:129211037-129214289		2.8465	-0.5051	37.5
EUKARYOTIC_TRANSLATION_INITIATION	STAD	SOS2|6655	-	A3	chr14:50596720-50597219:50596716-50597219		2.8125	-0.6373	62.5
EUKARYOTIC_TRANSLATION_INITIATION	STAD	DOCK6|57572	-	A3	chr19:11313391-11314757:11313385-11314757		2.8096	0.6285	68.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	PLXNB2|23654	-	RI	chr22:50719789:50719928-50719995:50720171		2.8055	0.5625	56.25
EUKARYOTIC_TRANSLATION_INITIATION	STAD	PPP1R13B|23368	-	SE	chr14:104202539-104204031:104204197-104205016		2.7626	-0.472	43.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	RNF43|54894	-	SE	chr17:56440961-56448272:56448394-56492687		2.6837	-0.4308	81.25
EUKARYOTIC_TRANSLATION_INITIATION	STAD	TACC2|10579	+	SE	chr10:123954691-123969389:123969484-123969912		2.587	0.2864	43.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	CEP192|55125	+	SE	chr18:13069855-13071038:13071211-13072754		2.5725	-0.5407	43.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		2.5657	0.559	81.25
EUKARYOTIC_TRANSLATION_INITIATION	STAD	TP53BP2|7159	-	SE	chr1:223984292-223985917:223986379-223987601		2.402	-0.5942	81.25
EUKARYOTIC_TRANSLATION_INITIATION	STAD	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.3706	-0.593	93.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	ADAM9|8754	+	A5	chr8:38940596-38947566:38940592-38947566		2.3506	0.5608	68.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	EXD2|55218	+	SE	chr14:69658308-69670634:69670717-69676141		2.3442	0.0605	43.75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	SMEK2|57223	-	A3	chr2:55791633-55792038:55791612-55792038		2.2358	-0.5205	75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	MLLT10|8028	+	A5	chr10:21823449-21823574:21823423-21823574		2.2303	-0.4501	37.5
EUKARYOTIC_TRANSLATION_INITIATION	STAD	SDK2|54549	-	SE	chr17:71375688-71377033:71377089-71380015		2.2142	-0.4406	62.5
EUKARYOTIC_TRANSLATION_INITIATION	STAD	ARID2|196528	+	SE	chr12:46287504-46298125:46298181-46298717		2.2132	0.5134	75
EUKARYOTIC_TRANSLATION_INITIATION	STAD	CTCF|10664	+	A3	chr16:67670754-67671591:67670754-67671597		2.2121	-0.5588	56.25
