# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	CESC	SLCO2A1|6578	-	SE	chr3:133672605-133673810:133674037-133692507		2.6431	0.5611	62.5
ANGIOGENESIS	CESC	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095		2.4679	-0.6321	75
ANGIOGENESIS	CESC	SNX19|399979	-	A5	chr11:130776616-130777848:130776616-130777864		2.4651	0.5819	56.25
ANGIOGENESIS	CESC	ITGA4|3676	+	A3	chr2:182387068-182388143:182387068-182388164		2.4326	-0.65	87.5
ANGIOGENESIS	CESC	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		2.4214	0.5595	68.75
ANGIOGENESIS	CESC	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		2.3925	-0.6198	87.5
ANGIOGENESIS	CESC	DEPDC5|9681	+	A3	chr22:32229966-32232985:32229966-32233080		2.3478	0.6196	68.75
ANGIOGENESIS	CESC	AP2B1|163	+	SE	chr17:33984810-33997876:33997917-33998773		2.3414	-0.6762	81.25
ANGIOGENESIS	CESC	CANX|821	+	A5	chr5:179126103-179132680:179126050-179132680		2.3025	0.4791	31.25
ANGIOGENESIS	CESC	BMP1|649	+	A3	chr8:22034163-22034437:22034163-22034474	Observed	2.269	-0.3115	43.75
ANGIOGENESIS	CESC	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.2543	0.6306	87.5
ANGIOGENESIS	CESC	FBXL5|26234	-	SE	chr4:15640317-15642411:15642506-15646116		2.2415	0.613	75
ANGIOGENESIS	CESC	NF2|4771	+	A3	chr22:30077590-30078968:30077590-30079009		2.2215	-0.5345	68.75
ANGIOGENESIS	CESC	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	2.1719	0.1425	62.5
ANGIOGENESIS	CESC	AEBP1|165	+	A5	chr7:44151371-44151453:44151229-44151453		2.1464	-0.6426	81.25
ANGIOGENESIS	CESC	PLEKHN1|84069	+	A3	chr1:906386-906457:906386-906493		2.1398	0.2212	18.75
ANGIOGENESIS	CESC	IFT172|26160	-	A3	chr2:27670524-27670679:27670501-27670679		2.1343	-0.6895	68.75
ANGIOGENESIS	CESC	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		2.1172	0.4021	75
ANGIOGENESIS	CESC	WAPAL|23063	-	SE	chr10:88206206-88211724:88211888-88212977		2.1132	0.6779	68.75
ANGIOGENESIS	CESC	TTPAL|79183	+	SE	chr20:43109084-43112977:43113170-43115236		2.1079	0.6196	56.25
ANGIOGENESIS	CESC	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		2.1059	-0.0651	68.75
ANGIOGENESIS	CESC	GOLGA5|9950	+	SE	chr14:93302009-93303731:93303794-93305711		2.1045	0.5741	37.5
ANGIOGENESIS	CESC	NTM|50863	+	SE	chr11:132180126-132182559:132182676-132184446		2.1045	-0.5741	56.25
ANGIOGENESIS	CESC	COPB2|9276	-	A5	chr3:139102277-139108390:139102277-139108473		2.0968	0.6454	50
ANGIOGENESIS	CESC	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		2.0872	0.4513	75
ANGIOGENESIS	CESC	SLAMF7|57823	+	SE	chr1:160709146-160717984:160718304-160719611		2.0835	0.5546	43.75
ANGIOGENESIS	CESC	SMC2|10592	+	SE	chr9:106896856-106898149:106898341-106900299		2.0522	-0.6471	56.25
ANGIOGENESIS	CESC	HBP1|26959	+	A5	chr7:106809630-106820324:106809472-106820324		2.0393	0.5174	43.75
ANGIOGENESIS	CESC	RNF167|26001	+	RI	chr17:4843782:4844021-4844218:4844288		2.0334	0.377	6.25
ANGIOGENESIS	CESC	TGM2|7052	-	SE	chr20:36779459-36784249:36784491-36789822		2.0143	0.586	68.75
ANGIOGENESIS	CESC	RNF167|26001	+	A3	chr17:4844021-4844168:4844021-4844218		1.9965	0.3273	43.75
ANGIOGENESIS	CESC	PLSCR3|57048	-	A3	chr17:7297586-7297796:7297478-7297796		1.9633	0.4023	62.5
ANGIOGENESIS	CESC	TGFBR1|7046	+	SE	chr9:101891382-101894791:101895021-101900141		1.9523	0.5924	68.75
ANGIOGENESIS	CESC	LOXL2|4017	-	SE	chr8:23155635-23156349:23156460-23159540		1.9466	0.6468	87.5
ANGIOGENESIS	CESC	VIPAR|63894	-	SE	chr14:77916095-77917530:77917676-77919642		1.9403	0.5693	50
ANGIOGENESIS	CESC	MORF4L2|9643	-	SE	chrX:102931979-102933427:102933579-102940099		1.9358	0.5957	62.5
ANGIOGENESIS	CESC	RAP1B|5908	+	SE	chr12:69045831-69047892:69048032-69050086		1.9226	0.5669	62.5
ANGIOGENESIS	CESC	ABHD10|55347	+	SE	chr3:111698050-111700631:111700814-111705111		1.917	0.5488	31.25
ANGIOGENESIS	CESC	RBM47|54502	-	SE	chr4:40434879-40438458:40438664-40439788		1.908	0.5539	62.5
ANGIOGENESIS	CESC	BOC|91653	+	A3	chr3:112993529-112996942:112993529-112996945		1.9032	0.1342	81.25
ANGIOGENESIS	CESC	ZMYND11|10771	+	SE	chr10:255988-267135:267296-282778		1.9027	0.6312	56.25
