# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
BASEMENT_MEMBRANE	COAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		7.5851	0.7134	81.25
BASEMENT_MEMBRANE	COAD	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		6.1571	0.6421	68.75
BASEMENT_MEMBRANE	COAD	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		5.8056	0.5944	93.75
BASEMENT_MEMBRANE	COAD	ACOT9|23597	-	SE	chrX:23751334-23752458:23752484-23754036		5.7035	0.4962	81.25
BASEMENT_MEMBRANE	COAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		5.6284	0.6941	43.75
BASEMENT_MEMBRANE	COAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		5.5615	-0.7036	100
BASEMENT_MEMBRANE	COAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		5.4104	-0.6778	75
BASEMENT_MEMBRANE	COAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		5.303	0.66	75
BASEMENT_MEMBRANE	COAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		5.0082	0.67	68.75
BASEMENT_MEMBRANE	COAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.9007	-0.6917	68.75
BASEMENT_MEMBRANE	COAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.7954	0.7122	87.5
BASEMENT_MEMBRANE	COAD	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.4348	-0.5201	93.75
BASEMENT_MEMBRANE	COAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		4.3983	0.669	75
BASEMENT_MEMBRANE	COAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		4.0575	0.4751	37.5
BASEMENT_MEMBRANE	COAD	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		3.9758	0.6367	68.75
BASEMENT_MEMBRANE	COAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.7482	-0.5595	62.5
BASEMENT_MEMBRANE	COAD	COL16A1|1307	-	SE	chr1:32145286-32145405:32145452-32145643		3.7198	0.5372	87.5
BASEMENT_MEMBRANE	COAD	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		3.6873	0.5503	75
BASEMENT_MEMBRANE	COAD	BICD2|23299	-	RI	chr9:95473645:95475743-95477535:95477745		3.6799	-0.3633	37.5
BASEMENT_MEMBRANE	COAD	MYOF|26509	-	SE	chr10:95148911-95152674:95152712-95155899		3.6473	0.6495	56.25
BASEMENT_MEMBRANE	COAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		3.6116	-0.5804	100
BASEMENT_MEMBRANE	COAD	BNC2|54796	-	SE	chr9:16419647-16435032:16435097-16435553		3.5319	-0.4981	81.25
BASEMENT_MEMBRANE	COAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.5151	0.6067	62.5
BASEMENT_MEMBRANE	COAD	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		3.5038	-0.4706	87.5
BASEMENT_MEMBRANE	COAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		3.4909	0.5599	50
BASEMENT_MEMBRANE	COAD	C20orf103|24141	+	SE	chr20:9496272-9496647:9496778-9496903		3.467	0.4954	62.5
BASEMENT_MEMBRANE	COAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		3.4013	-0.3577	75
