# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	PRAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		6.8863	0.6543	81.25
SNRNP_ASSEMBLY	PRAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		6.8131	-0.5965	68.75
SNRNP_ASSEMBLY	PRAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		6.6366	0.5796	56.25
SNRNP_ASSEMBLY	PRAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		6.2591	0.6269	43.75
SNRNP_ASSEMBLY	PRAD	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		5.7366	-0.5991	37.5
SNRNP_ASSEMBLY	PRAD	TPM1|7168	+	A5	chr15:63356389-63358095:63356341-63358095		5.2875	0.6075	62.5
SNRNP_ASSEMBLY	PRAD	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		5.2208	-0.4902	62.5
SNRNP_ASSEMBLY	PRAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		5.1817	-0.5471	56.25
SNRNP_ASSEMBLY	PRAD	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		4.7145	-0.3797	50
SNRNP_ASSEMBLY	PRAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		4.4693	0.5114	56.25
SNRNP_ASSEMBLY	PRAD	BICD2|23299	-	RI	chr9:95473645:95475743-95477535:95477745		4.4169	0.4504	25
SNRNP_ASSEMBLY	PRAD	WASF3|10810	+	MX	chr13:27246126-27250686:27250861-27255191:27246126-27254172:27254338-27255191		4.3344	0.5559	62.5
SNRNP_ASSEMBLY	PRAD	CLASP2|23122	-	SE	chr3:33617767-33618694:33618756-33623313		4.2479	-0.4317	12.5
SNRNP_ASSEMBLY	PRAD	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		4.2069	-0.5147	56.25
SNRNP_ASSEMBLY	PRAD	ATG16L1|55054	+	SE	chr2:234181698-234182367:234182423-234183322		4.1791	-0.4586	68.75
SNRNP_ASSEMBLY	PRAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.1517	0.4777	75
SNRNP_ASSEMBLY	PRAD	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406		4.0866	-0.4554	37.5
SNRNP_ASSEMBLY	PRAD	PPHLN1|51535	+	SE	chr12:42729776-42745687:42745851-42748963		4.0307	0.4753	31.25
SNRNP_ASSEMBLY	PRAD	ADARB1|104	+	RI	chr21:46641933:46642022-46645462:46646478		3.9853	0.4333	43.75
SNRNP_ASSEMBLY	PRAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		3.9403	-0.435	25
SNRNP_ASSEMBLY	PRAD	G3BP2|9908	-	SE	chr4:76573925-76579167:76579265-76580250		3.9118	-0.4299	37.5
SNRNP_ASSEMBLY	PRAD	C10orf137|26098	+	SE	chr10:127414407-127417572:127417673-127417927		3.814	0.432	50
SNRNP_ASSEMBLY	PRAD	EPB41L1|2036	+	SE	chr20:34700402-34713345:34713449-34763473		3.665	0.4607	62.5
SNRNP_ASSEMBLY	PRAD	SORBS2|8470	-	SE	chr4:186599976-186605908:186605996-186611716		3.6611	0.4579	25
SNRNP_ASSEMBLY	PRAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.5496	-0.4959	56.25
SNRNP_ASSEMBLY	PRAD	MRPS12|6183	+	A5	chr19:39421811-39421916:39421638-39421916		3.5131	0.3262	43.75
SNRNP_ASSEMBLY	PRAD	SYNE2|23224	+	SE	chr14:64681188-64682004:64682072-64682966		3.5079	-0.4108	43.75
SNRNP_ASSEMBLY	PRAD	GBA2|57704	-	RI	chr9:35736864:35737444-35737745:35737936		3.4974	-0.4484	50
SNRNP_ASSEMBLY	PRAD	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.4806	0.4347	43.75
SNRNP_ASSEMBLY	PRAD	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		3.4795	-0.445	43.75
