# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	PRAD	PDLIM7|9260	-	MX	chr5:176918147-176918405:176918421-176919406:176918147-176918808:176918926-176919406		6.158	-0.4274	37.5
DNA_REPLICATION_PATHWAY	PRAD	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		5.9084	-0.4694	25
DNA_REPLICATION_PATHWAY	PRAD	CENPA|1058	+	SE	chr2:27015108-27015624:27015701-27016013		4.9675	0.253	50
DNA_REPLICATION_PATHWAY	PRAD	VCL|7414	+	SE	chr10:75868914-75871667:75871870-75873942		4.9139	-0.4525	12.5
DNA_REPLICATION_PATHWAY	PRAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.8589	-0.4519	62.5
DNA_REPLICATION_PATHWAY	PRAD	RRBP1|6238	-	SE	chr20:17641173-17660644:17660720-17662673		4.8169	-0.4123	12.5
DNA_REPLICATION_PATHWAY	PRAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		4.6744	0.4215	56.25
DNA_REPLICATION_PATHWAY	PRAD	PLCD4|84812	+	RI	chr2:219498328:219498484-219498828:219498944		4.5243	0.5042	50
DNA_REPLICATION_PATHWAY	PRAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.1939	0.4803	56.25
DNA_REPLICATION_PATHWAY	PRAD	NFATC4|4776	+	RI	chr14:24845500:24846084-24846844:24848808		4.0083	0.3586	50
DNA_REPLICATION_PATHWAY	PRAD	TUBB6|84617	+	SE	chr18:12308794-12310942:12311052-12325066		3.8747	-0.2499	37.5
DNA_REPLICATION_PATHWAY	PRAD	CDK1|983	+	A5	chr10:62538426-62539899:62538328-62539899		3.8317	0.1634	18.75
DNA_REPLICATION_PATHWAY	PRAD	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		3.5802	-0.3852	62.5
DNA_REPLICATION_PATHWAY	PRAD	MYADM|91663	+	A3	chr19:54371197-54372944:54371197-54373008		3.4373	0.2756	43.75
DNA_REPLICATION_PATHWAY	PRAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.4258	-0.4104	37.5
DNA_REPLICATION_PATHWAY	PRAD	SMTN|6525	+	SE	chr22:31495882-31496871:31497035-31500302		3.4107	0.3952	18.75
DNA_REPLICATION_PATHWAY	PRAD	TROAP|10024	+	A3	chr12:49717820-49717938:49717820-49718014		3.4106	0.1839	62.5
DNA_REPLICATION_PATHWAY	PRAD	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		3.2244	-0.3991	56.25
DNA_REPLICATION_PATHWAY	PRAD	MSRB3|253827	+	SE	chr12:65672645-65702309:65702435-65720606		3.224	-0.3994	62.5
DNA_REPLICATION_PATHWAY	PRAD	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		3.1918	-0.406	43.75
