# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	CESC	NF2|4771	+	SE	chr22:30077590-30079009:30079053-30090741		3.3509	0.3921	68.75
M_PHASE	CESC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212000-67212102		2.9874	-0.3159	56.25
M_PHASE	CESC	ENGASE|64772	+	A3	chr17:77080768-77081316:77080768-77081319		2.9666	0.3259	50
M_PHASE	CESC	C15orf21|283651	+	SE	chr15:45803403-45804571:45804647-45805896		2.9283	-0.3683	56.25
M_PHASE	CESC	GLUL|2752	-	A5	chr1:182357885-182359632:182357885-182360310		2.8682	-0.3457	75
M_PHASE	CESC	TTLL3|26140	+	A5	chr3:9860604-9862230:9859443-9862230		2.8057	-0.2963	37.5
M_PHASE	CESC	HNF1A|6927	+	A3	chr12:121437192-121437265:121437192-121437286		2.7832	-0.1813	18.75
M_PHASE	CESC	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.6401	0.2639	50
M_PHASE	CESC	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.6271	-0.3404	62.5
M_PHASE	CESC	ADAM33|80332	-	A3	chr20:3649647-3649946:3649644-3649946		2.6045	-0.2737	62.5
M_PHASE	CESC	ABI1|10006	-	SE	chr10:27040712-27044584:27044670-27047991		2.5884	0.0665	56.25
M_PHASE	CESC	ACSF2|80221	+	SE	chr17:48538233-48538603:48538731-48538994		2.5681	-0.2905	50
M_PHASE	CESC	TROAP|10024	+	RI	chr12:49723928:49724356-49724444:49724726		2.5599	-0.0796	56.25
M_PHASE	CESC	KTN1|3895	+	SE	chr14:56128330-56130673:56130759-56133959		2.5255	0.2763	18.75
M_PHASE	CESC	TCIRG1|10312	+	SE	chr11:67817721-67817954:67818131-67818208		2.5082	-0.3952	25
M_PHASE	CESC	MVK|4598	+	SE	chr12:110013950-110017607:110017751-110023827		2.5063	0.0402	43.75
M_PHASE	CESC	PTGES3|10728	-	SE	chr12:57058584-57059416:57060050-57064059		2.4992	-0.2321	56.25
M_PHASE	CESC	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		2.4605	0.2839	50
M_PHASE	CESC	JAG2|3714	-	SE	chr14:105617248-105617328:105617441-105617620		2.4418	-0.2428	37.5
M_PHASE	CESC	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		2.4205	0.3649	50
M_PHASE	CESC	KIF12|113220	-	SE	chr9:116854922-116855031:116855184-116855509		2.402	-0.1863	25
M_PHASE	CESC	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		2.3533	-0.364	25
M_PHASE	CESC	ENGASE|64772	+	A5	chr17:77078959-77079102:77078145-77079102		2.3208	-0.3259	43.75
M_PHASE	CESC	DOCK8|81704	+	A5	chr9:368300-370230:368135-370230		2.2361	0.2368	50
M_PHASE	CESC	ZFAND6|54469	+	SE	chr15:80352151-80390758:80390920-80412670		2.1877	-0.2768	25
M_PHASE	CESC	ACOT9|23597	-	SE	chrX:23751334-23752458:23752484-23754036		2.1563	0.2163	50
