# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
M_PHASE	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		5.551	-0.5233	62.5
M_PHASE	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		5.2647	-0.4664	68.75
M_PHASE	LUSC	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		4.115	-0.4506	62.5
M_PHASE	LUSC	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		4.0319	-0.4002	56.25
M_PHASE	LUSC	SELENBP1|8991	-	SE	chr1:151340795-151341480:151341665-151341918		3.6913	-0.3061	43.75
M_PHASE	LUSC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.5052	-0.4657	50
M_PHASE	LUSC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.4415	-0.4446	81.25
M_PHASE	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		3.408	0.4372	75
M_PHASE	LUSC	TOR2A|27433	-	SE	chr9:130495839-130496578:130496843-130497399		3.2578	-0.4098	56.25
M_PHASE	LUSC	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		3.2545	-0.3702	50
M_PHASE	LUSC	LRP2|4036	-	SE	chr2:170131748-170134255:170134461-170135882		3.1742	-0.2705	25
M_PHASE	LUSC	SETD5|55209	+	SE	chr3:9470693-9471511:9471735-9475529		3.1726	0.3798	25
M_PHASE	LUSC	SH3TC1|54436	+	SE	chr4:8207093-8211392:8211549-8214428		3.1665	-0.1979	43.75
M_PHASE	LUSC	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.1647	-0.4181	87.5
M_PHASE	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		3.1384	-0.4322	62.5
M_PHASE	LUSC	AXL|558	+	SE	chr19:41745219-41745599:41745625-41748788		3.07	-0.1628	31.25
M_PHASE	LUSC	KIAA1191|57179	-	MX	chr5:175782752-175786484:175786570-175788605:175782752-175786814:175786921-175788605		3.0608	-0.2251	43.75
M_PHASE	LUSC	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		3.0273	-0.4273	56.25
M_PHASE	LUSC	C19orf2|8725	+	A3	chr19:30503438-30505794:30503438-30506443		2.9757	-0.4002	12.5
