# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	THCA	PFKL|5211	+	RI	chr21:45739234:45739298-45739967:45740030		5.969	-0.743	37.5
PROTEIN_SECRETION	THCA	PITPNM1|9600	-	RI	chr11:67263649:67263819-67264702:67264907		5.579	-0.7048	62.5
PROTEIN_SECRETION	THCA	PGAP2|27315	+	MX	chr11:3832654-3838583:3838765-3845113:3832654-3844139:3844223-3845113		5.5645	0.5863	68.75
PROTEIN_SECRETION	THCA	OSBPL3|26031	-	A5	chr7:24870524-24873706:24870524-24874105		5.5342	-0.6143	62.5
PROTEIN_SECRETION	THCA	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891		5.3683	-0.7647	68.75
PROTEIN_SECRETION	THCA	MCTP2|55784	+	A3	chr15:94899530-94901711:94899530-94901776		5.0903	0.6963	68.75
PROTEIN_SECRETION	THCA	ENTPD5|957	-	SE	chr14:74454875-74474399:74474515-74477794		5.0384	-0.6929	68.75
PROTEIN_SECRETION	THCA	ZNF141|7700	+	RI	chr4:331596:331694-331695:331775		5.0359	-0.7205	81.25
PROTEIN_SECRETION	THCA	UCKL1|54963	-	A5	chr20:62572396-62572463:62572396-62572489		4.9394	0.6887	62.5
PROTEIN_SECRETION	THCA	HDAC6|10013	+	RI	chrX:48673082:48673147-48673241:48673300		4.8684	-0.678	81.25
PROTEIN_SECRETION	THCA	SHC2|25759	-	RI	chr19:436380:436431-436630:436683		4.8455	-0.6878	56.25
PROTEIN_SECRETION	THCA	DVL3|1857	+	RI	chr3:183882584:183882719-183882901:183882994		4.8085	-0.6567	56.25
PROTEIN_SECRETION	THCA	TOP3B|8940	-	RI	chr22:22311404:22311967-22312864:22313065		4.6926	-0.5883	68.75
PROTEIN_SECRETION	THCA	RHOT2|89941	+	RI	chr16:720892:721000-721083:721203		4.6093	-0.7164	62.5
PROTEIN_SECRETION	THCA	SNX13|23161	-	A3	chr7:17861304-17865645:17861271-17865645		4.5856	-0.6594	50
PROTEIN_SECRETION	THCA	FBXO42|54455	-	RI	chr1:16579591:16579647-16580130:16580226		4.529	-0.5896	18.75
PROTEIN_SECRETION	THCA	HPS4|89781	-	RI	chr22:26861421:26861517-26862192:26862228		4.4984	-0.5429	62.5
