# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	LUSC	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		4.5053	0.5108	81.25
RIBOSOME	LUSC	ADCY3|109	-	A3	chr2:25051030-25053578:25050892-25053578		4.2872	-0.5213	75
RIBOSOME	LUSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		4.022	-0.5039	62.5
RIBOSOME	LUSC	GNB2L1|10399	-	RI	chr5:180668492:180668639-180669170:180669345		3.8504	-0.39	37.5
RIBOSOME	LUSC	CARS|833	-	SE	chr11:3023283-3023771:3023830-3026596		3.8384	-0.4643	56.25
RIBOSOME	LUSC	CDH3|1001	+	SE	chr16:68679327-68679539:68679653-68710288		3.8211	-0.5237	25
RIBOSOME	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		3.7381	-0.4848	75
RIBOSOME	LUSC	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		3.7102	0.4994	62.5
RIBOSOME	LUSC	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535		3.6942	-0.494	62.5
RIBOSOME	LUSC	MICALL2|79778	-	A5	chr7:1474308-1474737:1474308-1474742		3.6422	-0.3816	62.5
RIBOSOME	LUSC	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		3.6214	-0.537	75
RIBOSOME	LUSC	TGFBI|7045	+	A5	chr5:135398376-135398875:135398362-135398875		3.5371	-0.5222	62.5
RIBOSOME	LUSC	TTF1|7270	-	SE	chr9:135275645-135276842:135278215-135282177		3.4997	-0.5175	75
RIBOSOME	LUSC	GPR172A|79581	+	A5	chr8:145582725-145582844:145582270-145582844		3.4924	-0.4583	56.25
