# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266	Observed	6.9474	-0.6417	100
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		6.5619	-0.4648	100
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		6.3452	0.5997	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		6.3268	-0.3638	100
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		6.046	-0.5477	100
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		5.9948	-0.5703	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		5.8941	0.5311	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		5.7029	0.5127	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		5.595	0.5127	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	ZNF683|257101	-	SE	chr1:26688513-26688607:26688666-26689517		5.4935	0.1849	43.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		5.4362	0.5597	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CLEC2D|29121	+	SE	chr12:9845527-9845630:9845711-9847356		5.1444	0.4315	62.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		4.9737	0.4644	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		4.9346	-0.5335	75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		4.5436	0.4807	81.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.4986	-0.4902	81.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		4.446	0.3155	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	TERF1|7013	+	SE	chr8:73939287-73942571:73942630-73944277		4.4119	-0.4008	50
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	IL32|9235	+	A5	chr16:3115711-3115785:3115688-3115785	Observed	4.3803	0.4049	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	IDO1|3620	+	A5	chr8:39781109-39782240:39781105-39782240		4.358	-0.1716	62.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD8A|925	-	RI	chr2:87017900:87018218-87018633:87018837	Observed	4.2492	-0.2103	50
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LOC96610|96610	+	A3	chr22:22658479-22661155:22658479-22661198		4.2184	0.4266	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	BTLA|151888	-	SE	chr3:112188651-112190059:112190202-112198302		4.2119	0.2265	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	SPIB|6689	+	RI	chr19:50931295:50931797-50931798:50932249		4.1399	-0.407	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	FAM18A|780776	-	A3	chr16:10863335-10864129:10862958-10864129		4.1323	-0.369	75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	MYO5A|4644	-	SE	chr15:52628753-52630007:52630081-52632393		4.0589	0.425	31.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		4.041	0.4025	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD47|961	-	SE	chr3:107766139-107769425:107769449-107770786		4.0048	-0.4073	43.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	FASLG|356	+	SE	chr1:172628689-172629235:172629280-172633474		3.9289	0.4197	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	SLAMF1|6504	-	SE	chr1:160582370-160589566:160589639-160593886		3.858	0.267	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	RAB37|326624	+	SE	chr17:72733504-72736907:72737017-72738393		3.8141	0.4099	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	TRAF3IP3|80342	+	A3	chr1:209951518-209952660:209951518-209952776		3.8079	-0.4041	50
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		3.7729	-0.4927	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		3.7493	-0.4683	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807		3.7386	0.2738	100
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	ITGAL|3683	+	A3	chr16:30515585-30516565:30515585-30516568		3.715	0.3824	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	PSTPIP1|9051	+	SE	chr15:77324735-77325203:77325293-77327849		3.6973	0.2206	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.6783	-0.4173	81.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		3.6755	-0.2909	75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		3.5596	0.4608	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		3.4419	-0.4618	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		3.4116	0.3865	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.3613	-0.5081	87.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.3389	-0.4661	75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CD79B|974	-	SE	chr17:62007248-62007434:62007745-62008695		3.3328	-0.1648	62.5
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		3.2953	-0.4165	43.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	PYHIN1|149628	+	SE	chr1:158914832-158943437:158943561-158946491		3.2602	0.1354	75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		3.2539	-0.4017	75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	MACF1|23499	+	SE	chr1:39945681-39946592:39946702-39950273		3.2493	-0.3864	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	CLEC2D|29121	+	SE	chr12:9845711-9846012:9846544-9847356		3.2461	-0.3684	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	KIAA0748|9840	-	A3	chr12:55357026-55357526:55357022-55357526		3.2089	0.3475	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BRCA	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		3.2046	0.4317	56.25
