# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NONSENSE_MEDIATED_DECAY_NMD	ESCA	NFE2L1|4779	+	A5	chr17:46132512-46133748:46132123-46133748		2.8515	-0.502	18.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ACIN1|22985	-	A5	chr14:23538826-23540334:23538826-23540636		2.2795	-0.4876	37.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	C1QTNF3|114899	-	A5	chr5:34035863-34042928:34035863-34043147		2.1957	-0.2967	31.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	PUS7L|83448	-	SE	chr12:44142412-44148139:44149064-44152533		2.1641	-0.3151	43.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	KIF20B|9585	+	SE	chr10:91522592-91526024:91526329-91528047		2.1106	0.5645	75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	HPS4|89781	-	A5	chr22:26878206-26879640:26878206-26879731		2.0865	0.501	50
NONSENSE_MEDIATED_DECAY_NMD	ESCA	EBF1|1879	-	A3	chr5:158223486-158250184:158223483-158250184		2.0465	0.3656	37.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.036	-0.526	75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ST6GALNAC5|81849	+	A3	chr1:77510298-77515943:77510298-77515947		2.017	-0.2141	18.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	MAP4|4134	-	SE	chr3:47908828-47910704:47910817-47912348		1.967	-0.3615	12.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	NOL8|55035	-	A5	chr9:95086491-95087588:95086491-95087600		1.9599	-0.5212	75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	LRPPRC|10128	-	SE	chr2:44207087-44209377:44209573-44222938		1.9537	0.5179	31.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	REV3L|5980	-	SE	chr6:111650941-111651389:111651515-111652879		1.9499	0.5008	62.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ABLIM2|84448	-	A3	chr4:8009927-8010777:8009924-8010777		1.9017	0.1495	18.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ASPM|259266	-	SE	chr1:197065294-197069561:197074315-197086919		1.8845	-0.5151	87.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004		1.8798	-0.3588	68.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	KIAA1731|85459	+	A3	chr11:93462696-93462777:93462696-93462780		1.8436	0.472	43.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		1.8176	-0.1762	56.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	GPR126|57211	+	SE	chr6:142759501-142762045:142762090-142764474		1.8099	-0.3707	50
NONSENSE_MEDIATED_DECAY_NMD	ESCA	SOS2|6655	-	A3	chr14:50596720-50597219:50596716-50597219		1.7979	-0.5264	81.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	DNMBP|23268	-	SE	chr10:101654807-101656024:101656154-101657843		1.7802	-0.4998	68.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ASAP1|50807	-	SE	chr8:131172210-131173031:131173039-131179782		1.7716	0.4244	68.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		1.7481	-0.403	68.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	FNBP1L|54874	+	RI	chr1:94016504:94016662-94017966:94020216		1.747	0.1839	56.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	FAM13C|220965	-	SE	chr10:61115703-61120786:61120870-61122159		1.7358	-0.321	43.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	UACA|55075	-	SE	chr15:70968930-70969447:70969479-70970438		1.7341	0.3964	68.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	STEAP3|55240	+	SE	chr2:119981464-119988196:119988610-120003065		1.7308	-0.2557	31.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	AURKA|6790	-	SE	chr20:54963258-54965612:54965721-54967224		1.7305	-0.2461	62.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	LOC100288778|100288778	+	A3	chr12:78939-87256:78939-87266		1.7263	-0.2422	43.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	MSRB3|253827	+	SE	chr12:65672645-65700643:65700806-65702309		1.7241	-0.2818	12.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	SLC6A6|6533	+	A3	chr3:14457961-14485132:14457961-14485136		1.7219	-0.3595	31.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	DUS2L|54920	+	SE	chr16:68057254-68059318:68059397-68071909		1.7157	-0.2725	37.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	NAT9|26151	-	A3	chr17:72769827-72771761:72769824-72771761		1.7103	-0.1976	50
NONSENSE_MEDIATED_DECAY_NMD	ESCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		1.7073	0.1119	43.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	CUL9|23113	+	A5	chr6:43184241-43188197:43184123-43188197		1.7009	-0.4451	62.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		1.6955	-0.4873	75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	NFASC|23114	+	SE	chr1:204913534-204919685:204919702-204921139		1.694	-0.2776	31.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ATG4A|115201	+	SE	chrX:107369417-107372011:107372082-107374490		1.6908	-0.2832	50
NONSENSE_MEDIATED_DECAY_NMD	ESCA	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		1.6859	0.5669	62.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ABCC9|10060	-	SE	chr12:22089628-22090952:22091011-22093644		1.6852	0.0742	18.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	IKBKB|3551	+	MX	chr8:42128987-42129601:42129723-42147674:42128987-42146152:42146246-42147674		1.6844	-0.4023	25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		1.6796	-0.1854	62.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	KIF16B|55614	-	MX	chr20:16293063-16316571:16316660-16351231:16293063-16336975:16337097-16351231		1.6788	0.0951	37.5
NONSENSE_MEDIATED_DECAY_NMD	ESCA	MPST|4357	+	A5	chr22:37415913-37420233:37415815-37420233		1.6607	0.0147	25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	TTC27|55622	+	A5	chr2:33036292-33037571:33036288-33037571		1.6565	0.396	68.75
NONSENSE_MEDIATED_DECAY_NMD	ESCA	ZMYM3|9203	-	A5	chrX:70473124-70474318:70473124-70474509		1.6489	-0.0016	6.25
NONSENSE_MEDIATED_DECAY_NMD	ESCA	RNF213|57674	+	RI	chr17:78362412:78362489-78362973:78363167		1.6438	0.4467	87.5
