# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PRIMARY_IMMUNODEFICIENCY	BLCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		4.8104	-0.5647	75
PRIMARY_IMMUNODEFICIENCY	BLCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.7705	-0.4989	100
PRIMARY_IMMUNODEFICIENCY	BLCA	TRAF3IP3|80342	+	SE	chr1:209949081-209950697:209950832-209951456		4.6663	0.5367	75
PRIMARY_IMMUNODEFICIENCY	BLCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		4.5482	-0.4227	100
PRIMARY_IMMUNODEFICIENCY	BLCA	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		4.5383	-0.6776	100
PRIMARY_IMMUNODEFICIENCY	BLCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.5032	0.6305	93.75
PRIMARY_IMMUNODEFICIENCY	BLCA	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		4.3756	0.6608	100
PRIMARY_IMMUNODEFICIENCY	BLCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.0734	-0.6246	100
PRIMARY_IMMUNODEFICIENCY	BLCA	SEPT1|1731	-	SE	chr16:30392794-30393081:30393204-30393414		4.0598	0.3194	87.5
PRIMARY_IMMUNODEFICIENCY	BLCA	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		3.7149	0.5922	93.75
PRIMARY_IMMUNODEFICIENCY	BLCA	SP140|11262	+	SE	chr2:231110655-231112631:231112780-231113600		3.6314	0.451	93.75
PRIMARY_IMMUNODEFICIENCY	BLCA	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		3.5966	0.5246	100
PRIMARY_IMMUNODEFICIENCY	BLCA	GBP5|115362	-	SE	chr1:89735257-89736438:89736545-89738135		3.5009	0.3718	87.5
PRIMARY_IMMUNODEFICIENCY	BLCA	SP140|11262	+	SE	chr2:231109795-231110578:231110655-231112631		3.4645	0.3669	87.5
PRIMARY_IMMUNODEFICIENCY	BLCA	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		3.4181	0.4397	56.25
PRIMARY_IMMUNODEFICIENCY	BLCA	TBC1D10C|374403	+	A5	chr11:67174209-67174298:67174163-67174298		3.3673	-0.1029	93.75
PRIMARY_IMMUNODEFICIENCY	BLCA	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		3.3641	-0.5852	100
PRIMARY_IMMUNODEFICIENCY	BLCA	MIAT|440823	+	SE	chr22:27062900-27063148:27063273-27064121		3.3351	0.3802	81.25
