# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPAIR_PATHWAY	HNSC	FAM149B1|317662	+	A5	chr10:74987942-74990180:74987918-74990180		3.9454	-0.5024	18.75
DNA_REPAIR_PATHWAY	HNSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.8753	-0.4532	68.75
DNA_REPAIR_PATHWAY	HNSC	EPN2|22905	+	A3	chr17:19235381-19237269:19235381-19238718		3.0754	-0.5619	31.25
DNA_REPAIR_PATHWAY	HNSC	LYST|1130	-	SE	chr1:235909827-235910470:235910631-235914510		3.023	0.5792	81.25
DNA_REPAIR_PATHWAY	HNSC	KIAA1841|84542	+	SE	chr2:61296120-61296787:61296833-61297477		2.9481	0.3285	50
DNA_REPAIR_PATHWAY	HNSC	WAC|51322	+	SE	chr10:28879761-28884662:28884970-28897115		2.7912	-0.4823	43.75
DNA_REPAIR_PATHWAY	HNSC	GYG1|2992	+	SE	chr3:148727189-148741840:148742059-148744547		2.7289	-0.3216	6.25
DNA_REPAIR_PATHWAY	HNSC	DMKN|93099	-	SE	chr19:35997087-35999107:35999142-36000813		2.6191	-0.1253	31.25
DNA_REPAIR_PATHWAY	HNSC	LOC92249|92249	-	A3	chrX:62648861-62652244:62646876-62652244		2.5874	-0.488	75
DNA_REPAIR_PATHWAY	HNSC	SERPING1|710	+	SE	chr11:57365794-57367352:57367850-57369508		2.5536	-0.489	62.5
DNA_REPAIR_PATHWAY	HNSC	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		2.5384	-0.543	62.5
DNA_REPAIR_PATHWAY	HNSC	MAML3|55534	-	RI	chr4:140651570:140651584-140651588:140651821		2.5174	0.5349	43.75
DNA_REPAIR_PATHWAY	HNSC	JAM3|83700	+	SE	chr11:134010665-134014136:134014288-134014687		2.5071	-0.4576	68.75
DNA_REPAIR_PATHWAY	HNSC	UACA|55075	-	SE	chr15:70968930-70969447:70969479-70970438		2.5034	0.5024	75
DNA_REPAIR_PATHWAY	HNSC	ZNF280D|54816	-	A3	chr15:56999348-56999461:56999341-56999461		2.4845	-0.5023	43.75
DNA_REPAIR_PATHWAY	HNSC	PLSCR3|57048	-	A3	chr17:7297590-7297796:7297478-7297796		2.4666	-0.3658	50
DNA_REPAIR_PATHWAY	HNSC	PTPRF|5792	+	SE	chr1:44069204-44069282:44069860-44070574		2.4081	-0.5047	6.25
DNA_REPAIR_PATHWAY	HNSC	PEG3|5178	-	SE	chr19:57328947-57329114:57329206-57329968		2.3976	-0.3367	43.75
