# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	LUSC	C15orf21|283651	+	SE	chr15:45803403-45804571:45804647-45805896		5.326	-0.3844	50
CHROMOSOME_LOCALIZATION	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.9701	-0.4627	62.5
CHROMOSOME_LOCALIZATION	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.9668	-0.4758	68.75
CHROMOSOME_LOCALIZATION	LUSC	HSH2D|84941	+	A3	chr19:16263451-16263842:16263451-16263853		4.5698	-0.3371	25
CHROMOSOME_LOCALIZATION	LUSC	HSH2D|84941	+	A5	chr19:16264018-16265209:16264014-16265209		4.3137	0.2787	37.5
CHROMOSOME_LOCALIZATION	LUSC	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494	Observed	4.3057	0.404	62.5
CHROMOSOME_LOCALIZATION	LUSC	HSH2D|84941	+	RI	chr19:16268020:16268208-16268210:16269375		3.9858	-0.3414	43.75
CHROMOSOME_LOCALIZATION	LUSC	DLG2|1740	-	MX	chr11:83183820-83194296:83194341-83243751:83183820-83195172:83195271-83243751		3.8547	-0.2268	43.75
CHROMOSOME_LOCALIZATION	LUSC	RORC|6097	-	A5	chr1:151785533-151785715:151785533-151785751	Observed	3.7181	-0.2463	12.5
CHROMOSOME_LOCALIZATION	LUSC	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		3.6298	-0.3809	62.5
CHROMOSOME_LOCALIZATION	LUSC	CPZ|8532	+	SE	chr4:8594648-8601180:8601212-8602850		3.6213	-0.2354	31.25
CHROMOSOME_LOCALIZATION	LUSC	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		3.5829	-0.3094	43.75
CHROMOSOME_LOCALIZATION	LUSC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		3.5564	0.1534	68.75
CHROMOSOME_LOCALIZATION	LUSC	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		3.4479	-0.3375	43.75
CHROMOSOME_LOCALIZATION	LUSC	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		3.4067	-0.3108	81.25
CHROMOSOME_LOCALIZATION	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		3.4057	0.4448	75
CHROMOSOME_LOCALIZATION	LUSC	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		3.2795	-0.2809	43.75
CHROMOSOME_LOCALIZATION	LUSC	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.2773	-0.3727	50
CHROMOSOME_LOCALIZATION	LUSC	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		3.1259	-0.4214	31.25
CHROMOSOME_LOCALIZATION	LUSC	C16orf13|84326	-	SE	chr16:684797-684889:684956-685281		3.0847	-0.2933	37.5
CHROMOSOME_LOCALIZATION	LUSC	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		3.0488	0.3707	56.25
CHROMOSOME_LOCALIZATION	LUSC	LRMP|4033	+	SE	chr12:25205890-25214526:25214587-25215754		2.9795	-0.1607	25
CHROMOSOME_LOCALIZATION	LUSC	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		2.9281	-0.3015	56.25
CHROMOSOME_LOCALIZATION	LUSC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		2.9027	-0.38	56.25
CHROMOSOME_LOCALIZATION	LUSC	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.9021	0.1818	43.75
CHROMOSOME_LOCALIZATION	LUSC	DMD|1756	-	SE	chrX:31140047-31144759:31144790-31152219		2.8642	-0.2742	62.5
CHROMOSOME_LOCALIZATION	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		2.8302	-0.3494	50
CHROMOSOME_LOCALIZATION	LUSC	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		2.804	-0.3219	62.5
CHROMOSOME_LOCALIZATION	LUSC	C19orf2|8725	+	A3	chr19:30503438-30505794:30503438-30506443		2.7565	-0.4017	12.5
CHROMOSOME_LOCALIZATION	LUSC	KLHL12|59349	-	SE	chr1:202861787-202862367:202862553-202863312		2.7383	-0.2642	31.25
CHROMOSOME_LOCALIZATION	LUSC	PQBP1|10084	+	A5	chrX:48755376-48755775:48755297-48755775		2.7283	-0.2825	62.5
CHROMOSOME_LOCALIZATION	LUSC	CANT1|124583	-	A3	chr17:76994045-77005746:76993726-77005746		2.7093	-0.2585	31.25
CHROMOSOME_LOCALIZATION	LUSC	NUDT4|11163	+	A3	chr12:93789309-93792544:93789309-93792547		2.7002	-0.1799	31.25
CHROMOSOME_LOCALIZATION	LUSC	SIGLECP3|284367	+	SE	chr19:51671624-51671860:51671907-51675323		2.6852	-0.1515	31.25
CHROMOSOME_LOCALIZATION	LUSC	CLEC5A|23601	-	SE	chr7:141635750-141643696:141643764-141645141		2.6422	-0.299	18.75
