# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	PRAD	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	3.4105	0.5112	93.75
APOPTOSIS	PRAD	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088	Observed	3.2485	0.2817	68.75
APOPTOSIS	PRAD	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	3.1132	0.3703	93.75
APOPTOSIS	PRAD	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	2.3918	0.2396	81.25
APOPTOSIS	PRAD	SPI1|6688	-	A3	chr11:47397283-47399860:47397280-47399860	Observed	1.9808	0.053	37.5
APOPTOSIS	PRAD	LGALS9|3965	+	SE	chr17:25969374-25970551:25970646-25972340	Observed	1.9016	0.3629	50
APOPTOSIS	PRAD	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	1.8776	0.0338	37.5
APOPTOSIS	PRAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014	Observed	1.7611	0.2183	75
APOPTOSIS	PRAD	FGFR2|2263	-	MX	chr10:123274833-123276833:123276977-123279493:123274833-123278196:123278343-123279493	Observed	1.7352	-0.1003	31.25
APOPTOSIS	PRAD	ARNTL2|56938	+	A5	chr12:27486069-27521195:27486036-27521195	Observed	1.733	0.1263	31.25
APOPTOSIS	PRAD	IL10RA|3587	+	A3	chr11:117857249-117857322:117857249-117857399	Observed	1.5992	0.1215	62.5
APOPTOSIS	PRAD	TCF7L2|6934	+	SE	chr10:114711366-114724315:114724383-114799784	Observed	1.5485	0.2252	62.5
APOPTOSIS	PRAD	GBA|2629	-	SE	chr1:155210971-155213886:155214024-155214297	Observed	1.4166	0.1219	56.25
APOPTOSIS	PRAD	BCL2L11|10018	+	SE	chr2:111881446-111907621:111907724-111921710	Observed	1.3496	0.1296	62.5
APOPTOSIS	PRAD	CD40|958	+	MX	chr20:44751395-44751765:44751858-44756777:44751395-44755279:44755340-44756777	Observed	1.1986	0.0932	68.75
APOPTOSIS	PRAD	XAF1|54739	+	A3	chr17:6661543-6662575:6661543-6662981	Observed	1.1557	-0.2398	75
APOPTOSIS	PRAD	CASP8|841	+	A3	chr2:202098835-202131184:202098835-202131210	Observed	1.001	-0.0784	62.5
APOPTOSIS	PRAD	DAP3|7818	+	MX	chr1:155679615-155686797:155686919-155695173:155679615-155691308:155691409-155695173	Observed	1.001	0.058	62.5
APOPTOSIS	PRAD	DNM1L|10059	+	SE	chr12:32890095-32891198:32891230-32892998	Observed	1.001	0.0548	62.5
