# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	SKCM	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.1834	-0.5588	100
COMPLEMENT_ACTIVATION	SKCM	CD37|951	+	A5	chr19:49838866-49838971:49838832-49838971		3.9459	0.3874	25
COMPLEMENT_ACTIVATION	SKCM	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		3.9269	0.5368	75
COMPLEMENT_ACTIVATION	SKCM	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.8662	-0.5082	81.25
COMPLEMENT_ACTIVATION	SKCM	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.866	-0.653	100
COMPLEMENT_ACTIVATION	SKCM	CCM2|83605	+	SE	chr7:45067396-45077852:45078025-45103517		3.7534	0.5844	75
COMPLEMENT_ACTIVATION	SKCM	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.7372	0.5217	87.5
COMPLEMENT_ACTIVATION	SKCM	RAB37|326624	+	SE	chr17:72733504-72736907:72737017-72738393		3.6878	0.491	75
COMPLEMENT_ACTIVATION	SKCM	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		3.6686	-0.4515	56.25
COMPLEMENT_ACTIVATION	SKCM	ENTPD1|953	+	SE	chr10:97515523-97570390:97570563-97599448		3.563	0.4948	56.25
COMPLEMENT_ACTIVATION	SKCM	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		3.5404	0.4851	50
COMPLEMENT_ACTIVATION	SKCM	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		3.533	0.4895	87.5
COMPLEMENT_ACTIVATION	SKCM	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		3.4999	0.466	81.25
COMPLEMENT_ACTIVATION	SKCM	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		3.4178	0.4022	62.5
COMPLEMENT_ACTIVATION	SKCM	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		3.3451	-0.4262	93.75
