# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		4.7474	-0.4634	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		4.4994	-0.4353	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.1138	-0.5235	81.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		4.0565	-0.4569	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SELENBP1|8991	-	SE	chr1:151340795-151341480:151341665-151341918		3.8847	-0.2625	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SIVA1|10572	+	A3	chr14:105219656-105221967:105219656-105222941		3.7857	-0.4044	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CTNNB1|1499	+	RI	chr3:41280625:41280845-41281151:41281939		3.5976	-0.425	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SETD5|55209	+	SE	chr3:9470693-9471511:9471735-9475529		3.4295	0.373	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		3.3786	-0.3421	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PRG4|10216	+	RI	chr1:186275450:186276083-186277375:186278272		3.3767	-0.3897	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061		3.3373	-0.3835	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LAMA2|3908	+	SE	chr6:129794497-129796535:129796546-129799838		3.304	-0.3561	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	FAM38B|63895	-	SE	chr18:10681750-10682101:10682289-10689653		3.2789	-0.3504	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.2533	-0.4065	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	MYH11|4629	-	MX	chr16:15876334-15878555:15878575-15880487:15876334-15880332:15880351-15880487		3.1933	0.3162	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.1667	-0.4706	81.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		3.1069	-0.3489	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.0021	-0.4364	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		2.9978	0.4197	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CDH23|64072	+	A5	chr10:73572119-73572237:73571772-73572237		2.9185	0.2741	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PRPF39|55015	+	RI	chr14:45565306:45565431-45566090:45566208		2.8843	-0.3647	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ITGA7|3679	-	SE	chr12:56079072-56079986:56080098-56081755		2.863	0.3626	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SNX1|6642	+	A3	chr15:64429131-64429767:64429131-64430241		2.86	-0.3062	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		2.8569	-0.392	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		2.8556	-0.482	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	RGS14|10636	+	A3	chr5:176795921-176797589:176795921-176797592		2.844	0.3978	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		2.7712	-0.4002	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LOC642826|642826	-	A5	chr10:47241940-47243317:47241940-47243467		2.708	-3e-04	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	FRMD8|83786	+	SE	chr11:65154592-65156832:65156999-65161044		2.7002	-0.3877	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	FNBP1|23048	-	SE	chr9:132671278-132686123:132686305-132687239		2.6987	0.3755	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CIITA|4261	+	SE	chr16:10995415-10995895:10996041-10996515		2.6812	-0.3776	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.6585	0.3032	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	DNAJB12|54788	-	RI	chr10:74092588:74094375-74095592:74095689		2.6544	-0.3677	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		2.6156	0.4524	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SLC16A2|6567	+	SE	chrX:73745728-73749048:73749276-73751168		2.6071	-0.3653	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	WASF3|10810	+	MX	chr13:27246126-27250686:27250861-27255191:27246126-27254172:27254338-27255191		2.5997	0.2454	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		2.5993	-0.2547	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	DDX24|57062	-	SE	chr14:94528967-94545371:94546093-94547465		2.565	-0.2606	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SGSH|6448	-	SE	chr17:78188564-78188832:78188937-78190831		2.5091	-0.3169	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		2.4824	0.384	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	RPS9|6203	+	A3	chr19:54705477-54710144:54705477-54711266		2.4623	-0.3317	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	OGN|4969	-	A3	chr9:95165764-95166778:95165683-95166778		2.4607	-0.278	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	KIAA0895L|653319	-	SE	chr16:67210878-67211913:67212010-67212102		2.4542	-0.3726	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		2.4448	-0.3837	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CARS|833	-	SE	chr11:3023283-3023771:3023830-3026596		2.4401	-0.1952	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ADAMTS10|81794	-	RI	chr19:8650016:8650192-8650340:8650544		2.4381	-0.2217	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ZBTB44|29068	-	A5	chr11:130104168-130106688:130104168-130106905		2.4279	0.2618	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		2.4237	-0.0998	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.4176	-0.3636	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	FES|2242	+	SE	chr15:91428488-91428642:91428815-91430191		2.4167	-0.3166	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CHD6|84181	-	MX	chr20:40162209-40179944:40179999-40246979:40162209-40192650:40192790-40246979		2.4037	-0.4096	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	DOCK8|81704	+	A5	chr9:368300-370230:368135-370230		2.4035	0.3713	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	RORC|6097	-	A5	chr1:151785533-151785715:151785533-151785751		2.3971	-0.2277	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	C15orf52|388115	-	RI	chr15:40630949:40631104-40631713:40631820		2.3875	0.1579	12.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	TOR2A|27433	-	SE	chr9:130495839-130496578:130496843-130497399		2.3862	-0.3939	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ZMIZ1|57178	+	SE	chr10:81067328-81070681:81070941-81072399		2.3739	-0.3782	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		2.3691	-0.4155	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PRRT3|285368	-	RI	chr3:9987226:9987395-9987769:9989685		2.3684	-0.281	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ATP1A2|477	+	A3	chr1:160106160-160106360:160106160-160106411		2.3583	-0.282	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	HECW2|57520	-	A3	chr2:197189873-197194299:197189802-197194299		2.3573	-0.1491	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PARD3B|117583	+	SE	chr2:206265847-206305094:206305396-206364620		2.3543	-0.1589	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	HSD11B1L|374875	+	SE	chr19:5681282-5684830:5685130-5686911		2.3459	-0.2412	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	EFCAB4A|283229	+	RI	chr11:830250:830337-830621:830713		2.3408	0.2273	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CCDC24|149473	+	A3	chr1:44457676-44457884:44457676-44457992		2.3204	-0.2673	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	RNH1|6050	-	SE	chr11:502181-504824:504996-506609		2.3106	-0.0884	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	EFCAB4B|84766	-	A5	chr12:3753806-3757526:3753806-3757708		2.3077	-0.3539	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	HP1BP3|50809	-	SE	chr1:21106404-21106838:21107033-21113688		2.3075	0.3213	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	TNK2|10188	-	SE	chr3:195593887-195594040:195594129-195594232		2.3006	0.0347	62.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ZNF187|7741	+	RI	chr6:28239632:28239931-28239934:28240116		2.3001	-0.0801	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SELENBP1|8991	-	A5	chr1:151340795-151341476:151340795-151341480		2.2946	0.0933	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	POLD4|57804	-	A5	chr11:67120548-67120774:67120548-67121010		2.2884	-0.4062	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	GDPD5|81544	-	SE	chr11:75155540-75159537:75159694-75160022		2.2804	0.0295	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ITGA7|3679	-	MX	chr12:56092701-56093654:56093773-56094683:56092701-56094046:56094177-56094683		2.2798	0.2293	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		2.2727	-0.3518	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SMUG1|23583	-	MX	chr12:54577743-54581603:54581689-54582735:54577743-54582299:54582380-54582735		2.2719	0.2711	75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		2.2463	-0.2434	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PEAR1|375033	+	RI	chr1:156877707:156877843-156877920:156878132		2.2378	0.3455	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LDLRAD3|143458	+	SE	chr11:36120011-36248635:36248980-36250710		2.2344	-0.3274	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	NPRL3|8131	-	A5	chr16:134594-135820:134594-136667		2.2282	0.2389	31.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	SPATA6|54558	-	SE	chr1:48878823-48917224:48917272-48918666		2.225	-0.2408	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ZNF280D|54816	-	SE	chr15:56996465-56999280:56999341-56999461		2.2238	0.2626	68.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.2171	0.2986	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ALG2|85365	-	SE	chr9:101981118-101983261:101983419-101983829		2.2157	0.1321	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	HIATL1|84641	+	SE	chr9:97216352-97218522:97218619-97220604		2.2043	-0.2931	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.2036	-0.135	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		2.1933	-0.4304	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PPOX|5498	+	A3	chr1:161137024-161137129:161137024-161137145		2.1912	-0.1799	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LAT2|7462	+	SE	chr7:73624418-73629152:73629340-73630277		2.1875	-0.2866	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LRRC23|10233	+	SE	chr12:7014923-7015009:7015118-7015573		2.1861	-0.1279	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	LDB2|9079	-	A5	chr4:16504496-16510158:16504496-16510164		2.1835	0.3077	43.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	PPP3CB|5532	-	SE	chr10:75239275-75239608:75239726-75255563		2.1819	0.2696	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	RAVER1|125950	-	RI	chr19:10426891:10428276-10428366:10428449		2.1673	0.3134	25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	POFUT2|23275	-	SE	chr21:46685550-46685937:46686142-46687505		2.1602	-0.2187	50
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	OGFOD2|79676	+	SE	chr12:123461517-123462528:123462746-123462907		2.1585	0.0755	12.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	C3|718	-	A5	chr19:6685157-6686131:6685157-6686135		2.1569	0.3744	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		2.1565	-0.3476	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291		2.1493	-0.332	56.25
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	ZCCHC6|79670	-	SE	chr9:88940429-88941286:88941406-88943255		2.1447	0.1746	18.75
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	EXOC7|23265	-	SE	chr17:74085401-74086410:74086562-74087224		2.1387	-0.1198	37.5
NUCLEOTIDE_EXCISION_REPAIR_PATHWAY	LUSC	DAPK1|1612	+	SE	chr9:90254398-90254565:90254613-90254704		2.137	-0.1248	31.25
