# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MYOGENESIS_PATHWAY	LUAD	ADAMTS10|81794	-	A3	chr19:8654469-8654773:8654458-8654773		4.0788	0.3962	62.5
MYOGENESIS_PATHWAY	LUAD	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.7275	0.4776	81.25
MYOGENESIS_PATHWAY	LUAD	HEATR7A|727957	+	RI	chr8:145316017:145316119-145316187:145316252		3.6663	-0.4651	50
MYOGENESIS_PATHWAY	LUAD	HEATR7A|727957	+	SE	chr8:145302339-145302470:145302582-145303780		3.6433	0.4764	43.75
MYOGENESIS_PATHWAY	LUAD	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		3.5415	-0.4357	56.25
MYOGENESIS_PATHWAY	LUAD	DOCK6|57572	-	A3	chr19:11313391-11314757:11313385-11314757		3.4994	-0.5381	56.25
MYOGENESIS_PATHWAY	LUAD	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		3.4648	0.3621	50
MYOGENESIS_PATHWAY	LUAD	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994		3.37	0.3914	75
MYOGENESIS_PATHWAY	LUAD	FAT4|79633	+	SE	chr4:126373965-126384718:126384822-126389667		3.3386	0.4686	43.75
MYOGENESIS_PATHWAY	LUAD	SYTL2|54843	-	SE	chr11:85420543-85422156:85422275-85425456		3.3201	-0.2343	75
MYOGENESIS_PATHWAY	LUAD	NUP205|23165	+	A3	chr7:135315218-135320312:135315218-135320329		3.2126	-0.5003	68.75
MYOGENESIS_PATHWAY	LUAD	ANO1|55107	+	RI	chr11:70033844:70035001-70035002:70035649		3.1816	-0.4725	81.25
MYOGENESIS_PATHWAY	LUAD	HEATR7A|727957	+	A3	chr8:145296420-145297114:145296420-145297272		3.1612	-0.4764	50
MYOGENESIS_PATHWAY	LUAD	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		3.1329	-0.517	50
MYOGENESIS_PATHWAY	LUAD	PDE3B|5140	+	A5	chr11:14808231-14810652:14808078-14810652		3.1087	0.2758	37.5
MYOGENESIS_PATHWAY	LUAD	KIF13A|63971	-	SE	chr6:17788106-17790103:17790141-17794480		3.103	-0.4434	56.25
MYOGENESIS_PATHWAY	LUAD	INF2|64423	+	SE	chr14:105181677-105183900:105183983-105185132		3.0935	-0.4544	50
MYOGENESIS_PATHWAY	LUAD	RGS3|5998	+	A3	chr9:116241821-116245233:116241821-116245339		3.0825	-0.2951	31.25
MYOGENESIS_PATHWAY	LUAD	SETD5|55209	+	A3	chr3:9486984-9487304:9486984-9487341		3.0541	-0.4978	62.5
MYOGENESIS_PATHWAY	LUAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.9747	-0.482	87.5
MYOGENESIS_PATHWAY	LUAD	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		2.9744	-0.5107	62.5
MYOGENESIS_PATHWAY	LUAD	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.9584	-0.4885	43.75
MYOGENESIS_PATHWAY	LUAD	WDR81|124997	+	SE	chr17:1634239-1634362:1634552-1635619		2.9419	0.4517	43.75
MYOGENESIS_PATHWAY	LUAD	TCF4|6925	-	A5	chr18:52895261-52895448:52895261-52895452		2.9364	-0.3718	62.5
MYOGENESIS_PATHWAY	LUAD	ROBO1|6091	-	SE	chr3:78695340-78696779:78696805-78700882		2.8901	-0.4735	75
MYOGENESIS_PATHWAY	LUAD	PLEKHA4|57664	-	SE	chr19:49341386-49342462:49342520-49344406		2.865	0.4624	75
MYOGENESIS_PATHWAY	LUAD	SORBS2|8470	-	SE	chr4:186570810-186572938:186572982-186573816		2.8541	0.0131	50
MYOGENESIS_PATHWAY	LUAD	SBNO2|22904	-	A5	chr19:1108703-1108778:1108703-1108782		2.8305	0.4954	75
MYOGENESIS_PATHWAY	LUAD	ASPM|259266	-	SE	chr1:197065294-197069561:197074315-197086919		2.8054	0.4847	56.25
MYOGENESIS_PATHWAY	LUAD	ORC1L|4998	-	A5	chr1:52851621-52854114:52851621-52854129		2.7807	-0.0448	6.25
MYOGENESIS_PATHWAY	LUAD	HP1BP3|50809	-	A3	chr1:21076468-21083659:21076375-21083659		2.7733	-0.4497	68.75
