# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEASOME_DEGRADATION	KIRC	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		5.5773	0.6237	75
PROTEASOME_DEGRADATION	KIRC	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		5.3261	-0.6482	81.25
PROTEASOME_DEGRADATION	KIRC	LUC7L3|51747	+	RI	chr17:48827862:48828055-48829561:48830070		4.7025	-0.3939	87.5
PROTEASOME_DEGRADATION	KIRC	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		4.6216	-0.513	68.75
PROTEASOME_DEGRADATION	KIRC	TRPC4AP|26133	-	SE	chr20:33603942-33608993:33609159-33622926		4.5703	-0.5971	87.5
PROTEASOME_DEGRADATION	KIRC	FLNB|2317	+	SE	chr3:58124256-58127585:58127623-58128377		4.5334	-0.4569	56.25
PROTEASOME_DEGRADATION	KIRC	UBXN11|91544	-	RI	chr1:26610853:26610973-26611955:26612032		4.392	-0.4082	12.5
PROTEASOME_DEGRADATION	KIRC	MED15|51586	+	A3	chr22:20929519-20936898:20929519-20936946		4.324	-0.6127	68.75
PROTEASOME_DEGRADATION	KIRC	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		4.3036	-0.6246	56.25
PROTEASOME_DEGRADATION	KIRC	DOCK8|81704	+	RI	chr9:368018:368300-370230:370300		4.2586	-0.582	56.25
