# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	STAD	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891		4.0977	-0.5034	87.5
AR_PATHWAY	STAD	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644		4.061	-0.4384	31.25
AR_PATHWAY	STAD	BAT1|7919	-	A3	chr6:31498726-31498830:31498703-31498830		3.6128	0.4524	50
AR_PATHWAY	STAD	CDK5RAP3|80279	+	A5	chr17:46051401-46051766:46051397-46051766		3.4854	-0.412	50
AR_PATHWAY	STAD	RBM47|54502	-	SE	chr4:40434879-40438458:40438664-40439788		3.3927	0.401	37.5
AR_PATHWAY	STAD	GBA2|57704	-	RI	chr9:35736864:35737444-35737745:35737936		3.338	-0.4792	37.5
AR_PATHWAY	STAD	C12orf47|51275	-	A5	chr12:112278281-112279131:112278281-112279488		3.2389	0.4114	6.25
AR_PATHWAY	STAD	RNF13|11342	+	A5	chr3:149613357-149619859:149613347-149619859		3.1308	-0.4199	56.25
AR_PATHWAY	STAD	SNX1|6642	+	A3	chr15:64429131-64429767:64429131-64430241		3.1073	-0.4833	81.25
AR_PATHWAY	STAD	HSH2D|84941	+	RI	chr19:16263362:16263451-16263853:16264018		3.0924	-0.3669	62.5
AR_PATHWAY	STAD	RANBP9|10048	-	SE	chr6:13644961-13652891:13652913-13657341		3.0916	0.3807	31.25
AR_PATHWAY	STAD	NHLRC3|387921	+	A5	chr13:39612860-39613273:39612602-39613273		3.0893	0.4142	56.25
AR_PATHWAY	STAD	TSNARE1|203062	-	A3	chr8:143396453-143399905:143396450-143399905		3.0534	0.3268	25
AR_PATHWAY	STAD	FARP2|9855	+	A3	chr2:242403395-242404875:242403395-242405089		2.994	-0.4389	75
AR_PATHWAY	STAD	HKDC1|80201	+	SE	chr10:71021050-71021814:71021944-71025341		2.9587	-0.3883	68.75
AR_PATHWAY	STAD	C6orf192|116843	-	A3	chr6:133092098-133092175:133092078-133092175		2.9347	-0.4034	68.75
AR_PATHWAY	STAD	NARS2|79731	-	A5	chr11:78282489-78285393:78282489-78285874		2.9233	0.3353	37.5
AR_PATHWAY	STAD	TCF7L2|6934	+	MX	chr10:114917828-114918426:114918476-114925314:114917828-114920378:114920450-114925314		2.9055	-0.3316	25
AR_PATHWAY	STAD	HPS4|89781	-	RI	chr22:26861421:26861517-26862192:26862228		2.8796	-0.4343	43.75
AR_PATHWAY	STAD	HPS4|89781	-	SE	chr22:26866779-26867179:26867354-26868268		2.8684	-0.4414	50
AR_PATHWAY	STAD	PXN|5829	-	A3	chr12:120653220-120653363:120653076-120653363		2.8613	-0.3818	62.5
AR_PATHWAY	STAD	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		2.8162	-0.4322	43.75
AR_PATHWAY	STAD	PITPNM1|9600	-	RI	chr11:67263649:67263816-67264702:67264907		2.8134	-0.4388	68.75
AR_PATHWAY	STAD	HDAC6|10013	+	RI	chrX:48673369:48673458-48673791:48673897	Observed	2.761	-0.4454	62.5
AR_PATHWAY	STAD	HPS4|89781	-	A5	chr22:26878206-26879640:26878206-26879711		2.7476	0.3725	25
AR_PATHWAY	STAD	TMEM184A|202915	-	RI	chr7:1588155:1588324-1589490:1589581		2.7394	-0.3405	50
AR_PATHWAY	STAD	TMEM184A|202915	-	A3	chr7:1590031-1590453:1590015-1590453		2.7165	0.3405	50
AR_PATHWAY	STAD	CDK5RAP3|80279	+	RI	chr17:46051766:46051814-46052525:46052703		2.67	-0.3572	68.75
