# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
HISTONE_MODIFICATIONS	PRAD	SYNE2|23224	+	SE	chr14:64681188-64682004:64682072-64682966		4.9608	-0.4983	25
HISTONE_MODIFICATIONS	PRAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.8562	0.5325	50
HISTONE_MODIFICATIONS	PRAD	TPM1|7168	+	A5	chr15:63356389-63358095:63356341-63358095		4.7361	0.4782	50
HISTONE_MODIFICATIONS	PRAD	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		4.4605	0.5407	50
HISTONE_MODIFICATIONS	PRAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.3254	-0.5037	87.5
HISTONE_MODIFICATIONS	PRAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		4.1683	0.5358	56.25
HISTONE_MODIFICATIONS	PRAD	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.8371	0.3844	43.75
HISTONE_MODIFICATIONS	PRAD	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067		3.6018	0.459	50
HISTONE_MODIFICATIONS	PRAD	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		3.5318	-0.5051	43.75
HISTONE_MODIFICATIONS	PRAD	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		3.4366	-0.4402	18.75
HISTONE_MODIFICATIONS	PRAD	EVI5L|115704	+	A3	chr19:7920954-7921865:7920954-7921978		3.2914	0.4519	56.25
HISTONE_MODIFICATIONS	PRAD	BICD2|23299	-	RI	chr9:95473645:95475743-95477535:95477745		3.2343	0.5219	25
HISTONE_MODIFICATIONS	PRAD	RAB11FIP3|9727	+	SE	chr16:539000-541134:541268-546824		3.1408	-0.4302	31.25
HISTONE_MODIFICATIONS	PRAD	ATG16L1|55054	+	SE	chr2:234181698-234182367:234182423-234183322		3.1355	-0.4581	50
HISTONE_MODIFICATIONS	PRAD	SHF|90525	-	SE	chr15:45464516-45465774:45465914-45467417		3.0845	0.4627	43.75
HISTONE_MODIFICATIONS	PRAD	ADARB1|104	+	RI	chr21:46641933:46642022-46645462:46646478		3.0581	0.4548	43.75
HISTONE_MODIFICATIONS	PRAD	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.9521	-0.469	43.75
HISTONE_MODIFICATIONS	PRAD	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		2.9432	-0.5105	25
HISTONE_MODIFICATIONS	PRAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		2.9304	0.4257	81.25
HISTONE_MODIFICATIONS	PRAD	CREB3L4|148327	+	A3	chr1:153941175-153941406:153941175-153941810		2.8945	0.408	37.5
HISTONE_MODIFICATIONS	PRAD	ESRP2|80004	-	A5	chr16:68264930-68265081:68264930-68265199		2.8201	0.4137	43.75
HISTONE_MODIFICATIONS	PRAD	TTYH1|57348	+	A5	chr19:54930716-54932451:54930480-54932451		2.7796	0.4828	37.5
HISTONE_MODIFICATIONS	PRAD	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		2.7655	0.2211	62.5
HISTONE_MODIFICATIONS	PRAD	RASGRP2|10235	-	A3	chr11:64494835-64496335:64494832-64496335		2.7495	0.2595	43.75
HISTONE_MODIFICATIONS	PRAD	SLMAP|7871	+	SE	chr3:57908750-57911572:57911661-57913023		2.726	-0.3564	62.5
HISTONE_MODIFICATIONS	PRAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		2.7108	0.2984	68.75
HISTONE_MODIFICATIONS	PRAD	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		2.6547	0.1203	37.5
HISTONE_MODIFICATIONS	PRAD	PALM|5064	+	SE	chr19:736078-740352:740483-746285		2.6157	-0.3633	43.75
HISTONE_MODIFICATIONS	PRAD	INF2|64423	+	SE	chr14:105181193-105181621:105181677-105185132		2.6032	0.3319	31.25
HISTONE_MODIFICATIONS	PRAD	EPB41L1|2036	+	SE	chr20:34700402-34713345:34713449-34763473		2.5828	0.428	25
HISTONE_MODIFICATIONS	PRAD	ESRP2|80004	-	SE	chr16:68266191-68266274:68266406-68266480		2.574	0.4137	25
HISTONE_MODIFICATIONS	PRAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		2.5632	0.4954	56.25
HISTONE_MODIFICATIONS	PRAD	TTYH1|57348	+	A3	chr19:54932562-54933364:54932562-54933373		2.5604	-0.4828	37.5
HISTONE_MODIFICATIONS	PRAD	ATP6V0B|533	+	A5	chr1:44441520-44441762:44440779-44441762		2.4325	0.4026	18.75
HISTONE_MODIFICATIONS	PRAD	JMJD7-PLA2G4B|8681	+	SE	chr15:42134474-42134752:42134789-42135874		2.4227	-0.2881	31.25
HISTONE_MODIFICATIONS	PRAD	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		2.4174	0.3956	75
HISTONE_MODIFICATIONS	PRAD	ACPP|55	+	SE	chr3:132051188-132056300:132056398-132061396		2.4094	0.3791	25
HISTONE_MODIFICATIONS	PRAD	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		2.3756	-0.408	25
HISTONE_MODIFICATIONS	PRAD	WDR90|197335	+	RI	chr16:705773:705889-706302:706537		2.3727	0.3181	31.25
HISTONE_MODIFICATIONS	PRAD	TOM1L2|146691	-	SE	chr17:17783057-17796975:17797124-17801910		2.3545	0.3266	37.5
HISTONE_MODIFICATIONS	PRAD	LMAN1L|79748	+	RI	chr15:75111493:75111613-75112385:75112440		2.3487	0.4054	6.25
HISTONE_MODIFICATIONS	PRAD	CFL2|1073	-	A5	chr14:35182767-35183641:35182767-35183744		2.3132	-0.3556	37.5
HISTONE_MODIFICATIONS	PRAD	HEXDC|284004	+	A5	chr17:80398210-80398873:80397589-80398873		2.3131	0.0898	25
HISTONE_MODIFICATIONS	PRAD	ELOVL5|60481	-	SE	chr6:53135525-53138018:53138142-53139888		2.2127	0.3495	31.25
HISTONE_MODIFICATIONS	PRAD	ATP9B|374868	+	SE	chr18:76914555-76933702:76933733-76936813		2.2098	0.2311	12.5
HISTONE_MODIFICATIONS	PRAD	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		2.2059	-0.2773	43.75
HISTONE_MODIFICATIONS	PRAD	SORBS2|8470	-	A3	chr4:186606000-186611716:186605996-186611716		2.1952	-0.4623	25
HISTONE_MODIFICATIONS	PRAD	GPR98|84059	+	A5	chr5:89986858-89988422:89986775-89988422		2.183	0.2526	6.25
HISTONE_MODIFICATIONS	PRAD	CYP46A1|10858	+	SE	chr14:100158198-100161769:100161811-100165803		2.1393	0.3456	62.5
