# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEASOME_DEGRADATION	CESC	PRPF39|55015	+	RI	chr14:45565306:45565431-45566090:45566208		4.3158	-0.6162	75
PROTEASOME_DEGRADATION	CESC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	4.1492	-0.6826	100
PROTEASOME_DEGRADATION	CESC	AP4B1|10717	-	SE	chr1:114443022-114445260:114445484-114447227		3.9348	-0.6736	81.25
PROTEASOME_DEGRADATION	CESC	MIER1|57708	+	RI	chr1:67450255:67450275-67452086:67454302		3.7281	-0.6203	56.25
PROTEASOME_DEGRADATION	CESC	MBNL1|4154	+	MX	chr3:152165562-152173331:152173366-152177060:152165562-152174056:152174150-152177060		3.6969	0.5966	81.25
PROTEASOME_DEGRADATION	CESC	HERC6|55008	+	A3	chr4:89317294-89319260:89317294-89319294		3.536	-0.5273	75
PROTEASOME_DEGRADATION	CESC	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442173:76442244		3.4931	-0.5663	50
PROTEASOME_DEGRADATION	CESC	DAAM1|23002	+	SE	chr14:59826222-59827520:59827580-59830369		3.3857	-0.6204	62.5
PROTEASOME_DEGRADATION	CESC	ATP13A2|23400	-	SE	chr1:17312853-17312958:17313127-17313300		3.3351	-0.5931	56.25
PROTEASOME_DEGRADATION	CESC	RIN2|54453	+	SE	chr20:19941455-19945596:19945668-19951482		3.3087	-0.5231	56.25
PROTEASOME_DEGRADATION	CESC	CMPK1|51727	+	SE	chr1:47799788-47834141:47834287-47838627		3.2488	-0.5184	31.25
PROTEASOME_DEGRADATION	CESC	CD160|11126	-	SE	chr1:145699090-145704017:145704343-145706686		3.2175	0.5382	81.25
PROTEASOME_DEGRADATION	CESC	C12orf11|55726	-	SE	chr12:27067061-27067341:27067511-27068935		3.215	-0.627	43.75
PROTEASOME_DEGRADATION	CESC	INMT|11185	+	A3	chr7:30791920-30793347:30791920-30793350		3.1468	-0.1944	43.75
PROTEASOME_DEGRADATION	CESC	CUL4A|8451	+	A5	chr13:113873362-113882282:113873353-113882282		3.0644	-0.5427	56.25
PROTEASOME_DEGRADATION	CESC	ECM2|1842	-	A3	chr9:95264934-95267815:95264872-95267815		3.0444	-0.5736	62.5
PROTEASOME_DEGRADATION	CESC	CCDC14|64770	-	A5	chr3:123667979-123674690:123667979-123674893		3.0183	-0.4639	62.5
PROTEASOME_DEGRADATION	CESC	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		3.0122	0.6774	75
PROTEASOME_DEGRADATION	CESC	C2orf67|151050	-	SE	chr2:210894642-210896145:210896270-210905144		2.9037	-0.5145	100
PROTEASOME_DEGRADATION	CESC	FNIP1|96459	-	SE	chr5:131044965-131046271:131046354-131052258		2.8677	-0.558	56.25
PROTEASOME_DEGRADATION	CESC	ENPP2|5168	-	A5	chr8:120592407-120594658:120592407-120594670		2.8661	-0.6144	93.75
PROTEASOME_DEGRADATION	CESC	CHD3|1107	+	A3	chr17:7807309-7807447:7807309-7807760		2.7971	0.6373	75
PROTEASOME_DEGRADATION	CESC	KNTC1|9735	+	SE	chr12:123028181-123028706:123028816-123030723		2.7805	-0.6141	43.75
PROTEASOME_DEGRADATION	CESC	CHD3|1107	+	A3	chr17:7811020-7811209:7811020-7811212		2.7401	0.6474	75
PROTEASOME_DEGRADATION	CESC	TNFAIP2|7127	+	SE	chr14:103593966-103596077:103596191-103596339		2.7288	-0.5556	50
PROTEASOME_DEGRADATION	CESC	STEAP2|261729	+	A3	chr7:89859350-89861651:89859350-89866205		2.7105	-0.4671	62.5
PROTEASOME_DEGRADATION	CESC	PRC1|9055	-	SE	chr15:91525211-91527248:91527370-91527923		2.7073	-0.5226	50
PROTEASOME_DEGRADATION	CESC	BAT3|7917	-	A5	chr6:31619553-31620177:31619553-31620201		2.6514	-0.5947	37.5
PROTEASOME_DEGRADATION	CESC	WDR44|54521	+	SE	chrX:117578457-117581023:117581077-117582856		2.6431	0.5967	37.5
PROTEASOME_DEGRADATION	CESC	CASP8|841	+	A5	chr2:202123105-202131184:202122877-202131184		2.6314	0.4151	50
PROTEASOME_DEGRADATION	CESC	FANCI|55215	+	A3	chr15:89848929-89849238:89848929-89849241		2.5952	-0.5948	56.25
PROTEASOME_DEGRADATION	CESC	C18orf1|753	+	A5	chr18:13612773-13621116:13612063-13621116		2.5698	0.2897	43.75
PROTEASOME_DEGRADATION	CESC	ENPP2|5168	-	SE	chr8:120583081-120584416:120584490-120592356		2.5583	0.4888	68.75
PROTEASOME_DEGRADATION	CESC	BCOR|54880	-	A5	chrX:39911653-39913091:39911653-39913139		2.5484	0.6121	68.75
PROTEASOME_DEGRADATION	CESC	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		2.5309	-0.6104	56.25
PROTEASOME_DEGRADATION	CESC	ITGA6|3655	+	SE	chr2:173362828-173366500:173366629-173368819		2.4659	0.4711	62.5
PROTEASOME_DEGRADATION	CESC	ZMAT1|84460	-	SE	chrX:101159303-101173486:101173606-101186690		2.4504	0.4714	68.75
PROTEASOME_DEGRADATION	CESC	SMARCD1|6602	+	SE	chr12:50480661-50481146:50481268-50482304		2.4415	-0.5763	56.25
PROTEASOME_DEGRADATION	CESC	TNRC6B|23112	+	SE	chr22:40663040-40666126:40666284-40669429		2.4409	0.3956	68.75
PROTEASOME_DEGRADATION	CESC	PPP3CC|5533	+	SE	chr8:22390531-22396982:22397011-22398128		2.4101	0.5122	62.5
PROTEASOME_DEGRADATION	CESC	DCAF7|10238	+	RI	chr17:61660863:61660889-61660891:61661073		2.409	0.5916	75
PROTEASOME_DEGRADATION	CESC	FAM71D|161142	+	A3	chr14:67665037-67665689:67665037-67665692		2.4072	0.5634	56.25
PROTEASOME_DEGRADATION	CESC	SORBS2|8470	-	MX	chr4:186556565-186559233:186559316-186567822:186556565-186560031:186560189-186567822		2.3957	0.3699	37.5
PROTEASOME_DEGRADATION	CESC	TTLL3|26140	+	SE	chr3:9855029-9857758:9857886-9859329		2.3839	-0.5215	18.75
PROTEASOME_DEGRADATION	CESC	NPNT|255743	+	A3	chr4:106888601-106890052:106888601-106891542		2.3837	-0.6015	50
PROTEASOME_DEGRADATION	CESC	UROD|7389	+	A5	chr1:45479026-45479266:45478887-45479266		2.383	0.4455	62.5
PROTEASOME_DEGRADATION	CESC	SETMAR|6419	+	RI	chr3:4354582:4354913-4355351:4355445		2.3778	-0.0047	25
PROTEASOME_DEGRADATION	CESC	RBBP8|5932	+	A3	chr18:20577697-20581534:20577697-20581549		2.3697	0.608	50
PROTEASOME_DEGRADATION	CESC	ADCY3|109	-	SE	chr2:25061491-25061716:25061781-25062742		2.3567	0.5857	75
PROTEASOME_DEGRADATION	CESC	ZNF610|162963	+	A5	chr19:52851197-52852407:52851084-52852407		2.3517	0.2083	43.75
PROTEASOME_DEGRADATION	CESC	TBC1D7|51256	-	SE	chr6:13321327-13325326:13325406-13327019		2.3485	-0.3061	12.5
PROTEASOME_DEGRADATION	CESC	TCIRG1|10312	+	SE	chr11:67817721-67817954:67818131-67818208		2.3468	-0.3587	18.75
PROTEASOME_DEGRADATION	CESC	BICD2|23299	-	RI	chr9:95473645:95475743-95477535:95477745		2.3455	-0.6434	25
PROTEASOME_DEGRADATION	CESC	ZNF271|10778	+	SE	chr18:32870355-32870974:32871196-32885940		2.345	0.1532	37.5
PROTEASOME_DEGRADATION	CESC	FES|2242	+	SE	chr15:91428488-91428642:91428815-91430191		2.3346	-0.4309	62.5
PROTEASOME_DEGRADATION	CESC	MEN1|4221	-	A5	chr11:64575152-64575363:64575152-64575468		2.3306	-0.4816	37.5
PROTEASOME_DEGRADATION	CESC	PRC1|9055	-	MX	chr15:91525211-91527248:91527370-91537637:91525211-91527923:91528055-91537637		2.3178	-0.56	43.75
PROTEASOME_DEGRADATION	CESC	ANAPC5|51433	-	SE	chr12:121768475-121769150:121769231-121773336		2.3111	-0.6256	62.5
PROTEASOME_DEGRADATION	CESC	KIF14|9928	-	SE	chr1:200578056-200583446:200583533-200584483		2.3093	-0.5446	50
PROTEASOME_DEGRADATION	CESC	ALDH1A1|216	-	A5	chr9:75516196-75520874:75516196-75520930		2.306	-0.5103	43.75
PROTEASOME_DEGRADATION	CESC	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		2.3023	-0.408	50
