# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	SKCM	ANK2|287	+	SE	chr4:114251626-114253128:114253226-114254210		3.533	0.4697	37.5
PROTEIN_SECRETION	SKCM	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.3667	0.1872	75
PROTEIN_SECRETION	SKCM	NF2|4771	+	A3	chr22:30077590-30078968:30077590-30079009		3.27	-0.5937	68.75
PROTEIN_SECRETION	SKCM	ATRX|546	-	SE	chrX:76944420-76949313:76949426-76952065		3.2099	0.5219	56.25
PROTEIN_SECRETION	SKCM	CAPN3|825	+	SE	chr15:42695975-42698124:42698141-42700409		3.1802	0.0462	50
PROTEIN_SECRETION	SKCM	RNMT|8731	+	SE	chr18:13726728-13730626:13730754-13731475		2.959	0.6241	75
PROTEIN_SECRETION	SKCM	PBRM1|55193	-	SE	chr3:52623268-52637537:52637748-52643329		2.8163	0.4606	18.75
PROTEIN_SECRETION	SKCM	MFSD8|256471	-	SE	chr4:128878747-128886227:128886363-128887052		2.7798	0.3556	43.75
PROTEIN_SECRETION	SKCM	CC2D2A|57545	+	A3	chr4:15591302-15597708:15591302-15597767		2.7739	-0.3001	50
PROTEIN_SECRETION	SKCM	BPTF|2186	+	SE	chr17:65955991-65959449:65959622-65960328		2.7392	-0.5382	68.75
PROTEIN_SECRETION	SKCM	BRWD3|254065	-	A5	chrX:79938127-79939509:79938127-79939589		2.7213	0.4844	50
PROTEIN_SECRETION	SKCM	WRN|7486	+	SE	chr8:30946481-30947981:30948048-30948350		2.6729	0.5633	62.5
PROTEIN_SECRETION	SKCM	HEATR1|55127	-	SE	chr1:236737633-236737961:236738203-236739519		2.5917	0.5593	81.25
PROTEIN_SECRETION	SKCM	MXI1|4601	+	A5	chr10:111986108-111987947:111986041-111987947		2.5752	-0.019	43.75
PROTEIN_SECRETION	SKCM	CHD1|1105	-	RI	chr5:98207755:98207905-98208121:98208259		2.5698	-0.5604	75
PROTEIN_SECRETION	SKCM	HAUS6|54801	-	A3	chr9:19078300-19080477:19078195-19080477		2.5433	0.5151	62.5
PROTEIN_SECRETION	SKCM	SOS1|6654	-	SE	chr2:39214732-39216411:39216455-39222264		2.4837	0.5597	75
PROTEIN_SECRETION	SKCM	GOLGA1|2800	-	A3	chr9:127651815-127652668:127651811-127652668		2.4056	0.5466	50
PROTEIN_SECRETION	SKCM	SSX2IP|117178	-	A5	chr1:85136498-85136860:85136498-85136872		2.3869	-0.4724	50
PROTEIN_SECRETION	SKCM	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629		2.3862	-0.5582	43.75
PROTEIN_SECRETION	SKCM	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004		2.3816	0.2795	37.5
PROTEIN_SECRETION	SKCM	VPS54|51542	-	SE	chr2:64140444-64140959:64141059-64141316		2.3231	-0.5545	62.5
PROTEIN_SECRETION	SKCM	SOS2|6655	-	A3	chr14:50596720-50597219:50596716-50597219		2.3017	0.5515	50
PROTEIN_SECRETION	SKCM	OSBPL8|114882	-	A3	chr12:76844768-76881290:76844759-76881290		2.2966	0.4679	37.5
PROTEIN_SECRETION	SKCM	NUDT1|4521	+	A5	chr7:2282683-2284198:2282610-2284198		2.2839	0.0563	25
PROTEIN_SECRETION	SKCM	CUL4B|8450	-	A5	chrX:119670889-119671973:119670889-119671979		2.2727	-0.5291	75
PROTEIN_SECRETION	SKCM	TMEM53|79639	-	A3	chr1:45120881-45125846:45120788-45125846		2.2548	0.4896	75
PROTEIN_SECRETION	SKCM	NDRG4|65009	+	A3	chr16:58534173-58537610:58534173-58537648		2.2237	-0.1941	12.5
PROTEIN_SECRETION	SKCM	C3orf67|200844	-	A5	chr3:58855216-58855888:58855216-58855899		2.217	-0.062	25
PROTEIN_SECRETION	SKCM	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994		2.1976	0.3785	43.75
PROTEIN_SECRETION	SKCM	SLTM|79811	-	A5	chr15:59185563-59186020:59185563-59186101		2.1925	0.5505	56.25
PROTEIN_SECRETION	SKCM	SHOC2|8036	+	SE	chr10:112679415-112723883:112724819-112745386		2.1903	0.5435	68.75
PROTEIN_SECRETION	SKCM	ACADSB|36	+	A5	chr10:124768587-124793872:124768583-124793872		2.1819	0.3744	56.25
PROTEIN_SECRETION	SKCM	ANKRD26|22852	-	SE	chr10:27349469-27350073:27350171-27352917		2.1784	0.4707	50
PROTEIN_SECRETION	SKCM	TMEM135|65084	+	SE	chr11:86782657-86802404:86802437-86868383		2.1762	0.4171	25
PROTEIN_SECRETION	SKCM	MGAT4A|11320	-	A3	chr2:99242055-99242186:99237968-99242186		2.1478	0.4998	56.25
PROTEIN_SECRETION	SKCM	IBTK|25998	-	A3	chr6:82904359-82906015:82904312-82906015		2.1424	0.5575	68.75
PROTEIN_SECRETION	SKCM	PHF6|84295	+	SE	chrX:133511785-133512035:133512136-133527531		2.1351	0.4248	31.25
PROTEIN_SECRETION	SKCM	PHF3|23469	+	SE	chr6:64390062-64394030:64395812-64401627		2.1242	0.5386	56.25
