# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		9.3441	-0.6781	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		8.8473	-0.6562	100
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		6.8689	0.549	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FHOD3|80206	+	SE	chr18:34335274-34340571:34340745-34349228		5.6601	0.4859	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PPAPDC1A|196051	+	A3	chr10:122278408-122280483:122278408-122280518		5.5679	0.4437	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		4.9542	-0.4148	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	GPR116|221395	-	SE	chr6:46821808-46822452:46822518-46823711		4.9004	0.3911	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		4.8466	-0.4621	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857	Observed	4.8181	0.4276	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		4.7382	-0.4969	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		4.727	-0.4119	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653	Observed	4.6954	-0.4675	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.6831	0.4507	100
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		4.6122	0.4146	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	RAI14|26064	+	SE	chr5:34812313-34813679:34813765-34814688		4.5064	-0.3969	100
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		4.477	0.4581	100
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		4.2657	0.4621	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PLAU|5328	+	A5	chr10:75670980-75671283:75670976-75671283		4.1524	-0.2824	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		4.1434	-0.377	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		4.0507	-0.4255	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FIP1L1|81608	+	SE	chr4:54257306-54257597:54257665-54265897		4.0462	-0.4289	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NFIX|4784	+	SE	chr19:13186485-13189427:13189549-13192494		3.9433	-0.3164	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	EPB41L1|2036	+	SE	chr20:34785963-34797410:34797820-34800194		3.9173	0.4488	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MFAP5|8076	-	SE	chr12:8803185-8804258:8804287-8807033		3.7956	0.3072	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		3.7901	-0.4114	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FIP1L1|81608	+	SE	chr4:54266006-54280782:54280889-54292039		3.7165	-0.4265	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	VLDLR|7436	+	SE	chr9:2650516-2651415:2651498-2651874		3.651	0.3939	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		3.6291	-0.3895	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.5564	0.3987	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SYTL2|54843	-	SE	chr11:85425550-85428526:85428573-85429833		3.5222	0.3367	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		3.4673	-0.3786	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		3.374	0.2988	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		3.3211	0.3484	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		3.301	-0.4612	100
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.2969	0.3269	93.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874	Observed	3.1831	-0.3532	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	BNC2|54796	-	SE	chr9:16419647-16435032:16435097-16435553		3.1598	-0.2411	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		3.143	-0.3879	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SMARCC2|6601	-	SE	chr12:56557549-56558087:56558152-56558432		3.0836	-0.3953	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	LIMCH1|22998	+	SE	chr4:41621457-41640949:41640984-41646517		3.0482	0.3025	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.9537	-0.4069	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MYADM|91663	+	A3	chr19:54371197-54372944:54371197-54373008		2.9217	-0.3537	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		2.9198	0.3671	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PBX1|5087	+	SE	chr1:164781386-164789309:164789421-164790774		2.8784	-0.3258	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.8619	-0.4177	100
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CECR1|51816	-	A3	chr22:17690613-17700246:17690488-17700246		2.8354	0.3324	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	RGL2|5863	-	RI	chr6:33263285:33263536-33263805:33264102		2.7872	-0.3549	75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	KIAA1217|56243	+	SE	chr10:24822166-24825703:24825822-24833910		2.7653	0.1702	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	THBS3|7059	-	SE	chr1:155173330-155174646:155174748-155174851		2.7387	0.4134	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	KIF13A|63971	-	SE	chr6:17788106-17790103:17790141-17794480		2.7271	-0.3423	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	EPB41L1|2036	+	SE	chr20:34700402-34713345:34713449-34763473		2.7256	-0.4032	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	EXOC7|23265	-	SE	chr17:74085401-74086410:74086478-74090495		2.7203	-0.3773	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SIGIRR|59307	-	A5	chr11:410027-417294:410027-417325		2.7142	0.1454	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FGFR2|2263	-	MX	chr10:123274833-123276833:123276977-123279493:123274833-123278196:123278343-123279493	Observed	2.7115	0.3604	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SGIP1|84251	+	SE	chr1:67145435-67147552:67148052-67154831		2.7094	0.1971	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		2.7072	-0.224	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.6982	0.1339	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	WASF3|10810	+	MX	chr13:27246126-27250686:27250861-27255191:27246126-27254172:27254338-27255191		2.6685	-0.3112	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		2.6288	0.4034	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759510:48759661-48760009		2.6108	-0.2572	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		2.5539	0.3599	62.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NFATC4|4776	+	RI	chr14:24845500:24846084-24846844:24848808		2.5482	-0.2591	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FLJ43663|378805	-	RI	chr7:130628921:130629648-130630479:130630594		2.5388	0.1284	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FKBP7|51661	-	SE	chr2:179334512-179337756:179337869-179341789		2.5154	-0.3767	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124555		2.5043	-0.3054	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		2.4986	-0.3574	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ARNT|405	-	SE	chr1:150812130-150814900:150814944-150818739		2.4868	0.3251	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	DIO2|1734	-	RI	chr14:80677594:80677868-80678177:80678525		2.4593	0.1928	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808	Observed	2.4412	0.3864	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	WNT2B|7482	+	SE	chr1:113010213-113033633:113033703-113057496		2.3911	-0.1157	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	SPOCD1|90853	-	A5	chr1:32259836-32262191:32259836-32262194		2.3582	-0.0872	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ABCG1|9619	+	A5	chr21:43708183-43708321:43708147-43708321		2.3391	-0.0063	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ZNF521|25925	-	SE	chr18:22902151-22930871:22930911-22931969		2.3274	0.2641	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PLXDC1|57125	-	A3	chr17:37235781-37239712:37235417-37239712		2.3148	-0.366	87.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	POFUT2|23275	-	RI	chr21:46683844:46685550-46687505:46687628		2.3023	-0.338	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	WISP1|8840	+	SE	chr8:134225386-134237633:134237826-134239654		2.2925	0.1711	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FAM113A|64773	-	A3	chr20:2819728-2819838:2819575-2819838		2.2555	-0.2306	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		2.2543	0.2352	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		2.2529	0.3074	68.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	TNK2|10188	-	SE	chr3:195593887-195594040:195594135-195594232		2.2494	-0.2205	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		2.2477	-0.1545	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	LPHN2|23266	+	SE	chr1:82451039-82452585:82452713-82456075		2.2455	-0.1434	43.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	NAA16|79612	+	SE	chr13:41936295-41936867:41937009-41941575		2.2394	-0.2132	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		2.233	-0.34	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.2316	0.3121	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FMO2|2327	+	SE	chr1:171165950-171168485:171168627-171173004		2.2249	-0.2069	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	CSMD2|114784	-	SE	chr1:34071070-34071463:34071588-34076641		2.2105	-0.1526	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	FGF1|2246	-	SE	chr5:141975049-141980267:141980370-141993524	Observed	2.2041	-0.2666	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	BMP1|649	+	A3	chr8:22034163-22034437:22034163-22034474		2.191	-0.3492	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	DNM2|1785	+	SE	chr19:10916643-10919245:10919256-10922940	Observed	2.178	-0.242	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PHLDB2|90102	+	SE	chr3:111639266-111651116:111651244-111658322		2.1728	0.2438	81.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	ADD2|119	-	SE	chr2:70933574-70940198:70940316-70995018		2.1501	0.1779	31.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	PATZ1|23598	-	SE	chr22:31723295-31724773:31724845-31731678		2.1476	-0.1239	37.5
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	TCF7L2|6934	+	SE	chr10:114918476-114919679:114919751-114920378		2.1469	0.0708	18.75
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	POU2F2|5452	-	A3	chr19:42600395-42603679:42600347-42603679		2.128	0.1314	50
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	KCP|375616	-	A3	chr7:128531150-128531239:128531141-128531239		2.1261	0.025	56.25
EPITHELIAL_MESENCHYMAL_TRANSITION	LUAD	KLHDC3|116138	+	MX	chr6:42985084-42985257:42985433-42985883:42985084-42985591:42985706-42985883		2.1255	-0.002	18.75
