# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	BRCA	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	2.3856	0.1951	68.75
MRNA_PROCESSING	BRCA	FGFR1|2260	-	A5	chr8:38285611-38285864:38285611-38285870	Observed	2.1368	0.058	56.25
MRNA_PROCESSING	BRCA	SON|6651	+	SE	chr21:34918685-34921782:34927697-34929462	Observed	1.6116	-0.317	62.5
MRNA_PROCESSING	BRCA	NUP62|23636	-	A3	chr19:50431105-50432583:50431072-50432583	Observed	1.4811	0.1122	56.25
MRNA_PROCESSING	BRCA	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891	Observed	1.3884	0.1114	56.25
MRNA_PROCESSING	BRCA	ADARB1|104	+	RI	chr21:46641933:46642195-46645462:46646478	Observed	1.3453	-0.1526	56.25
MRNA_PROCESSING	BRCA	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941	Observed	0.363	-0.1616	56.25
MRNA_PROCESSING	BRCA	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874	Observed	0.3079	0.1299	62.5
MRNA_PROCESSING	BRCA	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	0.1716	-0.2635	62.5
MRNA_PROCESSING	BRCA	OPA1|4976	+	SE	chr3:193336725-193343881:193343991-193349401	Observed	0.1538	-0.0639	62.5
MRNA_PROCESSING	BRCA	INSR|3643	-	SE	chr19:7143101-7150508:7150543-7152737	Observed	0.0795	-0.2196	62.5
MRNA_PROCESSING	BRCA	PQBP1|10084	+	A5	chrX:48755365-48755775:48755297-48755775	Observed	0.0366	-0.1588	56.25
MRNA_PROCESSING	BRCA	NR3C1|2908	-	SE	chr5:142693733-142779221:142780417-142783941	Observed	0.0263	-0.2707	68.75
MRNA_PROCESSING	BRCA	PRPF4|9128	+	A3	chr9:116038050-116038825:116038050-116038828	Observed	0.0149	-0.0311	56.25
MRNA_PROCESSING	BRCA	CTSB|1508	-	A5	chr8:11710988-11718870:11710988-11718915	Observed	9e-04	0.0515	68.75
