# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		8.3432	-0.742	25
CHROMOSOME_LOCALIZATION	LUAD	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		6.4308	0.555	37.5
CHROMOSOME_LOCALIZATION	LUAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		6.2543	-0.5419	62.5
CHROMOSOME_LOCALIZATION	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		6.2507	-0.5305	43.75
CHROMOSOME_LOCALIZATION	LUAD	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		6.0007	-0.463	56.25
CHROMOSOME_LOCALIZATION	LUAD	CIT|11113	-	SE	chr12:120204986-120208589:120208714-120210574		5.7494	0.5403	62.5
CHROMOSOME_LOCALIZATION	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		5.6446	-0.553	37.5
CHROMOSOME_LOCALIZATION	LUAD	MLF1IP|79682	-	SE	chr4:185618957-185621974:185622035-185623243		5.3672	-0.42	81.25
CHROMOSOME_LOCALIZATION	LUAD	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		4.7808	-0.4911	37.5
CHROMOSOME_LOCALIZATION	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		4.772	0.5001	50
CHROMOSOME_LOCALIZATION	LUAD	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		4.731	0.4897	37.5
CHROMOSOME_LOCALIZATION	LUAD	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		4.4223	0.3804	62.5
CHROMOSOME_LOCALIZATION	LUAD	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		4.2629	0.518	62.5
CHROMOSOME_LOCALIZATION	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		4.1655	-0.4792	50
CHROMOSOME_LOCALIZATION	LUAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		4.1344	-0.5339	62.5
CHROMOSOME_LOCALIZATION	LUAD	GPR116|221395	-	SE	chr6:46821808-46822452:46822518-46823711		4.1278	0.3895	43.75
CHROMOSOME_LOCALIZATION	LUAD	CCDC88A|55704	-	A3	chr2:55555571-55559702:55555568-55559702		4.1002	0.3956	50
CHROMOSOME_LOCALIZATION	LUAD	ASAP2|8853	+	SE	chr2:9528675-9531191:9531325-9533611		4.0466	-0.4213	25
CHROMOSOME_LOCALIZATION	LUAD	C1orf112|55732	+	SE	chr1:169768099-169770024:169770112-169771762		4.0274	0.474	31.25
CHROMOSOME_LOCALIZATION	LUAD	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		3.9909	0.4897	50
CHROMOSOME_LOCALIZATION	LUAD	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		3.9067	-0.4725	62.5
CHROMOSOME_LOCALIZATION	LUAD	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		3.8797	0.4512	37.5
CHROMOSOME_LOCALIZATION	LUAD	MELK|9833	+	SE	chr9:36573004-36581641:36581736-36589533		3.728	0.3012	62.5
CHROMOSOME_LOCALIZATION	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		3.6619	-0.4662	56.25
CHROMOSOME_LOCALIZATION	LUAD	DLGAP5|9787	-	SE	chr14:55615191-55615312:55615402-55617517		3.6399	0.2922	43.75
CHROMOSOME_LOCALIZATION	LUAD	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045		3.6253	0.4669	31.25
CHROMOSOME_LOCALIZATION	LUAD	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		3.5471	-0.3441	43.75
