# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_LOCALIZATION	LUAD	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941		4.2914	-0.6438	87.5
PROTEIN_LOCALIZATION	LUAD	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		3.6789	0.6049	68.75
PROTEIN_LOCALIZATION	LUAD	NUMA1|4926	-	A5	chr11:71780957-71791366:71780957-71791504		3.2338	0.6436	93.75
PROTEIN_LOCALIZATION	LUAD	LTBP3|4054	-	SE	chr11:65307352-65307484:65307624-65307716		3.2159	-0.4869	87.5
PROTEIN_LOCALIZATION	LUAD	TAOK2|9344	+	A3	chr16:29994222-29994372:29994222-29994393		3.0942	0.5929	87.5
PROTEIN_LOCALIZATION	LUAD	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		3.0064	0.5482	81.25
PROTEIN_LOCALIZATION	LUAD	TUBGCP6|85378	-	A3	chr22:50656831-50656917:50656799-50656917		2.9861	-0.5682	50
PROTEIN_LOCALIZATION	LUAD	EGFL8|80864	+	A5	chr6:32132458-32133915:32132434-32133915		2.9576	0.4681	87.5
PROTEIN_LOCALIZATION	LUAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		2.9546	-0.4731	68.75
PROTEIN_LOCALIZATION	LUAD	FAM38A|9780	-	SE	chr16:88783619-88783945:88784023-88785982		2.8833	0.5358	68.75
PROTEIN_LOCALIZATION	LUAD	MRPL35|51318	+	RI	chr2:86437603:86437736-86439549:86440476		2.8604	-0.5455	81.25
PROTEIN_LOCALIZATION	LUAD	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.8241	-0.5246	81.25
PROTEIN_LOCALIZATION	LUAD	HAX1|10456	+	RI	chr1:154245812:154246074-154246226:154246437		2.8137	-0.4274	75
PROTEIN_LOCALIZATION	LUAD	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		2.7752	0.5641	93.75
PROTEIN_LOCALIZATION	LUAD	IFT172|26160	-	A3	chr2:27670524-27670679:27670501-27670679		2.7403	0.5649	75
PROTEIN_LOCALIZATION	LUAD	NR1H3|10062	+	A3	chr11:47283000-47283098:47283000-47283470		2.7052	-0.4803	68.75
PROTEIN_LOCALIZATION	LUAD	TMEM184A|202915	-	A3	chr7:1590031-1590453:1590015-1590453		2.6842	0.3128	50
PROTEIN_LOCALIZATION	LUAD	ITGB5|3693	-	SE	chr3:124515664-124527869:124528003-124536468		2.682	-0.4721	62.5
PROTEIN_LOCALIZATION	LUAD	COL6A6|131873	+	SE	chr3:130363846-130367913:130368406-130377520		2.6756	-0.4392	37.5
PROTEIN_LOCALIZATION	LUAD	NLRC5|84166	+	A3	chr16:57089006-57089345:57089006-57089348		2.6387	-0.5516	75
PROTEIN_LOCALIZATION	LUAD	BIRC2|329	+	A3	chr11:102218107-102219329:102218107-102220732		2.6349	-0.4634	50
PROTEIN_LOCALIZATION	LUAD	HMGN1|3150	-	A3	chr21:40719218-40719305:40717884-40719305		2.6235	-0.4202	62.5
PROTEIN_LOCALIZATION	LUAD	TBCD|6904	+	SE	chr17:80888519-80890534:80890611-80895147		2.5394	-0.5049	62.5
PROTEIN_LOCALIZATION	LUAD	TMC5|79838	+	A5	chr16:19468338-19471557:19468067-19471557		2.5367	-0.4596	25
PROTEIN_LOCALIZATION	LUAD	ZFP62|643836	-	RI	chr5:180274611:180275082-180278381:180278493		2.5271	-0.5655	87.5
PROTEIN_LOCALIZATION	LUAD	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		2.4989	-0.3906	68.75
PROTEIN_LOCALIZATION	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.4752	-0.4871	62.5
