# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
AR_PATHWAY	LIHC	ZZZ3|26009	-	A3	chr1:78047576-78047664:78047573-78047664		2.835	-0.5878	25
AR_PATHWAY	LIHC	ZBTB48|3104	+	A5	chr1:6640196-6640601:6640130-6640601		2.727	0.1403	18.75
AR_PATHWAY	LIHC	C14orf167|55449	-	RI	chr14:24422983:24423242-24423334:24423392		2.4856	0.5138	62.5
AR_PATHWAY	LIHC	PCCA|5095	+	SE	chr13:101101559-101167681:101167821-101179929		2.4277	0.5808	43.75
AR_PATHWAY	LIHC	FAM149B1|317662	+	SE	chr10:74994698-74994951:74995076-74999070		2.4138	0.6037	62.5
AR_PATHWAY	LIHC	RGPD1|400966	+	A3	chr2:87203413-87203676:87203413-87203687		2.4116	-0.5321	56.25
AR_PATHWAY	LIHC	VNN3|55350	-	SE	chr6:133046118-133047861:133048151-133055392		2.3774	0.0042	6.25
AR_PATHWAY	LIHC	DMTF1|9988	+	SE	chr7:86792933-86794250:86794366-86795799		2.3211	0.5312	62.5
AR_PATHWAY	LIHC	SNRPA1|6627	-	SE	chr15:101826006-101826419:101826498-101827113		2.3049	0.3396	12.5
AR_PATHWAY	LIHC	P4HB|5034	-	A3	chr17:79804948-79805119:79804888-79805119		2.2999	0.5766	62.5
AR_PATHWAY	LIHC	PCSK5|5125	+	A3	chr9:78796507-78799589:78796507-78799591		2.2884	0.4738	75
AR_PATHWAY	LIHC	ZNF133|7692	+	SE	chr20:18287037-18290813:18290950-18295713		2.2548	0.1354	6.25
AR_PATHWAY	LIHC	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.2414	0.3614	62.5
AR_PATHWAY	LIHC	TMEM161B|153396	-	A3	chr5:87494967-87498779:87494886-87498779		2.2276	0.5383	56.25
AR_PATHWAY	LIHC	PCCA|5095	+	SE	chr13:100992513-101020726:101020828-101077887		2.208	0.5831	62.5
