# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
CHROMOSOME_LOCALIZATION	BRCA	TSC2|7249	+	SE	chr16:2126586-2127599:2127727-2129033		5.8487	0.5365	56.25
CHROMOSOME_LOCALIZATION	BRCA	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644		5.8212	-0.423	56.25
CHROMOSOME_LOCALIZATION	BRCA	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		5.7682	-0.4759	56.25
CHROMOSOME_LOCALIZATION	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.9175	0.42	56.25
CHROMOSOME_LOCALIZATION	BRCA	SKA1|220134	+	A5	chr18:47901609-47902190:47901564-47902190		4.8669	0.3036	62.5
CHROMOSOME_LOCALIZATION	BRCA	RAG1AP1|55974	+	MX	chr1:155108852-155109304:155109427-155110455:155108852-155110037:155110198-155110455		4.7563	0.5008	43.75
CHROMOSOME_LOCALIZATION	BRCA	USO1|8615	+	SE	chr4:76715054-76716489:76716509-76720775		4.671	0.4518	50
CHROMOSOME_LOCALIZATION	BRCA	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		4.6086	0.3585	68.75
CHROMOSOME_LOCALIZATION	BRCA	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494	Observed	4.6005	0.4113	62.5
CHROMOSOME_LOCALIZATION	BRCA	TJP1|7082	-	SE	chr15:30011342-30011981:30012220-30012562		4.5836	-0.3443	37.5
CHROMOSOME_LOCALIZATION	BRCA	TTK|7272	+	A3	chr6:80714430-80715547:80714430-80715559		4.573	0.3314	31.25
CHROMOSOME_LOCALIZATION	BRCA	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		4.4743	0.2899	56.25
CHROMOSOME_LOCALIZATION	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.3705	0.4748	50
CHROMOSOME_LOCALIZATION	BRCA	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		4.3689	-0.4243	37.5
CHROMOSOME_LOCALIZATION	BRCA	CDC25B|994	+	A5	chr20:3777378-3778269:3776526-3778269		4.2737	-0.4467	37.5
CHROMOSOME_LOCALIZATION	BRCA	BIRC5|332	+	SE	chr17:76210870-76212047:76212115-76212745		4.0551	0.2994	62.5
CHROMOSOME_LOCALIZATION	BRCA	MLF1IP|79682	-	SE	chr4:185618957-185621974:185622035-185623243		4.0221	-0.4797	81.25
CHROMOSOME_LOCALIZATION	BRCA	SKA3|221150	-	SE	chr13:21746643-21746759:21746820-21750514		3.9535	0.2654	62.5
CHROMOSOME_LOCALIZATION	BRCA	NF2|4771	+	SE	chr22:30077590-30079009:30079053-30090741		3.9207	0.4137	56.25
CHROMOSOME_LOCALIZATION	BRCA	ALG2|85365	-	SE	chr9:101981118-101983261:101983419-101983829		3.9046	0.3731	43.75
CHROMOSOME_LOCALIZATION	BRCA	PLSCR1|5359	-	SE	chr3:146251337-146254327:146254352-146262254		3.8007	-0.4804	37.5
CHROMOSOME_LOCALIZATION	BRCA	MGC72080|389538	-	A3	chr7:97599174-97601447:97599157-97601447		3.7895	-0.4982	6.25
CHROMOSOME_LOCALIZATION	BRCA	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.7328	-0.3014	50
CHROMOSOME_LOCALIZATION	BRCA	TCIRG1|10312	+	SE	chr11:67817721-67817954:67818131-67818208		3.705	-0.396	25
CHROMOSOME_LOCALIZATION	BRCA	ITGB4|3691	+	SE	chr17:73750896-73751136:73751294-73751782		3.6922	-0.4217	31.25
CHROMOSOME_LOCALIZATION	BRCA	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		3.6513	-0.3928	62.5
CHROMOSOME_LOCALIZATION	BRCA	TUFT1|7286	+	SE	chr1:151512902-151534567:151534641-151535061		3.5515	0.3864	37.5
CHROMOSOME_LOCALIZATION	BRCA	AKAP8L|26993	-	SE	chr19:15508666-15509441:15509577-15510113		3.4505	-0.4215	18.75
CHROMOSOME_LOCALIZATION	BRCA	ADAM15|8751	+	SE	chr1:155033308-155033891:155033965-155034380		3.415	-0.3583	43.75
CHROMOSOME_LOCALIZATION	BRCA	BTN2A1|11120	+	SE	chr6:26460056-26463025:26463125-26463472		3.3947	-0.3431	25
CHROMOSOME_LOCALIZATION	BRCA	HMMR|3161	+	A3	chr5:162891808-162894707:162891808-162894710		3.3043	0.3666	68.75
CHROMOSOME_LOCALIZATION	BRCA	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		3.2566	0.4299	62.5
CHROMOSOME_LOCALIZATION	BRCA	MTP18|51537	+	SE	chr22:30806668-30812223:30812392-30824449		3.2393	-0.363	12.5
CHROMOSOME_LOCALIZATION	BRCA	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		3.2382	-0.4156	37.5
CHROMOSOME_LOCALIZATION	BRCA	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		3.2324	0.331	50
CHROMOSOME_LOCALIZATION	BRCA	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967210		3.2217	-0.0082	68.75
CHROMOSOME_LOCALIZATION	BRCA	SNRNP70|6625	+	SE	chr19:49604728-49605371:49606844-49607891		3.2064	-0.387	56.25
CHROMOSOME_LOCALIZATION	BRCA	NF1|4763	+	SE	chr17:29490394-29496909:29497015-29508440		3.2031	-0.4132	37.5
CHROMOSOME_LOCALIZATION	BRCA	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		3.175	-0.4499	31.25
CHROMOSOME_LOCALIZATION	BRCA	ATP11C|286410	-	SE	chrX:138811121-138813810:138813914-138820075		3.152	0.2675	37.5
CHROMOSOME_LOCALIZATION	BRCA	RGS3|5998	+	A3	chr9:116241821-116245233:116241821-116245339		3.1508	0.3193	18.75
CHROMOSOME_LOCALIZATION	BRCA	DNMT3B|1789	+	SE	chr20:31390276-31393144:31393213-31394015		3.1372	0.2717	25
CHROMOSOME_LOCALIZATION	BRCA	PCBP4|57060	-	A3	chr3:51992365-51992806:51992168-51992806		3.1082	0.3768	6.25
CHROMOSOME_LOCALIZATION	BRCA	LSM14B|149986	+	SE	chr20:60701495-60702641:60702757-60704841		3.0934	0.3734	50
CHROMOSOME_LOCALIZATION	BRCA	ZNF271|10778	+	SE	chr18:32870355-32870974:32871196-32885940		3.0546	0.4418	43.75
CHROMOSOME_LOCALIZATION	BRCA	HMGN1|3150	-	A3	chr21:40719409-40720218:40719404-40720218		3.0444	-0.4231	75
CHROMOSOME_LOCALIZATION	BRCA	RIPK2|8767	+	SE	chr8:90770461-90775057:90775210-90777569		3.0357	-0.3324	43.75
CHROMOSOME_LOCALIZATION	BRCA	THUMPD2|80745	-	SE	chr2:39983100-39984388:39984508-39988471		3.0355	-0.3981	56.25
CHROMOSOME_LOCALIZATION	BRCA	C14orf80|283643	+	SE	chr14:105959071-105960172:105960270-105963694		3.0306	0.3582	25
CHROMOSOME_LOCALIZATION	BRCA	BRF1|2972	-	A3	chr14:105686467-105687985:105686464-105687985		3.0244	0.338	37.5
CHROMOSOME_LOCALIZATION	BRCA	TTK|7272	+	A3	chr6:80732189-80736095:80732189-80736098		3.0206	-0.3293	37.5
CHROMOSOME_LOCALIZATION	BRCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		2.9939	0.2904	56.25
CHROMOSOME_LOCALIZATION	BRCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		2.9758	0.4113	56.25
CHROMOSOME_LOCALIZATION	BRCA	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		2.9597	-0.3921	56.25
CHROMOSOME_LOCALIZATION	BRCA	C1orf112|55732	+	SE	chr1:169768099-169770024:169770112-169771762		2.9571	0.4083	31.25
CHROMOSOME_LOCALIZATION	BRCA	RBM15|64783	+	SE	chr1:110884890-110888161:110888271-110888930		2.9428	0.4053	43.75
CHROMOSOME_LOCALIZATION	BRCA	PQBP1|10084	+	A5	chrX:48755376-48755775:48755365-48755775		2.9324	-0.3557	37.5
CHROMOSOME_LOCALIZATION	BRCA	AURKA|6790	-	A5	chr20:54963258-54966999:54963258-54967224		2.9187	0.2302	43.75
CHROMOSOME_LOCALIZATION	BRCA	CTNND1|1500	+	SE	chr11:57529518-57558857:57559145-57561482		2.8994	-0.4028	25
CHROMOSOME_LOCALIZATION	BRCA	CIT|11113	-	SE	chr12:120204986-120208589:120208714-120210574		2.873	0.2973	62.5
CHROMOSOME_LOCALIZATION	BRCA	DNAJC4|3338	+	RI	chr11:64001366:64001452-64001545:64001752		2.8647	0.3854	6.25
CHROMOSOME_LOCALIZATION	BRCA	C20orf160|140706	+	SE	chr20:30610598-30613659:30613722-30616798		2.8565	0.3246	62.5
CHROMOSOME_LOCALIZATION	BRCA	AURKA|6790	-	SE	chr20:54963258-54963743:54963840-54965612		2.8476	0.1275	50
CHROMOSOME_LOCALIZATION	BRCA	GTSE1|51512	+	SE	chr22:46693376-46704047:46704104-46704216		2.8468	0.173	75
CHROMOSOME_LOCALIZATION	BRCA	KIF15|56992	+	SE	chr3:44803376-44815887:44815929-44816746		2.8451	0.3549	43.75
CHROMOSOME_LOCALIZATION	BRCA	MYBL2|4605	+	SE	chr20:42302539-42310424:42310495-42311434		2.8224	0.1023	62.5
CHROMOSOME_LOCALIZATION	BRCA	CCDC84|338657	+	A5	chr11:118882021-118882649:118881993-118882649		2.8157	-0.3418	62.5
CHROMOSOME_LOCALIZATION	BRCA	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		2.8142	-0.4337	62.5
CHROMOSOME_LOCALIZATION	BRCA	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		2.8111	-0.2865	43.75
CHROMOSOME_LOCALIZATION	BRCA	PI4KB|5298	-	SE	chr1:151280277-151282687:151282731-151288049		2.7443	-0.3806	25
CHROMOSOME_LOCALIZATION	BRCA	SNHG12|85028	-	RI	chr1:28906045:28906493-28907072:28907158		2.7429	-0.3763	56.25
CHROMOSOME_LOCALIZATION	BRCA	FBXO7|25793	+	A3	chr22:32871111-32874968:32871111-32875120		2.739	0.3323	12.5
CHROMOSOME_LOCALIZATION	BRCA	CDC25C|995	-	SE	chr5:137664218-137665242:137665336-137666676		2.7283	-0.1379	62.5
CHROMOSOME_LOCALIZATION	BRCA	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		2.7261	-0.3669	56.25
CHROMOSOME_LOCALIZATION	BRCA	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		2.7241	-0.4359	62.5
CHROMOSOME_LOCALIZATION	BRCA	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		2.6759	0.2965	31.25
CHROMOSOME_LOCALIZATION	BRCA	HMMR|3161	+	SE	chr5:162891808-162894707:162894754-162896647		2.6617	0.2971	81.25
CHROMOSOME_LOCALIZATION	BRCA	SMUG1|23583	-	MX	chr12:54577743-54581603:54581689-54582735:54577743-54582299:54582380-54582735		2.6545	0.393	68.75
CHROMOSOME_LOCALIZATION	BRCA	REPS1|85021	-	SE	chr6:139242261-139247538:139247618-139251114		2.6544	0.3922	75
CHROMOSOME_LOCALIZATION	BRCA	DBI|1622	+	SE	chr2:120124790-120125135:120125220-120125764		2.6531	-0.354	37.5
CHROMOSOME_LOCALIZATION	BRCA	PI4KB|5298	-	SE	chr1:151288985-151297221:151297393-151298648		2.6428	0.4554	43.75
CHROMOSOME_LOCALIZATION	BRCA	ITGA7|3679	-	MX	chr12:56092701-56093654:56093773-56094683:56092701-56094046:56094177-56094683		2.6384	0.274	25
CHROMOSOME_LOCALIZATION	BRCA	ATP6V1C2|245973	+	SE	chr2:10915197-10917711:10917848-10918698		2.6293	0.3385	37.5
CHROMOSOME_LOCALIZATION	BRCA	TMEM25|84866	+	SE	chr11:118403922-118404135:118404266-118404572		2.6075	-0.3813	43.75
CHROMOSOME_LOCALIZATION	BRCA	MTA1|9112	+	SE	chr14:105911848-105915696:105915746-105916395		2.6039	-0.3853	43.75
CHROMOSOME_LOCALIZATION	BRCA	WDR4|10785	-	A5	chr21:44283706-44293661:44283706-44293713		2.5994	0.2953	25
CHROMOSOME_LOCALIZATION	BRCA	AURKA|6790	-	A5	chr20:54965721-54966999:54965721-54967224		2.5823	0.2025	56.25
CHROMOSOME_LOCALIZATION	BRCA	CENPE|1062	-	A3	chr4:104059609-104061413:104059606-104061413		2.5776	-0.2264	43.75
CHROMOSOME_LOCALIZATION	BRCA	C16orf13|84326	-	MX	chr16:684797-685281:685340-686094:684797-685612:685774-686094		2.5697	0.3862	37.5
CHROMOSOME_LOCALIZATION	BRCA	FOXM1|2305	-	A3	chr12:2973921-2975559:2973918-2975559		2.5441	0.2752	50
CHROMOSOME_LOCALIZATION	BRCA	USO1|8615	+	SE	chr4:76678726-76681747:76681758-76691592		2.5425	0.3753	31.25
