# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	HNSC	KRT10|3858	-	A3	chr17:38975413-38975769:38975212-38975769		5.1607	-0.4348	18.75
MISMATCH_REPAIR_PATHWAY	HNSC	KIAA1191|57179	-	SE	chr5:175782752-175786484:175786570-175786814		4.2556	-0.323	62.5
MISMATCH_REPAIR_PATHWAY	HNSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.2338	-0.4618	87.5
MISMATCH_REPAIR_PATHWAY	HNSC	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		4.2256	0.3489	56.25
MISMATCH_REPAIR_PATHWAY	HNSC	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		3.9678	-0.3228	31.25
MISMATCH_REPAIR_PATHWAY	HNSC	KIAA1841|84542	+	SE	chr2:61296120-61296787:61296833-61297477		3.6161	0.251	50
MISMATCH_REPAIR_PATHWAY	HNSC	TUBB3|10381	+	SE	chr16:89999087-89999876:89999986-90001137		3.5859	-0.2758	50
MISMATCH_REPAIR_PATHWAY	HNSC	SMARCC2|6601	-	SE	chr12:56566488-56566721:56566813-56567480		3.362	-0.2524	43.75
MISMATCH_REPAIR_PATHWAY	HNSC	FANCA|2175	-	A5	chr16:89805382-89805537:89805382-89805541		3.2733	-0.2929	56.25
MISMATCH_REPAIR_PATHWAY	HNSC	ATP5C1|509	+	SE	chr10:7844817-7848937:7848973-7849622		3.2544	0.3757	12.5
MISMATCH_REPAIR_PATHWAY	HNSC	MPI|4351	+	SE	chr15:75188666-75189352:75189560-75189853		3.2112	-0.3376	25
MISMATCH_REPAIR_PATHWAY	HNSC	CARS|833	-	SE	chr11:3023283-3023771:3023830-3026596		3.1044	-0.3136	25
MISMATCH_REPAIR_PATHWAY	HNSC	FAM149B1|317662	+	A5	chr10:74987942-74990180:74987918-74990180		3.0928	-0.3523	18.75
MISMATCH_REPAIR_PATHWAY	HNSC	DMKN|93099	-	SE	chr19:35996888-36000813:36000863-36001086		3.0835	-0.2962	50
MISMATCH_REPAIR_PATHWAY	HNSC	ANKHD1-EIF4EBP3|404734	+	A3	chr5:139915123-139916923:139915123-139916974		3.0721	0.3201	37.5
MISMATCH_REPAIR_PATHWAY	HNSC	CPT1C|126129	+	SE	chr19:50204112-50204574:50204675-50204754		3.0401	0.1893	12.5
MISMATCH_REPAIR_PATHWAY	HNSC	TREX2|11219	-	A3	chrX:152710953-152711467:152710922-152711467		2.9167	0.2291	12.5
MISMATCH_REPAIR_PATHWAY	HNSC	ACSL3|2181	+	SE	chr2:223752606-223765392:223765498-223773451		2.8908	-0.3075	31.25
MISMATCH_REPAIR_PATHWAY	HNSC	DSC1|1823	-	SE	chr18:28710674-28710756:28710801-28711557		2.8439	-0.1337	6.25
MISMATCH_REPAIR_PATHWAY	HNSC	ESRP1|54845	+	SE	chr8:95690599-95704905:95705055-95709080		2.8131	-0.3065	37.5
