# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	KIRP	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026	Observed	3.5057	-0.4636	25
DNA_REPLICATION_PATHWAY	KIRP	FAM111B|374393	+	SE	chr11:58876185-58877013:58877179-58891652		3.4748	0.2936	75
DNA_REPLICATION_PATHWAY	KIRP	PRC1|9055	-	MX	chr15:91525211-91527248:91527370-91537637:91525211-91527923:91528055-91537637		3.0968	0.231	31.25
DNA_REPLICATION_PATHWAY	KIRP	MYBL2|4605	+	SE	chr20:42302539-42310424:42310495-42311434		2.9943	0.3245	56.25
DNA_REPLICATION_PATHWAY	KIRP	XRCC3|7517	-	SE	chr14:104177904-104179212:104179305-104181761		2.8829	0.2842	62.5
DNA_REPLICATION_PATHWAY	KIRP	UBE2C|11065	+	SE	chr20:44442103-44443023:44443109-44444180		2.8419	0.1904	18.75
DNA_REPLICATION_PATHWAY	KIRP	RAD51AP1|10635	+	SE	chr12:4653070-4654948:4654998-4655475		2.7751	0.1855	50
DNA_REPLICATION_PATHWAY	KIRP	FAM64A|54478	+	SE	chr17:6352727-6353348:6353392-6353682		2.7245	0.3453	62.5
DNA_REPLICATION_PATHWAY	KIRP	PSMC3IP|29893	-	A5	chr17:40725641-40725837:40725641-40726117		2.7205	-0.201	12.5
DNA_REPLICATION_PATHWAY	KIRP	FAM64A|54478	+	A3	chr17:6352727-6353348:6352727-6353682		2.6953	0.3166	50
DNA_REPLICATION_PATHWAY	KIRP	NCAPH|23397	+	A3	chr2:97001586-97007380:97001586-97007452		2.6228	0.2555	68.75
DNA_REPLICATION_PATHWAY	KIRP	SPTBN4|57731	+	SE	chr19:41029546-41030451:41030536-41034948		2.5728	0.3173	31.25
DNA_REPLICATION_PATHWAY	KIRP	E2F5|1875	+	A5	chr8:86118459-86119660:86118455-86119660		2.5672	-0.1498	37.5
DNA_REPLICATION_PATHWAY	KIRP	CDCA7|83879	+	SE	chr2:174223565-174223983:174224219-174227954		2.5283	0.3324	50
DNA_REPLICATION_PATHWAY	KIRP	FOXM1|2305	-	SE	chr12:2973918-2974521:2974565-2975559		2.5167	0.2586	62.5
DNA_REPLICATION_PATHWAY	KIRP	CDCA7|83879	+	A3	chr2:174223565-174223983:174223565-174224115		2.4828	0.3617	37.5
DNA_REPLICATION_PATHWAY	KIRP	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		2.4422	0.2876	37.5
DNA_REPLICATION_PATHWAY	KIRP	XRCC3|7517	-	SE	chr14:104177904-104179212:104179268-104181761		2.3628	0.3186	68.75
DNA_REPLICATION_PATHWAY	KIRP	TACC3|10460	+	A5	chr4:1739441-1741429:1739429-1741429		2.2471	-0.1997	31.25
DNA_REPLICATION_PATHWAY	KIRP	CDCA7|83879	+	SE	chr2:174219712-174223440:174223565-174227954		2.2205	0.1933	50
DNA_REPLICATION_PATHWAY	KIRP	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		2.1858	-0.2888	43.75
DNA_REPLICATION_PATHWAY	KIRP	RRAD|6236	-	A3	chr16:66959106-66959312:66959097-66959312		2.1016	-0.166	31.25
DNA_REPLICATION_PATHWAY	KIRP	SIRPB2|284759	-	RI	chr20:1460345:1460439-1460571:1460710		2.1015	-0.0715	31.25
DNA_REPLICATION_PATHWAY	KIRP	PAPSS2|9060	+	SE	chr10:89475600-89481513:89481527-89487041		2.0895	-0.1554	25
DNA_REPLICATION_PATHWAY	KIRP	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		2.073	0.2876	31.25
DNA_REPLICATION_PATHWAY	KIRP	CCNYL1|151195	+	RI	chr2:208576264:208576409-208576662:208576840		2.0649	-0.2195	31.25
DNA_REPLICATION_PATHWAY	KIRP	MELK|9833	+	SE	chr9:36573004-36581641:36581736-36589533		2.0598	0.38	56.25
DNA_REPLICATION_PATHWAY	KIRP	AQP7|364	-	A3	chr9:33395511-33401235:33395193-33401235		2.0278	-0.1547	12.5
DNA_REPLICATION_PATHWAY	KIRP	ZCCHC11|23318	-	A3	chr1:52902650-52903892:52902635-52903892		2.0035	-0.0493	37.5
DNA_REPLICATION_PATHWAY	KIRP	MTERFD3|80298	-	A3	chr12:107379003-107380747:107378993-107380747		2.0027	-0.1381	37.5
DNA_REPLICATION_PATHWAY	KIRP	NFAT5|10725	+	SE	chr16:69600277-69602398:69602451-69660306		2.0025	0.1126	43.75
DNA_REPLICATION_PATHWAY	KIRP	NKTR|4820	+	SE	chr3:42663008-42668692:42668719-42672038		1.9996	-0.0331	37.5
DNA_REPLICATION_PATHWAY	KIRP	CCDC132|55610	+	A5	chr7:92979349-92982952:92979345-92982952		1.9937	-0.1276	31.25
