# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	DENND1C|79958	-	RI	chr19:6471276:6471316-6471417:6471507		5.0502	-0.4472	100
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	CMKLR1|1240	-	SE	chr12:108687441-108723772:108723984-108732804		3.6342	0.1492	43.75
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	TRAT1|50852	+	SE	chr3:108541781-108549517:108549627-108557781		3.6201	0.4035	68.75
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		3.5072	0.4138	81.25
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	URGCP|55665	-	SE	chr7:43927415-43950330:43950451-43965731		3.4599	-0.2465	43.75
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	OSBPL8|114882	-	SE	chr12:76844768-76853639:76853675-76881290		3.3487	-0.3476	31.25
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.2825	0.396	81.25
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	IL10RA|3587	+	SE	chr11:117857249-117857322:117857528-117859097		3.1709	0.2511	6.25
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.129	0.364	93.75
INFLAMMATORY_RESPONSE_PATHWAY	ESCA	FOLR2|2350	+	A5	chr11:71927969-71929605:71927963-71929605		3.1049	0.2855	50
