# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
RIBOSOME	COAD	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680		3.3798	-0.6951	75
RIBOSOME	COAD	NCOA1|8648	+	SE	chr2:24981025-24985556:24985645-24990948		3.2271	-0.6646	68.75
RIBOSOME	COAD	ERCC6|2074	-	SE	chr10:50682288-50683373:50683542-50684261		3.1828	0.6171	37.5
RIBOSOME	COAD	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856		2.8197	0.6662	81.25
RIBOSOME	COAD	FNBP1L|54874	+	A3	chr1:94014983-94016504:94014983-94016558		2.8129	-0.6619	81.25
RIBOSOME	COAD	SMEK2|57223	-	A3	chr2:55791633-55792038:55791612-55792038		2.7937	-0.6654	75
RIBOSOME	COAD	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		2.7731	-0.41	56.25
RIBOSOME	COAD	PTCD3|55037	+	SE	chr2:86344282-86346044:86346167-86348602		2.7664	0.5863	50
RIBOSOME	COAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		2.6168	0.6452	75
RIBOSOME	COAD	RASAL2|9462	+	SE	chr1:178436556-178439828:178439858-178442210		2.59	0.6351	75
RIBOSOME	COAD	TEP1|7011	-	A3	chr14:20850874-20851333:20850853-20851333		2.5644	-0.6102	50
RIBOSOME	COAD	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920		2.5327	-0.585	75
RIBOSOME	COAD	ARHGAP21|57584	-	SE	chr10:24878231-24879135:24879408-24880154		2.5314	0.6808	93.75
RIBOSOME	COAD	PSME4|23198	-	SE	chr2:54096675-54101476:54101631-54102764		2.4469	-0.6698	81.25
RIBOSOME	COAD	AHCTF1|25909	-	SE	chr1:247027418-247028557:247028635-247030546		2.3945	0.5781	37.5
RIBOSOME	COAD	HERC3|8916	+	SE	chr4:89588639-89589043:89589232-89591011		2.3828	-0.6004	50
RIBOSOME	COAD	IRF7|3665	-	SE	chr11:614037-614174:614399-614476		2.3695	-0.2362	18.75
RIBOSOME	COAD	DCP1A|55802	-	A5	chr3:53322301-53324826:53322301-53324827		2.3191	0.4541	56.25
RIBOSOME	COAD	NCOR1|9611	-	A3	chr17:15938258-15942747:15938255-15942747		2.3133	-0.6508	75
RIBOSOME	COAD	KIF13B|23303	-	SE	chr8:28929833-28932798:28932860-28950262		2.275	-0.6169	62.5
RIBOSOME	COAD	LRRK1|79705	+	SE	chr15:101606946-101607445:101607592-101608876		2.2732	0.6581	50
